metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,0,indeterminate,unknown,TRUE,14993579
DS_Tim,-1,likely_altered,early,FALSE,14993579
DS_Mag_50,1,likely_unaltered,none_found,TRUE,14993579
DS_Mag_90,-1,likely_altered,low,FALSE,14993579
FA_Dur,1,likely_unaltered,none_found,TRUE,14993579
FA_Mag,-1,likely_altered,low,FALSE,14993579
FA_Tim,1,likely_unaltered,none_found,FALSE,14993579
SP_ROC,0,indeterminate,unknown,TRUE,14993579
SP_Dur,0,indeterminate,low,FALSE,14993579
SP_Mag,-1,likely_altered,low,FALSE,14993579
SP_Tim,-1,likely_altered,early,FALSE,14993579
Wet_BFL_Dur,0,indeterminate,low,FALSE,14993579
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,14993579
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,14993579
Wet_Tim,0,indeterminate,unknown,TRUE,14993579
Peak_Dur_10,1,likely_unaltered,none_found,FALSE,14993579
Peak_Dur_2,1,likely_unaltered,none_found,FALSE,14993579
Peak_Dur_5,1,likely_unaltered,none_found,FALSE,14993579
Peak_10,-1,likely_altered,low,FALSE,14993579
Peak_2,-1,likely_altered,low,FALSE,14993579
Peak_5,-1,likely_altered,low,FALSE,14993579
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,14993579
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,14993579
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,14993579
