Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,NA,294,NA,NA,NA,NA,NA,0.034482758620689655,13,950,281,203,15,25,78,NA,275,NA,NA,4,NA,3205,430,1570,NA,1,NA
1981,178,363,15,25,2,50.83868210753654,64,0.047619047619047616,94,27,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205,430,1570,NA,NA,NA
1982,299,282,21,32,2,105.96081244677062,44,0.25357535753575355,35,890,247,72,13,37.5,175,NA,204,NA,NA,14,NA,3205,430,1570,NA,3,NA
1983,NA,309,NA,NA,3,130.9655387059454,25,0.21834558326193804,28,2190,281,66,40.5,1210,215,NA,288,251,NA,55,14,3205,430,1570,NA,3,3
1984,130,362,22,24,6,70.00400634867691,4,0.044466403162055336,272,81,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205,430,1570,NA,NA,NA
1985,225,314,20,46,NA,NA,NA,0.04,121,44,193,67,19,25,126,NA,NA,NA,NA,NA,NA,3205,430,1570,NA,NA,NA
1986,NA,282,NA,NA,5,105.94880723475389,62,0.23473282442748092,25,548,257,84,26.800000000000004,212,173,NA,241,NA,NA,39,NA,3205,430,1570,NA,5,NA
1987,110,305,14,16,NA,NA,NA,0.05718954248366013,38,26,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205,430,1570,NA,NA,NA
1988,165,316,18,20,NA,NA,NA,0.05555555555555555,104,30,212,163,15,17,49,NA,NA,NA,NA,NA,NA,3205,430,1570,NA,NA,NA
1989,NA,306,NA,NA,3,39.60212002602852,53,0.04,141,49,165,50,20,23,115,NA,NA,NA,NA,NA,NA,3205,430,1570,NA,NA,NA
1990,NA,336,NA,NA,NA,NA,NA,0.03296703296703285,150,21,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205,430,1570,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
