p10,p25,p50,p75,p90,metric,comid,result_type
129.7,155.5,210,224.25,238.2,DS_Dur_WS,14982602,observed
274.9,287.5,302,318.25,358,DS_Tim,14982602,observed
61.7,81,107,138,173.9,DS_Mag_50,14982602,observed
107.62,128.15000000000003,194.5,238.79999999999998,387.91,DS_Mag_90,14982602,observed
2,2,3,4,5,FA_Dur,14982602,observed
110.5015908471479,160.97601639405795,302.91016972286263,527.3572867019897,981.2753230853572,FA_Mag,14982602,observed
14,22,33,51.25,61,FA_Tim,14982602,observed
0.03372660777049492,0.04456787274503245,0.05345967751155166,0.06477480359960076,0.07044658416017639,SP_ROC,14982602,observed
41.599999999999994,48,54,71,127.7,SP_Dur,14982602,observed
762.1,997.5,1760,2592.5,3440,SP_Mag,14982602,observed
223,231.75,242,250.5,261.1,SP_Tim,14982602,observed
67.3,74.75,104.5,127.25,178.10000000000002,Wet_BFL_Dur,14982602,observed
116.32000000000002,183.3,254.3,412.32500000000005,576.9599999999999,Wet_BFL_Mag_10,14982602,observed
249.55,403.125,695.5,1060,1450,Wet_BFL_Mag_50,14982602,observed
64.7,116.5,143.5,158,176,Wet_Tim,14982602,observed
91.3,91.75,98,135,190.80000000000004,Peak_Tim_10,14982602,observed
101.8,179.25,216.5,237,246.29999999999998,Peak_Tim_2,14982602,observed
91.7,101,111.75,164.75,216.8,Peak_Tim_5,14982602,observed
1,1,1,1.25,1.7000000000000002,Peak_Dur_10,14982602,observed
1,3,6,16.75,35,Peak_Dur_2,14982602,observed
1,1,1.5,2.25,3.3,Peak_Dur_5,14982602,observed
6897,6897,6897,6897,6897,Peak_10,14982602,observed
2680,2680,2680,2680,2680,Peak_2,14982602,observed
5650.000000000003,5650.000000000003,5650.000000000003,5650.000000000003,5650.000000000003,Peak_5,14982602,observed
1,1,1,1,1,Peak_Fre_10,14982602,observed
1,1,2,3,6,Peak_Fre_2,14982602,observed
1,1,1,2,2,Peak_Fre_5,14982602,observed
