p10,p25,p50,p75,p90,metric,comid,result_type
62.5,107,131.5,155.75,188.7,DS_Dur_WS,22557960,observed
258.20000000000005,280,306,325,339.6,DS_Tim,22557960,observed
0.05,0.23625000000000002,0.655,1.21375,1.6875000000000002,DS_Mag_50,22557960,observed
0.4931999999999999,0.8224999999999999,2.3274999999999997,3.217500000000001,4.504000000000002,DS_Mag_90,22557960,observed
2,2,3,5,5.800000000000001,FA_Dur,22557960,observed
1.3410397130931955,1.819316231903199,3.278979123534141,8.880173497713725,18.23791857493464,FA_Mag,22557960,observed
0,3,9,14,25.8,FA_Tim,22557960,observed
0.1668085292183989,0.21739130434782597,0.32222438527658803,0.5714285714285715,0.7133655544195556,SP_ROC,22557960,observed
21.4,76,113,158,175.8,SP_Dur,22557960,observed
3.49,18.775,68.3,176,470.40000000000026,SP_Mag,22557960,observed
139.9,152.5,188,213.5,239.60000000000002,SP_Tim,22557960,observed
37.8,76.25,102,153.25,191.4,Wet_BFL_Dur,22557960,observed
0,0.0075,0.136,3.4885,4.934100000000001,Wet_BFL_Mag_10,22557960,observed
0.324,0.7424999999999999,1.175,7.438750000000001,10.395000000000003,Wet_BFL_Mag_50,22557960,observed
28.1,41.5,59,83.25,108.9,Wet_Tim,22557960,observed
87.4,95.5,101.25,114.625,136.45000000000002,Peak_Tim_10,22557960,observed
93.6,107.25,129.5,156.5,168.4,Peak_Tim_2,22557960,observed
99.5,110.75,128.25,149.5,152.2,Peak_Tim_5,22557960,observed
1,1,2,3,3,Peak_Dur_10,22557960,observed
1,1.5,2,5,6.399999999999999,Peak_Dur_2,22557960,observed
1,1,1,2.5,4,Peak_Dur_5,22557960,observed
757.3,757.3,757.3,757.3,757.3,Peak_10,22557960,observed
180.5,180.5,180.5,180.5,180.5,Peak_2,22557960,observed
534.0000000000001,534.0000000000001,534.0000000000001,534.0000000000001,534.0000000000001,Peak_5,22557960,observed
1,1,1,1.25,1.7000000000000002,Peak_Fre_10,22557960,observed
1,1,2,3.5,5,Peak_Fre_2,22557960,observed
1,1,1,1.25,2.3,Peak_Fre_5,22557960,observed
