metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,0,indeterminate,high,FALSE,17055544
DS_Tim,1,likely_unaltered,none_found,TRUE,17055544
DS_Mag_50,1,likely_unaltered,none_found,FALSE,17055544
DS_Mag_90,0,indeterminate,low,FALSE,17055544
FA_Dur,1,likely_unaltered,none_found,TRUE,17055544
FA_Mag,1,likely_unaltered,none_found,FALSE,17055544
FA_Tim,0,indeterminate,early,FALSE,17055544
SP_ROC,0,indeterminate,high,FALSE,17055544
SP_Dur,0,indeterminate,unknown,TRUE,17055544
SP_Mag,0,indeterminate,low,FALSE,17055544
SP_Tim,1,likely_unaltered,none_found,TRUE,17055544
Wet_BFL_Dur,0,indeterminate,unknown,TRUE,17055544
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,17055544
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,17055544
Wet_Tim,0,indeterminate,late,FALSE,17055544
Peak_Dur_10,1,likely_unaltered,none_found,TRUE,17055544
Peak_Dur_2,1,likely_unaltered,none_found,TRUE,17055544
Peak_Dur_5,1,likely_unaltered,none_found,TRUE,17055544
Peak_10,1,likely_unaltered,none_found,TRUE,17055544
Peak_2,1,likely_unaltered,none_found,FALSE,17055544
Peak_5,1,likely_unaltered,none_found,TRUE,17055544
Peak_Fre_10,1,likely_unaltered,none_found,TRUE,17055544
Peak_Fre_2,1,likely_unaltered,none_found,TRUE,17055544
Peak_Fre_5,1,likely_unaltered,none_found,TRUE,17055544
