Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,222,240,231.5,336.7000000000002,4,1299.9565956322663,24,0.04980842911877394,80,5670,160,130,394.4,1340,30,NA,121.5,104,NA,5,1,26300,12500,21000,NA,2,1
1981,68,337,201.5,226.6,2,3049.894199701931,63,0.026844532279314888,157,2430,180,84,265.9,1010,96,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
1982,176,234,234,369.5,5,839.9733641339002,27,0.041887212849326005,38,7200,196,157,958.2,1990,39,NA,138,NA,NA,6,NA,26300,12500,21000,NA,4,NA
1983,154,248,240.5,313.5000000000001,2,585.9918795266539,29,0.06620185922974767,35,7210,213,169,688.2,3380,44,NA,117,117,NA,9,1,26300,12500,21000,NA,5,1
1984,56,339,184,248,NA,NA,NA,0.0490506329113924,143,1140,196,160,547.1,1170,36,NA,77,NA,NA,2,NA,26300,12500,21000,NA,2,NA
1985,142,317,198.5,694.8000000000001,NA,NA,NA,0.03861702127659575,135,3250,182,153,294.6,596,29,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
1986,291,186,226,319,2,2299.9901916572107,59,0.07946026986506746,20,8270,166,73,427.4,2540,93,139,136,139,1,7,2,26300,12500,21000,1,1,1
1987,214,208,177,200.70000000000002,NA,NA,NA,0.05319148936170213,42,6060,166,55,230.20000000000002,597,111,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
1988,278,165,128.5,210.3,NA,NA,NA,0.03017907665404634,40,1600,125,69,344,1260,56,NA,95,NA,NA,1,NA,26300,12500,21000,NA,1,NA
1989,97,359,171,205.00000000000003,2,3649.873261486832,53,0.041521223874165056,186,5860,173,96,214,583.5,77,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
1990,242,268,160.5,320.9,5,784.9632821860893,22,0.15766599597585512,11,411,257,167,116.19999999999999,379,90,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
1991,143,339,158,261.59999999999997,5,343.9708175052266,25,0.04419889502762431,160,7810,179,35,35.4,1430,144,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
1992,200,226,193,219.1,NA,NA,NA,0.049958964659614975,54,3140,172,56,264.5,855.5,116,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
1993,200,274,208,423.2999999999997,NA,NA,NA,0.0661051485950794,70,1520,204,144,391.4,1155,60,NA,101.5,NA,NA,3,NA,26300,12500,21000,NA,2,NA
1994,217,235,137,252.4,5,683.0044791748762,25,0.04610144405017173,89,4840,146,38,223.1,715,108,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
1995,186,247,211.5,248,3,331.99995209555357,56,0.07552083333333333,79,16400,168,82,419.7,1960,86,129.5,134,129,2,10,3,26300,12500,21000,2,4,2
1996,168,259,211,312.1000000000001,NA,NA,NA,0.04152249134948097,21,1310,238,171,450,1040,67,NA,116,NA,NA,1,NA,26300,12500,21000,NA,1,NA
1997,235,221,203,611.8,8,325.9988115655664,20,0.04618616677440207,100,18800,121,60,800.3,2685,61,92,103,91,1,6,2,26300,12500,21000,1,2,1
1998,137,278,308,337.8,4,703.9953025032603,47,0.0328761429758936,33,3770,245,155,659.5999999999999,1950,90,NA,127,126.5,NA,6,2,26300,12500,21000,NA,3,2
1999,229,235,252,300.20000000000005,NA,NA,NA,0.03858279057114052,38,3240,197,148,443.30000000000007,1480,49,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
2000,216,247,206,234.5,3,395.9992882145493,47,0.0361817617866005,44,2080,203,105,366,1340,98,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
2001,225,189,133,196.2,2,342.00199580246147,75,0.07341330396358858,30,7340,159,62,202.4,795.5,97,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
2002,231,200,191,245,6,249.9987741637543,7,0.03386454183266932,22,931,178,130,495.90000000000003,914.5,48,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
2003,170,253,212,238.59999999999997,NA,NA,NA,0.048576214405360134,39,9320,214,149,398.6,1200,65,NA,75,NA,NA,2,NA,26300,12500,21000,NA,2,NA
2004,253,174,219,341.8,NA,NA,NA,0.08067207835035045,22,9710,152,95,662.8,1650,57,NA,139,139,NA,2,1,26300,12500,21000,NA,1,1
2005,167,272,204,283.6,NA,NA,NA,0.05511811023622047,38,5180,234,173,416.8,1000,61,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
2006,206,226,207,312,2,360.99232779337115,38,0.06195010507407504,28,7530,198,125,679.4000000000001,3160,73,91,90,91,1,5,1,26300,12500,21000,1,3,1
2007,135,305,172,183,NA,NA,NA,0.04653465346534656,152,4520,153,87,222.2,453,66,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
2008,309,178,174,249.2,7,438.9989970560291,64,0.0718475073313783,27,4880,151,77,218.40000000000003,949,74,NA,95,NA,NA,1,NA,26300,12500,21000,NA,1,NA
2009,232,233,116.5,202.9,NA,NA,NA,0.07708011135168574,76,4930,157,36,120,976,121,NA,NA,NA,NA,NA,NA,26300,12500,21000,NA,NA,NA
2010,100,273,159.5,175.10000000000002,4,234.00946491962338,13,0.04201124567474049,59,1690,214,115,505.4,1160,99,NA,111,NA,NA,1,NA,26300,12500,21000,NA,1,NA
2011,255,216,184,333.6,NA,NA,NA,0.04457753969077513,37,11600,179,172,440.6,976,7,NA,170,NA,NA,1,NA,26300,12500,21000,NA,1,NA
