p10,p25,p50,p75,p90,metric,comid,result_type
78.4,112,162,175,236,DS_Dur_WS,17695611,observed
227,237,271,294,310,DS_Tim,17695611,observed
5.305,11.6,13.9,15.375,17.21,DS_Mag_50,17695611,observed
10.013199999999998,14.2,17.990000000000002,21.075000000000003,25.783999999999992,DS_Mag_90,17695611,observed
2,3,3.5,4.75,5.700000000000001,FA_Dur,17695611,observed
36.87736179815826,40.7721713574657,97.82170081555708,140.4572994245971,285.20056962498836,FA_Mag,17695611,observed
4,9,13,17.5,35.60000000000001,FA_Tim,17695611,observed
0.027859237536656947,0.03225806451612906,0.04163228255487706,0.06962772890192248,0.08660130718954248,SP_ROC,17695611,observed
32,36,76,108,134,SP_Dur,17695611,observed
66.1,72.9,157,635,741,SP_Mag,17695611,observed
158,179,193,212,233,SP_Tim,17695611,observed
67,87,150,173,192,Wet_BFL_Dur,17695611,observed
8.4202,15.93,17.1,20.450000000000003,29.496000000000002,Wet_BFL_Mag_10,17695611,observed
12.52,22.85,25.049999999999997,67.45,202.59999999999985,Wet_BFL_Mag_50,17695611,observed
25.400000000000002,30,47,77.5,96.4,Wet_Tim,17695611,observed
142.6,143.5,145,165,177,Peak_Tim_10,17695611,observed
76,103,138.5,145.5,146,Peak_Tim_2,17695611,observed
138.4,142,145,175,181,Peak_Tim_5,17695611,observed
1,1,1,3.5,4.999999999999999,Peak_Dur_10,17695611,observed
1,2,3,7.5,10,Peak_Dur_2,17695611,observed
1,1,2,2,4.399999999999999,Peak_Dur_5,17695611,observed
1240,1240,1240,1240,1240,Peak_10,17695611,observed
628,628,628,628,628,Peak_2,17695611,observed
1100,1100,1100,1100,1100,Peak_5,17695611,observed
1,1,1,1,1,Peak_Fre_10,17695611,observed
1,1,2,3.5,5,Peak_Fre_2,17695611,observed
1,1,1,1,1,Peak_Fre_5,17695611,observed
