Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1990,NA,229,NA,NA,3,53.002357736829,0,0.1,11,135,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
1991,147,282,24,29.400000000000006,NA,NA,NA,0.047619047619047616,124,325,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
1992,NA,216,NA,NA,NA,NA,NA,0.05263157894736842,167,35,49,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
1993,215,184,20,22,NA,NA,NA,0.047619047619047616,13,130,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
1994,407,108,20,25,NA,NA,NA,0.04423076923076923,35,29,73,40,22,27,33,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
1995,222,263,19,20,NA,NA,NA,0.3076923076923077,47,6480,216,67,18,19,149,NA,159,186,NA,8,2,6793.000000000004,781,3372.0000000000036,NA,3,2
1996,201,244,19,21,NA,NA,NA,0.05263157894736842,10,1880,234,115,19,20,119,NA,177.5,228,NA,4,1,6793.000000000004,781,3372.0000000000036,NA,2,1
1997,368,160,20,24,4,2059.87988395579,72,0.07151979565772669,63,21600,97,18,19,21,79,92,90,92,2,9,3,6793.000000000004,781,3372.0000000000036,1,3,1
1998,194,270,18,26,NA,NA,NA,0.14754098360655737,13,244,257,95,18,18,162,NA,174,NA,NA,1,NA,6793.000000000004,781,3372.0000000000036,NA,1,NA
1999,327,144,18,22,NA,NA,NA,0.9227467811158798,29,598,115,17,18,18,98,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2000,NA,235,NA,NA,NA,NA,NA,NA,11,698,224,119,18,19,105,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2001,NA,132,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2002,NA,56,NA,NA,NA,NA,NA,0.08695652173913043,54,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2003,NA,173,NA,NA,NA,NA,NA,NA,NA,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2004,510,72,19,23,NA,NA,NA,0.05,51,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2005,172,270,19,23,3,106.99028919195693,70,0.5681818181818182,22,781,248,32,18,356.5,216,NA,235.5,NA,NA,2,NA,6793.000000000004,781,3372.0000000000036,NA,2,NA
2006,NA,263,NA,NA,6,411.9869976366399,62,0.9142857142857143,12,696,251,175,18,19,76,91,179.5,120.5,1,8,2,6793.000000000004,781,3372.0000000000036,1,6,2
2007,NA,146,NA,NA,NA,NA,NA,NA,9,264,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2008,411,101,19,27,NA,NA,NA,0.047619047619047616,77,28,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2009,NA,230,NA,NA,NA,NA,NA,0.7721518987341772,12,1430,218,72,18,18,146,NA,213,NA,NA,2,NA,6793.000000000004,781,3372.0000000000036,NA,1,NA
2010,276,286,18.5,28,NA,NA,NA,NA,NA,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2011,176,289,19,22,2,323.9455553632855,24,0.05263157894736842,14,2350,275,79,19,251,196,NA,219,NA,NA,17,NA,6793.000000000004,781,3372.0000000000036,NA,5,NA
2012,193,223,21.5,24.1,NA,NA,NA,0.0055248618784531165,11,864,212,113,17.919999999999998,18.1,99,NA,208,NA,NA,1,NA,6793.000000000004,781,3372.0000000000036,NA,1,NA
2013,NA,78,NA,NA,NA,NA,NA,0.011049723756906233,12,1540,66,16,18,18.2,50,NA,62,NA,NA,1,NA,6793.000000000004,781,3372.0000000000036,NA,1,NA
2014,343,141,22,26.6,NA,NA,NA,0.008530685001273283,130,24.7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793.000000000004,781,3372.0000000000036,NA,NA,NA
2015,364,146,20.6,27,NA,NA,NA,NA,11,2370,135,17,18,20,118,NA,130,NA,NA,2,NA,6793.000000000004,781,3372.0000000000036,NA,1,NA
2016,268,186,18.2,25.550000000000004,NA,NA,NA,0.005555555555555635,19,18.1,167,23,17.9,18,144,NA,157,NA,NA,1,NA,6793.000000000004,781,3372.0000000000036,NA,1,NA
2017,255,272,18.1,21,2,117.99439622302117,16,0.41047227926078034,22,1330,250,162,17.9,36.099999999999994,88,114.5,171,114,2,31,6,6793.000000000004,781,3372.0000000000036,2,9,2
2018,290,203,18.1,22.8,NA,NA,NA,0.005555555555555635,11,4420,192,31,18,18,161,NA,180,180,NA,2,2,6793.000000000004,781,3372.0000000000036,NA,2,2
2019,219,274,18,21.6,NA,NA,NA,0.3067306849074805,12,430,262,135,17.9,18,127,NA,136,NA,NA,1,NA,6793.000000000004,781,3372.0000000000036,NA,1,NA
