p10,p25,p50,p75,p90,metric,comid,result_type
124.3,145.75,168.5,224.25,234,DS_Dur_WS,17596153,observed
180.9,214,261,323,330.2,DS_Tim,17596153,observed
0,0,0.01,0.0225,0.03900000000000001,DS_Mag_50,17596153,observed
0.011000000000000001,0.02,0.06649999999999999,0.30099999999999993,0.3844,DS_Mag_90,17596153,observed
1,2.5,4.5,6.75,9.1,FA_Dur,17596153,observed
1.5869674960634834,1.8217076289144132,2.8827070509294,10.154196279821628,24.11238474785196,FA_Mag,17596153,observed
17.099999999999998,20,23,28.5,32.399999999999984,FA_Tim,17596153,observed
0.11826923076923082,0.14880952380952378,0.29061552247036115,0.5535714285714286,0.9964390243902439,SP_ROC,17596153,observed
17.4,39.25,107,139,149.3,SP_Dur,17596153,observed
8.379999999999997,22.25,47,90,122,SP_Mag,17596153,observed
136.1,159.5,173,192.25,205,SP_Tim,17596153,observed
39.2,60.5,94,127.75,151.60000000000002,Wet_BFL_Dur,17596153,observed
0,0,0,0.012750000000000003,0.029100000000000004,Wet_BFL_Mag_10,17596153,observed
0.011000000000000001,0.02,0.045,1.6775,4.7,Wet_BFL_Mag_50,17596153,observed
38.9,47.75,85,107.5,122.50000000000001,Wet_Tim,17596153,observed
90.3,98.25,111.5,124.75,132.7,Peak_Tim_10,17596153,observed
93.20000000000002,131.25,136,153.5,162.9,Peak_Tim_2,17596153,observed
95.6,111.5,138,156.5,167.6,Peak_Tim_5,17596153,observed
1,1,1,1,1,Peak_Dur_10,17596153,observed
1.6,2,2,6.5,8.200000000000001,Peak_Dur_2,17596153,observed
1,1,1,1,1,Peak_Dur_5,17596153,observed
321.6,321.6,321.6,321.6,321.6,Peak_10,17596153,observed
68,68,68,68,68,Peak_2,17596153,observed
267.20000000000005,267.20000000000005,267.20000000000005,267.20000000000005,267.20000000000005,Peak_5,17596153,observed
1,1,1,1,1,Peak_Fre_10,17596153,observed
1,1.5,2,4,6,Peak_Fre_2,17596153,observed
1,1,1,1,1,Peak_Fre_5,17596153,observed
