Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,214,266,9.25,19,2,8.43479306347485,27,0.08069767441860465,105,3470,161,64,120.90000000000008,1495,97,NA,122,NA,NA,11,NA,20800,4400,13300,NA,2,NA
1981,234,202,6.65,13,2,28.99082741646491,34,0.13818181818181818,22,1340,180,66,75,137,114,NA,NA,NA,NA,NA,NA,20800,4400,13300,NA,NA,NA
1982,163,241,17,46.80000000000001,NA,NA,NA,0.06867079280872385,44,9990,197,127,961.2,1690,70,80,138.5,109,1,20,2,20800,4400,13300,1,8,2
1983,142,251,33,143.70000000000002,4,941.9954847180563,35,0.05555555555555555,36,3540,215,177,760.6,1560,38,NA,139.5,163,NA,15,1,20800,4400,13300,NA,8,1
1984,170,243,21,29,NA,NA,NA,0.0912751677852349,46,1060,197,170,825.8000000000001,1125,27,NA,85,NA,NA,4,NA,20800,4400,13300,NA,1,NA
1985,277,214,16,32,5,46.99746630777336,18,0.2798127798127798,16,442,198,151,59,366,47,NA,NA,NA,NA,NA,NA,20800,4400,13300,NA,NA,NA
1986,172,215,12.5,40.900000000000006,4,33.00006250896203,23,0.06314579769024962,50,6650,165,40,361.9000000000001,1560,125,139,148,139,3,12,3,20800,4400,13300,1,2,1
1987,14,358,9.1,9.81,NA,NA,NA,0.08166666666666669,74,17,284,263,13,17,21,NA,NA,NA,NA,NA,NA,20800,4400,13300,NA,NA,NA
1988,152,375,11,15,NA,NA,NA,0.07692307692307693,122,30,253,247,9.92,15,6,NA,NA,NA,NA,NA,NA,20800,4400,13300,NA,NA,NA
1989,243,235,15,31,NA,NA,NA,0.13953488372093023,22,1220,213,61,85,1170,152,NA,168,NA,NA,4,NA,20800,4400,13300,NA,2,NA
1990,229,279,13,16,4,32.00269580674506,24,0.07019704433497537,100,346,179,67,15.600000000000001,399,112,NA,NA,NA,NA,NA,NA,20800,4400,13300,NA,NA,NA
1991,194,302,13,15,NA,NA,NA,0.06458333333333333,27,34,275,133,12.200000000000001,29,142,NA,NA,NA,NA,NA,NA,20800,4400,13300,NA,NA,NA
1992,274,193,16,29,NA,NA,NA,0.11764705882352941,14,615,179,49,13.8,380,130,NA,NA,NA,NA,NA,NA,20800,4400,13300,NA,NA,NA
1993,145,277,14,18,NA,NA,NA,0.07592592592592592,97,3250,180,79,779.4,1050,101,NA,127.5,NA,NA,3,NA,20800,4400,13300,NA,2,NA
