p10,p25,p50,p75,p90,metric,comid,result_type
75.2,131,197,247,275.4,DS_Dur_WS,22534666,observed
186.9,208.75,247,298.5,318.4,DS_Tim,22534666,observed
0,0.07,0.31,0.495,0.9199999999999999,DS_Mag_50,22534666,observed
0.226,0.5,0.9499999999999996,1.1,2.0399999999999987,DS_Mag_90,22534666,observed
3.3,4,5,7,7.700000000000001,FA_Dur,22534666,observed
1.9780143231343406,2.3375303792856563,7.923700867495834,23.515278154647948,32.36357322971135,FA_Mag,22534666,observed
17.599999999999998,24.25,52,60.5,66.7,FA_Tim,22534666,observed
0.05669172932330818,0.07692307692307698,0.11804998032270758,0.19119992910315492,0.2481829573934839,SP_ROC,22534666,observed
19.6,37,73,95.25,117.10000000000001,SP_Dur,22534666,observed
0.6859999999999999,1.3949999999999998,34.4,641.5,2689.000000000001,SP_Mag,22534666,observed
121.6,148.75,184.5,214.25,256.1,SP_Tim,22534666,observed
21.7,38.25,85,171,211.5,Wet_BFL_Dur,22534666,observed
0.3818,0.5025,0.9160000000000001,1.33975,2.627000000000006,Wet_BFL_Mag_10,22534666,observed
0.722,0.98,1.415,6.205,62.750000000000284,Wet_BFL_Mag_50,22534666,observed
8.7,30.5,75.5,112.5,131.20000000000002,Wet_Tim,22534666,observed
103.8,108,139,146,149.6,Peak_Tim_10,22534666,observed
108.5,131,146.5,170,175.5,Peak_Tim_2,22534666,observed
106,114,130,136,147,Peak_Tim_5,22534666,observed
1,1,2,2,4.399999999999999,Peak_Dur_10,22534666,observed
3,6,12,22,72,Peak_Dur_2,22534666,observed
1,1,2,4,8.599999999999998,Peak_Dur_5,22534666,observed
3710,3710,3710,3710,3710,Peak_10,22534666,observed
53.3,53.3,53.3,53.3,53.3,Peak_2,22534666,observed
1950,1950,1950,1950,1950,Peak_5,22534666,observed
1,1,1,1,2.1999999999999993,Peak_Fre_10,22534666,observed
1,2,4,5,7,Peak_Fre_2,22534666,observed
1,1,1,1,2.1999999999999993,Peak_Fre_5,22534666,observed
