comid,metric,p10,p25,p50,p75,p90,source,result_type
2806597,Peak_Dur_2,1,1,3,7,14,inferred,predicted
2806597,Peak_Dur_5,1,1,2,3,5,inferred,predicted
2806597,Peak_Fre_2,1,1,2,3,5,inferred,predicted
2806597,Peak_Fre_5,1,1,1,2,3,inferred,predicted
2806597,Peak_10,300.49656223064096,502.08564665585703,848.7274185570869,1178.40997743863,1519.1519851806197,model,predicted
2806597,Peak_2,77.37188280662559,211.303646162188,286.121694206487,555.946609086471,677.388803976467,model,predicted
2806597,Peak_5,164.541436220018,444.179761020196,594.666325548596,890.350846776961,1108.9932544186802,model,predicted
2806597,DS_Dur_WS,160.386666666666,193.61875,219.604166666667,243.5,269.7125,model,predicted
2806597,DS_Mag_50,-6.88368112511384e-16,0,0.00521005265496347,0.139364134185299,0.452984292775668,model,predicted
2806597,DS_Mag_90,0.0328066160732319,0.297865286706159,0.799181602613453,1.55932906494512,2.90498283040667,model,predicted
2806597,DS_Tim,195.49,211.73125,228.45,245,270.36,model,predicted
2806597,FA_Dur,2,3,5,7,13.4,obs,predicted
2806597,FA_Mag,0.720629412888443,1.78124547901082,4.47799967774163,10.8016444124184,26.9525279425465,model,predicted
2806597,FA_Tim,15.465,35.25,44.3166666666666,57.0625,64.7583333333334,model,predicted
2806597,Peak_Dur_10,1,1,1,2,3.4,obs,predicted
2806597,Peak_Fre_10,1,1,1,2,2,obs,predicted
2806597,SP_Dur,19,27.3625,37.4,58.10625,88.205,model,predicted
2806597,SP_Mag,6.46083822560633,16.4457213662267,45.7828847322706,134.598460023978,274.216219475835,model,predicted
2806597,SP_ROC,0.048079693221675,0.0595744680851064,0.0759493670886077,0.106203007518797,0.177875188536953,obs,predicted
2806597,SP_Tim,155.395,168.55,181,196,210.191666666666,model,predicted
2806597,Wet_BFL_Dur,46.745,65.45,87.3,112.125,146,model,predicted
2806597,Wet_BFL_Mag_10,0.0940397202261423,0.405801365826599,1.08988610262738,1.73423089313388,2.37884196319289,model,predicted
2806597,Wet_BFL_Mag_50,1.43718910595121,2.58379056885625,4.35390178311421,8.05020575585527,13.688913441697,model,predicted
2806597,Wet_Tim,58.885,75,86.425,99.25,106.016666666667,model,predicted
