Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,188,236,2.1,5.1200000000000045,10,8.694911332223333,19,0.045340422389602716,75,1150,161,47,4.780000000000003,160,114,143,146.5,139.5,1,14,6,4520,818,3040,1,4,4
1981,151,318,2.1,3,NA,NA,NA,0.06451612903225812,144,13,174,116,3.1,3.4,58,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1982,231,273,1.9,8.6,NA,NA,NA,0.0714285714285715,102,2120,171,68,2.6,3.75,103,NA,167,NA,NA,2,NA,4520,818,3040,NA,1,NA
1983,172,228,2.3,3.7,6,20.990579643103434,40,0.09090909090909091,13,152,215,77,5.16,52,138,NA,151,152,NA,5,1,4520,818,3040,NA,3,1
1984,328,102,1.3,2.9,2,9.37598415167608,0,0.0429292929292929,13,197,89,55,2.1,3.2,34,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1985,170,232,3,3.7,5,2.682731326449958,13,0.09523809523809532,140,211,92,28,1.6,3.5,64,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1986,NA,363,NA,NA,NA,NA,NA,0.06976744186046505,193,511,170,134,1.2,2.2,36,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1987,101,285,1.4,1.8,3,5.502541256895492,1,0.07692307692307698,64,1.6,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1988,150,280,1.4,2,5,55.98014296963389,11,0.10555555555555556,74,99,206,186,0.25,0.85,20,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1989,NA,326,NA,NA,NA,NA,NA,0.06666666666666672,43,2.9,283,219,0.31,1.3,64,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1990,212,292,1.4,3.8,NA,NA,NA,0.046511627906976785,149,324,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1991,252,195,2.6,4,3,4.581978635356397,0,0.16666666666666666,14,3500,181,43,0.5640000000000001,12,138,151,163.5,164,1,3,2,4520,818,3040,1,2,2
1992,207,244,3,4.700000000000003,6,6.456593409832762,5,0.25000000000000006,66,1110,178,97,1.3,7.2,81,NA,137,NA,NA,4,NA,4520,818,3040,NA,3,NA
1993,236,241,3,13.5,4,10.968708566134772,23,0.05839002267573696,96,4000,145,60,6.3100000000000005,99.5,85,118.5,122,130,4,14,5,4520,818,3040,2,4,3
1994,154,293,2.7,4.9700000000000015,3,11.017086337693529,7,0.08108108108108115,82,78,211,100,3,5.800000000000001,111,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1995,252,221,3.1,6.49,3,10.974192245186385,13,0.13636363636363635,44,533,177,96,3.3,34,81,NA,136,161,NA,6,1,4520,818,3040,NA,5,1
1996,127,283,3.5,4,5,9.875103450125296,64,0.07407407407407414,115,144,168,61,2.3,3.2,107,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1997,208,278,2.9,4,2,8.917245295585142,30,0.19330565646081996,157,602,121,77,2,3.2,44,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
1998,176,238,3.5,5.95,9,30.027990072309354,57,0.15384615384615385,88,4200,150,30,2.8500000000000005,138.5,120,NA,140,146,NA,6,1,4520,818,3040,NA,4,1
1999,172,322,0.59,3.7,6,9.97535524826181,38,0.14285714285714288,38,21,284,236,1.3,3.2,48,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2000,128,331,2.9,4.06,4,3.8452732249242394,2,0.0540540540540541,168,122,163,35,0.8080000000000002,8.7,128,NA,143,NA,NA,1,NA,4520,818,3040,NA,1,NA
2001,175,214,3.66,4.3,4,8.402447557489658,26,0.21621621621621628,61,409,153,60,2.38,5.8,93,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2002,165,325,3.26,11.96,NA,NA,NA,0.09142857142857139,266,103,59,36,2.6550000000000002,3.18,23,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2003,237,209,8.17,10.2,3,46.09312078237642,39,0.04310344827586207,10,543,199,75,9.428,11.3,124,NA,156,NA,NA,3,NA,4520,818,3040,NA,2,NA
2004,214,165,3.285,7.507,4,64.18630446886169,43,0.10414984456376926,13,669,152,72,5.186,7.535,80,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2005,216,235,10.1,11.850000000000001,NA,NA,NA,0.09523027396360298,86,3500,149,136,3.02,24.9,13,NA,114,122.5,NA,14,4,4520,818,3040,NA,8,2
2006,223,220,4.47,5.252000000000001,3,64.07756933286464,17,0.08751453414893076,30,733,190,105,5.582000000000001,11.6,85,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2007,200,216,3.18,3.82,3,30.55050982969856,70,0.042173853524982916,10,26.5,206,129,3.3600000000000003,8.26,77,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2008,173,245,7.94,9.796000000000001,NA,NA,NA,0.04307692307692312,123,1480,122,72,3.03,6.05,50,NA,98,NA,NA,4,NA,4520,818,3040,NA,3,NA
2009,115,314,3.03,3.22,NA,NA,NA,0.01769911504424788,172,453,142,90,3.2140000000000004,10.350000000000001,52,NA,77,NA,NA,1,NA,4520,818,3040,NA,1,NA
2010,139,296,4.34,5.0120000000000005,NA,NA,NA,0.03361344537815129,164,1400,132,69,3.298,8.99,63,NA,112,NA,NA,4,NA,4520,818,3040,NA,3,NA
2011,209,185,9.72,11.9,9,88.69405721270414,18,0.1727087783541857,99,5890,86,17,5.282,5.41,69,82,114,82,1,4,1,4520,818,3040,1,2,1
2012,151,272,3.01,3.11,NA,NA,NA,0.013489802429017601,72,80.2,200,172,4.453,10.6,28,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2013,328,174,3.19,9.783,NA,NA,NA,0.007868882847256536,12,217,162,105,3.254,5.38,57,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2014,252,166,4.35,10.2,NA,NA,NA,0.002028397565922878,11,1370,155,19,9.786,9.81,136,NA,151,NA,NA,1,NA,4520,818,3040,NA,1,NA
2015,146,304,4.365,5.295,NA,NA,NA,0.028409090909090974,74,141,230,178,3.2969999999999997,8.195,52,NA,64,NA,NA,1,NA,4520,818,3040,NA,1,NA
2016,190,248,4.34,4.91,NA,NA,NA,0.006543075245365376,122,180,126,42,5.311,8.865,84,NA,NA,NA,NA,NA,NA,4520,818,3040,NA,NA,NA
2017,175,278,7.61,7.83,6,18.387638713449856,57,0.004367550978588756,125,872,153,81,5.32,10.1,72,NA,113,NA,NA,4,NA,4520,818,3040,NA,3,NA
2018,150,332,3.22,8.306999999999984,NA,NA,NA,0.01291392936939334,228,1020,104,17,5.24,9.62,87,NA,100,NA,NA,1,NA,4520,818,3040,NA,1,NA
2019,134,279,7.65,8.777,4,31.08562752624583,12,0.08516014413600007,139,6770,140,24,3.313,16.55,116,136,136,136,1,1,1,4520,818,3040,1,1,1
2020,205,208,7.8,11.5,NA,NA,NA,0.17575442334958097,12,2600,196,149,7.282,11.2,47,NA,192,NA,NA,1,NA,4520,818,3040,NA,1,NA
