metric,status_code,status,alteration_type,median_in_iqr,comid
DS_Dur_WS,1,likely_unaltered,none_found,TRUE,17115319
DS_Tim,0,indeterminate,late,FALSE,17115319
DS_Mag_50,-1,likely_altered,low,FALSE,17115319
DS_Mag_90,-1,likely_altered,low,FALSE,17115319
FA_Mag,-1,likely_altered,low,FALSE,17115319
FA_Tim,0,indeterminate,early,FALSE,17115319
SP_Dur,0,indeterminate,unknown,TRUE,17115319
SP_Mag,-1,likely_altered,low,FALSE,17115319
SP_Tim,0,indeterminate,unknown,TRUE,17115319
Wet_BFL_Dur,0,indeterminate,low,FALSE,17115319
Wet_BFL_Mag_10,-1,likely_altered,low,FALSE,17115319
Wet_BFL_Mag_50,-1,likely_altered,low,FALSE,17115319
Wet_Tim,0,indeterminate,unknown,TRUE,17115319
Peak_10,-1,likely_altered,low,FALSE,17115319
Peak_2,-1,likely_altered,low,FALSE,17115319
Peak_5,-1,likely_altered,low,FALSE,17115319
