comid,metric,p10,p25,p50,p75,p90,source,result_type
948091323,Peak_10,2579.20633499767,3275.7711179625203,9893.907868574459,18882.2546151241,27741.6392972135,model,predicted
948091323,Peak_2,434.596291690033,690.573659364365,1411.65387585844,4475.5620888432595,9476.39806116357,model,predicted
948091323,Peak_5,1169.728,1374.975,5971.906,12265.32,18136.72,model,predicted
948091323,DS_Dur_WS,70.25,110.625,160.9,218.05625,271.916666666667,model,predicted
948091323,DS_Mag_50,0,3.94089799284603,15.7850366158353,34.1646270291981,97.7966517319989,model,predicted
948091323,DS_Mag_90,1.48988801770943,10.9190134948954,28.3293729853622,96.2707131061403,201.975248594836,model,predicted
948091323,DS_Tim,202.235,234.725,280.208333333333,310,332.273333333333,model,predicted
948091323,FA_Mag,45.7870280653381,137.782991816085,413.563200436587,1178.1664630811,1946.94448583913,model,predicted
948091323,FA_Tim,6.59,18.6833333333334,43.5916666666666,58,64,model,predicted
948091323,SP_Dur,25,47.15,85.95,141,187.716666666666,model,predicted
948091323,SP_Mag,130.335132000482,419.112809279626,1180.58413909363,3475.63417966776,6304.30425214758,model,predicted
948091323,SP_Tim,96.385,143.5625,178.5,224.7,254.73,model,predicted
948091323,Wet_BFL_Dur,34.7666666666667,67.79375,129.216666666666,179.7875,226.775,model,predicted
948091323,Wet_BFL_Mag_10,0.536618172533718,11.7123334680827,24.9712282199103,78.1539805760552,170.093754405841,model,predicted
948091323,Wet_BFL_Mag_50,12.660498114361,30.3824164062705,93.498611692134,227.236858935054,451.618793630229,model,predicted
948091323,Wet_Tim,13.99,29.6208333333334,54.4208333333333,92.225,125.5025,model,predicted
