p10,p25,p50,p75,p90,metric,comid,result_type
149.5,181,216,286,370.5,DS_Dur_WS,8037545,observed
136.3,187.75,241.5,277.25,331.4,DS_Tim,8037545,observed
5.7,6.1,10.5,11,20,DS_Mag_50,8037545,observed
6.2,11,11.5,21.3125,39.85,DS_Mag_90,8037545,observed
2,3,4,5,6.900000000000002,FA_Dur,8037545,observed
15.89301425001565,27.450422676227024,33.495837781406834,49.99534995598762,247.39399138342523,FA_Mag,8037545,observed
2.5000000000000004,7.25,22,34.25,50.70000000000003,FA_Tim,8037545,observed
0.017859990886306652,0.07561291561353792,0.10394952147104555,0.16009199134199137,0.24114288639070874,SP_ROC,8037545,observed
14.5,26.25,52,102.25,166.5,SP_Dur,8037545,observed
12.9,34.75,557.5,2250,4474,SP_Mag,8037545,observed
45.000000000000014,137,185,221,238.8,SP_Tim,8037545,observed
18.4,28.5,43,103,138.20000000000002,Wet_BFL_Dur,8037545,observed
5.5,5.9,6.8,23.5,74.28000000000006,Wet_BFL_Mag_10,8037545,observed
6.62,7.5,102,333.25,631.4000000000003,Wet_BFL_Mag_50,8037545,observed
28.5,57.25,109.5,131.5,155,Wet_Tim,8037545,observed
102.4,119.5,134,161.75,202.7,Peak_Tim_10,8037545,observed
88.9,136.5,157.5,182.875,222.35000000000002,Peak_Tim_2,8037545,observed
87,90.75,134,179.75,230,Peak_Tim_5,8037545,observed
1.9000000000000001,3.25,4,4,4,Peak_Dur_10,8037545,observed
1.9000000000000004,4.5,12,19.5,27.20000000000003,Peak_Dur_2,8037545,observed
1,1,1,4.25,5.6,Peak_Dur_5,8037545,observed
5187,5187,5187,5187,5187,Peak_10,8037545,observed
906,906,906,906,906,Peak_2,8037545,observed
4416,4416,4416,4416,4416,Peak_5,8037545,observed
1,1,1,1,1,Peak_Fre_10,8037545,observed
1,1.75,2.5,4.25,5.100000000000001,Peak_Fre_2,8037545,observed
1,1,1,1,1.5999999999999996,Peak_Fre_5,8037545,observed
