p10,p25,p50,p75,p90,metric,comid,result_type
204.4,224,258,285,297,DS_Dur_WS,8212843,observed
180.10000000000002,202.25,213,226.25,236.7,DS_Tim,8212843,observed
0,0,0,0,0.17999999999999988,DS_Mag_50,8212843,observed
0.042200000000000855,0.45599999999999996,2.1,19.900000000000013,40.136000000000045,DS_Mag_90,8212843,observed
4.2,7.5,10.5,19,19.9,FA_Dur,8212843,observed
10.710997710033489,12.699551120579663,23.387277047530823,52.74599540756965,1116.8368980107907,FA_Mag,8212843,observed
19,28,41,59.25,65.4,FA_Tim,8212843,observed
0.050943627794467504,0.06669704301919996,0.08163401306144208,0.11290962621607782,0.16000442086648986,SP_ROC,8212843,observed
23.3,30,36.5,50.5,66.39999999999999,SP_Dur,8212843,observed
41.160000000000004,334.25,998.5,3070,4114,SP_Mag,8212843,observed
148.2,157.5,169.5,182,197.7,SP_Tim,8212843,observed
33.2,47.25,61.5,96.75,105.7,Wet_BFL_Dur,8212843,observed
0,0.6705,12.8,60.325,130.5,Wet_BFL_Mag_10,8212843,observed
5.561000000000001,23.4875,183,427.5,557,Wet_BFL_Mag_50,8212843,observed
68.8,76.5,101,118.75,133.2,Wet_Tim,8212843,observed
96.6,105,134.5,140,152,Peak_Tim_10,8212843,observed
115,129.5,136,138.5,155.6,Peak_Tim_2,8212843,observed
102.19999999999999,105,140,160,187.2,Peak_Tim_5,8212843,observed
1,1,2,2,2.5999999999999996,Peak_Dur_10,8212843,observed
2.5999999999999996,4,10,15,17.199999999999996,Peak_Dur_2,8212843,observed
1,1,1,4,4,Peak_Dur_5,8212843,observed
7850,7850,7850,7850,7850,Peak_10,8212843,observed
1800,1800,1800,1800,1800,Peak_2,8212843,observed
6320,6320,6320,6320,6320,Peak_5,8212843,observed
1,1,1,1,1.5999999999999996,Peak_Fre_10,8212843,observed
1,2,3,5,6,Peak_Fre_2,8212843,observed
1,1,1,2,3,Peak_Fre_5,8212843,observed
