p10,p25,p50,p75,p90,metric,comid,result_type
103,123,150,173,208,DS_Dur_WS,14934716,observed
263,273,290,302,311,DS_Tim,14934716,observed
0,0.71,2.31,6.3,11,DS_Mag_50,14934716,observed
2.1,4.8660000000000005,8.8,12.390000000000013,22,DS_Mag_90,14934716,observed
2,3,4,6,8,FA_Dur,14934716,observed
2.7673224071432765,4.92556191010331,8.819527985015602,24.572533138080683,33.00148506096986,FA_Mag,14934716,observed
6,11,19,32,49,FA_Tim,14934716,observed
0.035435267857142856,0.04178995876788745,0.0591133004926108,0.08333333333333333,0.1304964539007092,SP_ROC,14934716,observed
67,86,112,125,142,SP_Dur,14934716,observed
28,37.4,78.4,227,420,SP_Mag,14934716,observed
147,160,182,204,222,SP_Tim,14934716,observed
51,69,99,133,159,Wet_BFL_Dur,14934716,observed
5.06,7.33,12.4,19,25.8,Wet_BFL_Mag_10,14934716,observed
11.8,12.25,29,56,76,Wet_BFL_Mag_50,14934716,observed
25,40,83,102,118,Wet_Tim,14934716,observed
80.4,82.5,129,142,143.2,Peak_Tim_10,14934716,observed
90,126.5,141,156,173,Peak_Tim_2,14934716,observed
100,105,142,156,167.2,Peak_Tim_5,14934716,observed
1,1,1,2,2.5999999999999996,Peak_Dur_10,14934716,observed
1,1,4,8,40,Peak_Dur_2,14934716,observed
1,1,2,4,7.199999999999999,Peak_Dur_5,14934716,observed
1080,1080,1080,1080,1080,Peak_10,14934716,observed
246,246,246,246,246,Peak_2,14934716,observed
654,654,654,654,654,Peak_5,14934716,observed
1,1,1,1,1.5999999999999996,Peak_Fre_10,14934716,observed
1,1,2,4,7,Peak_Fre_2,14934716,observed
1,1,2,2,4.199999999999999,Peak_Fre_5,14934716,observed
