p10,p25,p50,p75,p90,metric,comid,result_type
96.10000000000001,166.75,223.5,252.25,272.5,DS_Dur_WS,22660067,observed
236.7,266.25,279,291.5,308.59999999999997,DS_Tim,22660067,observed
0,0,0.03,0.075,0.10200000000000001,DS_Mag_50,22660067,observed
0,0,0.095,0.24000000000000002,0.33000000000000007,DS_Mag_90,22660067,observed
2.2,2.5,3,4.5,5.3999999999999995,FA_Dur,22660067,observed
59.771072352899104,66.97072595856595,78.97014863467736,234.4444689227165,327.72906109554,FA_Mag,22660067,observed
37.8,46.5,61,67,70.6,FA_Tim,22660067,observed
0.07878906249999997,0.11646341463414632,0.30853276353276354,0.4507168458781362,0.6205555555555555,SP_ROC,22660067,observed
58.7,71,91.5,126.75,166.79999999999998,SP_Dur,22660067,observed
98.4,161.25,251,345.5,606.8,SP_Mag,22660067,observed
134.8,159.25,179,194.25,211.2,SP_Tim,22660067,observed
44.10000000000001,54,74,94.75,115.89999999999999,Wet_BFL_Dur,22660067,observed
0,0,0,1.1740000000000002,10.635999999999996,Wet_BFL_Mag_10,22660067,observed
24.653000000000006,38,48,106.625,306.3499999999999,Wet_BFL_Mag_50,22660067,observed
28.700000000000003,83,106.5,119,132.5,Wet_Tim,22660067,observed
93.79999999999998,113,145,152.75,157.4,Peak_Tim_10,22660067,observed
118.8,137.75,148,170.5,175.3,Peak_Tim_2,22660067,observed
93.79999999999998,113,145,157,164.2,Peak_Tim_5,22660067,observed
2,2,2,5.5,7.599999999999999,Peak_Dur_10,22660067,observed
6.200000000000001,7.5,17,29,47.00000000000001,Peak_Dur_2,22660067,observed
2,2,2,11.5,17.199999999999996,Peak_Dur_5,22660067,observed
843.5,843.5,843.5,843.5,843.5,Peak_10,22660067,observed
142,142,142,142,142,Peak_2,22660067,observed
651,651,651,651,651,Peak_5,22660067,observed
1,1,1,2.5,3.3999999999999995,Peak_Fre_10,22660067,observed
2,2.5,3,6.5,8.4,Peak_Fre_2,22660067,observed
1,1,1,2.5,3.3999999999999995,Peak_Fre_5,22660067,observed
