Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1994,169,279,0.04,0.25,5,1.4758243988639788,75,0.09375000000000008,67,12,212,105,0.71,1.1,107,NA,129,NA,NA,1,NA,222.4,32.6,148.60000000000002,NA,1,NA
1995,133,325,0.38,0.66,NA,NA,NA,0.08000000000000007,160,172,165,83,0.59,2.8,82,155,101,158,1,8,2,222.4,32.6,148.60000000000002,1,5,2
1996,115,287,0.02,0.04600000000000009,3,2.5743301698547523,74,0.10000000000000009,47,19,240,148,0.46399999999999997,0.945,92,NA,NA,NA,NA,NA,NA,222.4,32.6,148.60000000000002,NA,NA,NA
1997,313,163,0.21,1.1,NA,NA,NA,0.08333333333333323,42,97,121,85,0.218,1.1,36,NA,104,NA,NA,3,NA,222.4,32.6,148.60000000000002,NA,3,NA
1998,100,288,0.42,0.59,8,13.960754789084705,57,0.0871212121212121,68,9.2,220,110,1.2900000000000003,4.05,110,NA,140,146,NA,9,1,222.4,32.6,148.60000000000002,NA,6,1
1999,143,345,0.04,0.32799999999999996,NA,NA,NA,0.055555555555555455,148,9,197,175,0.5360000000000001,0.68,22,NA,NA,NA,NA,NA,NA,222.4,32.6,148.60000000000002,NA,NA,NA
2000,198,259,0,0.29,NA,NA,NA,0.09677419354838701,37,0.51,222,100,0.46,0.525,122,NA,NA,NA,NA,NA,NA,222.4,32.6,148.60000000000002,NA,NA,NA
2001,NA,255,NA,NA,NA,NA,NA,0.03935185185185183,49,1.8,206,115,0.48,0.65,91,NA,102,NA,NA,1,NA,222.4,32.6,148.60000000000002,NA,1,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.4,32.6,148.60000000000002,NA,NA,NA
2003,154,290,0.01,0.12400000000000033,NA,NA,NA,0.08440251572327044,91,42.2,199,137,0.266,0.49,62,NA,165,NA,NA,4,NA,222.4,32.6,148.60000000000002,NA,3,NA
