Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,164,235,3260,4082.000000000001,2,5400.028395762543,15,0.043804956035171864,84,13500,151,72,3607,7095,79,106,122,104,1,15,5,31210.000000000004,13800,27520.000000000007,1,2,1
1981,103,269,2940,3622,NA,NA,NA,0.17523809523809525,87,8120,182,149,2368,3630,33,NA,NA,NA,NA,NA,NA,31210.000000000004,13800,27520.000000000007,NA,NA,NA
1982,159,273,3770,4254,NA,NA,NA,0.059530191063292104,74,27100,199,193,3004,7920,6,NA,79,NA,NA,28,NA,31210.000000000004,13800,27520.000000000007,NA,5,NA
1983,NA,293,NA,NA,NA,NA,NA,0.03811944091486658,109,17800,184,118,4281,10350,66,NA,151.5,163,NA,34,1,31210.000000000004,13800,27520.000000000007,NA,6,1
1984,NA,265,NA,NA,2,7799.881145955772,41,0.06754772393538913,89,8840,176,NA,NA,NA,NA,NA,71,NA,NA,1,NA,31210.000000000004,13800,27520.000000000007,NA,1,NA
1985,NA,NA,NA,NA,4,5579.893151925473,15,NA,NA,9140,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31210.000000000004,13800,27520.000000000007,NA,NA,NA
1986,NA,364,NA,NA,2,7709.840504949465,63,0.11610866198022161,215,28300,149,46,5405,7785,103,139,147.5,139,6,23,7,31210.000000000004,13800,27520.000000000007,1,2,1
1987,NA,NA,NA,NA,1,6319.8682502350875,2,NA,NA,10600,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31210.000000000004,13800,27520.000000000007,NA,NA,NA
1988,143,351,3080,4204,NA,NA,NA,0.2147239263803681,125,5230,226,177,2640,3920,49,NA,NA,NA,NA,NA,NA,31210.000000000004,13800,27520.000000000007,NA,NA,NA
1989,NA,253,NA,NA,4,4869.909839310374,46,0.13901345291479822,80,11300,173,45,2570,6550,128,NA,159,NA,NA,6,NA,31210.000000000004,13800,27520.000000000007,NA,1,NA
