Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,NA,254,NA,NA,NA,NA,NA,0.06666666666666667,144,2430,110,22,15,30.5,88,NA,103,104,NA,9,1,7533.000000000004,400,4578.000000000002,NA,1,1
1981,286,208,10,32.5,NA,NA,NA,0.06904761904761905,28,66,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7533.000000000004,400,4578.000000000002,NA,NA,NA
1982,220,279,21,38,3,39.99933965297966,44,0.05,13,1580,266,138,25.700000000000003,479,128,NA,182,138,NA,86,1,7533.000000000004,400,4578.000000000002,NA,8,1
1983,108,295,20,22,3,83.9924151674148,60,0.5268571428571428,13,1430,282,149,239,655,133,NA,156,NA,NA,125,NA,7533.000000000004,400,4578.000000000002,NA,5,NA
1984,NA,181,NA,NA,7,557.9699551920719,31,0.09526209677419355,89,2660,92,55,20.8,363,37,NA,64,NA,NA,36,NA,7533.000000000004,400,4578.000000000002,NA,5,NA
1985,241,253,17,19,3,42.91605649815139,58,0.06458333333333333,64,37,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7533.000000000004,400,4578.000000000002,NA,NA,NA
1986,182,199,22,25,6,36.99883612126749,62,0.23163841807909605,37,5690,162,34,16.6,541,128,139,166,148.5,1,36,5,7533.000000000004,400,4578.000000000002,1,4,2
1987,192,197,11,12,NA,NA,NA,0.06477732793522267,26,24,171,156,11,13,15,NA,NA,NA,NA,NA,NA,7533.000000000004,400,4578.000000000002,NA,NA,NA
1988,264,239,5.7,6.800000000000001,NA,NA,NA,0.02213255074590366,133,19,106,83,6.5,7.1,23,NA,NA,NA,NA,NA,NA,7533.000000000004,400,4578.000000000002,NA,NA,NA
1989,NA,198,NA,NA,3,22.85394952682712,53,0.10555555555555554,19,66,179,42,12,29,137,NA,NA,NA,NA,NA,NA,7533.000000000004,400,4578.000000000002,NA,NA,NA
