Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,NA,354,NA,NA,3,50.03233060416349,1,0.025559366323697534,69,4170,285,197,605.0000000000001,2320,88,NA,155,275,NA,189,14,4524.000000000001,1430,3824.0000000000014,NA,2,1
1981,206,343,43,368,NA,NA,NA,0.06363636363636363,52,1110,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
1982,159,345,1030,1504.0000000000011,NA,NA,NA,0.08826701821668265,19,2210,326,143,405.79999999999995,2010,183,NA,238,NA,NA,98,NA,4524.000000000001,1430,3824.0000000000014,NA,1,NA
1983,37,354,1500,2020,2,1699.9995910324728,28,0.038910505836575876,85,6590,269,131,1260,5040,138,191,112,187,110,232,115,4524.000000000001,1430,3824.0000000000014,1,6,1
1984,196,378,364.5,682.5,NA,NA,NA,0.08532493835857696,61,1520,317,292,489,999.5,25,NA,205,NA,NA,50,NA,4524.000000000001,1430,3824.0000000000014,NA,6,NA
1985,145,348,52,198,2,678.8871198668429,22,0.09880262249827468,67,1830,281,85,531.2,1050,196,NA,251,NA,NA,53,NA,4524.000000000001,1430,3824.0000000000014,NA,1,NA
1986,18,356,631,1185,1,163.99921000594946,0,0.042459511663612504,97,3750,259,132,313.09999999999997,2240,127,NA,252,246,NA,156,6,4524.000000000001,1430,3824.0000000000014,NA,2,1
1987,139,344,3.6,65,2,1260.2012005561603,5,0.08821216690656247,52,1050,292,284,2.4,302.5,8,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
1988,163,338,6.9,62,1,37.99866050164602,0,0.14864864864864866,40,735,298,181,77,199,117,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
1989,259,332,7.3,59,3,148.95267249632167,10,0.06480195115927265,42,927,290,155,67,223,135,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
1990,225,377,6,79,NA,NA,NA,0.036375661375661415,81,276,296,71,8.8,60,225,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
1991,230,334,26.5,58,4,20.998505436757966,0,0.04076433121019108,33,1070,301,76,44.5,723,225,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
1992,221,333,23,244,2,63.91706553267887,48,0.17100909842845327,25,470,308,110,28,198,198,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
1993,NA,354,NA,NA,NA,NA,NA,0.08450704225352113,58,1590,296,108,301.30000000000007,830,188,NA,291,NA,NA,37,NA,4524.000000000001,1430,3824.0000000000014,NA,5,NA
1994,155,352,24,26.599999999999994,NA,NA,NA,0.06649616368286446,42,826,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
1995,NA,380,NA,NA,NA,NA,NA,0.03680054151624548,66,3430,314,173,258.4,1820,141,NA,214,NA,NA,154,NA,4524.000000000001,1430,3824.0000000000014,NA,4,NA
1996,35,370,331,611.6,NA,NA,NA,0.04380952380952381,110,2670,260,NA,NA,NA,NA,NA,219,NA,NA,107,NA,4524.000000000001,1430,3824.0000000000014,NA,1,NA
1997,94,374,286,810.6000000000004,2,824.879176148096,14,0.05499788982544167,87,1970,287,252,272.1,1410,35,NA,154.5,NA,NA,153,NA,4524.000000000001,1430,3824.0000000000014,NA,8,NA
1998,18,362,1050,1230,3,686.0371615353579,25,0.04013377926421405,64,3280,298,204,423.30000000000007,1545,94,NA,144,243,NA,159,39,4524.000000000001,1430,3824.0000000000014,NA,3,1
1999,156,380,22.5,52,NA,NA,NA,0.16417910447761194,69,1040,311,297,40.6,251,14,NA,54,NA,NA,1,NA,4524.000000000001,1430,3824.0000000000014,NA,1,NA
2000,NA,344,NA,NA,2,58.00017020215062,0,0.06952380952380953,64,1190,280,124,53.20000000000002,427,156,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
2001,234,343,25,109.50000000000009,2,472.004013186179,4,0.13577441077441077,68,1100,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4524.000000000001,1430,3824.0000000000014,NA,NA,NA
