p10,p25,p50,p75,p90,metric,comid,result_type
80,98,123,153.25,163.3,DS_Dur_WS,3917058,observed
265,279,287,306,313,DS_Tim,3917058,observed
24.525,31.225,52.175,115.75,145.3,DS_Mag_50,3917058,observed
94.32000000000001,123.65,149.5,180.75,203.62,DS_Mag_90,3917058,observed
2,2,3,5,7,FA_Dur,3917058,observed
112.39910277477802,124.49177178691059,149.19574763040544,184.6146292907507,216.1954397853275,FA_Mag,3917058,observed
1,3,8,12.5,21.800000000000004,FA_Tim,3917058,observed
0.04289613607735396,0.04986149584487535,0.06118143459915612,0.09173669467787116,0.11792214357937311,SP_ROC,3917058,observed
65,115,135,151,180,SP_Dur,3917058,observed
218,277,421,915,1430,SP_Mag,3917058,observed
98,139,156,180,227,SP_Tim,3917058,observed
53,79.5,109,144,177.50000000000006,Wet_BFL_Dur,3917058,observed
124.91,141.8,169.05,203.25,242.44,Wet_BFL_Mag_10,3917058,observed
152.8,173,207.5,288.75,391.6,Wet_BFL_Mag_50,3917058,observed
13,20.5,41,66,83.9,Wet_Tim,3917058,observed
84,90,92,129,142.79999999999998,Peak_Tim_10,3917058,observed
80.5,103,129,147,165,Peak_Tim_2,3917058,observed
87,91,111,140,155.6,Peak_Tim_5,3917058,observed
1,1,1,3,3,Peak_Dur_10,3917058,observed
1,2,6,13,27,Peak_Dur_2,3917058,observed
1.8,2,3,4,5,Peak_Dur_5,3917058,observed
2600,2600,2600,2600,2600,Peak_10,3917058,observed
780,780,780,780,780,Peak_2,3917058,observed
1750,1750,1750,1750,1750,Peak_5,3917058,observed
1,1,1,1,1,Peak_Fre_10,3917058,observed
1,1,2,5,7,Peak_Fre_2,3917058,observed
1,1,1,1,1.1999999999999993,Peak_Fre_5,3917058,observed
