p10,p25,p50,p75,p90,metric,comid,result_type
154,175.5,216,249,264,DS_Dur_WS,20330878,observed
213,228.25,253,270.25,291,DS_Tim,20330878,observed
0,0,0.02,0.47,2.4,DS_Mag_50,20330878,observed
0.03,0.2864999999999999,0.6120000000000002,2.2935,7.4,DS_Mag_90,20330878,observed
2.7,4.25,7,10.75,19.3,FA_Dur,20330878,observed
1.1925016395033068,2.602945618222802,4.762267783949898,7.498640974570388,18.19315366365195,FA_Mag,20330878,observed
19,31.25,50,57.75,60.3,FA_Tim,20330878,observed
0.0519920430124707,0.06064959096221266,0.08296897546897544,0.1465324197860963,0.23079479000531633,SP_ROC,20330878,observed
18.5,27.25,62.5,78.5,114.5,SP_Dur,20330878,observed
2.85,8.290000000000001,28,131,414.5,SP_Mag,20330878,observed
148.5,176.5,187.5,207.5,233.5,SP_Tim,20330878,observed
41.900000000000006,57.25,91.5,110.25,147.29999999999998,Wet_BFL_Dur,20330878,observed
0.028800000000000017,0.46425000000000005,1.05,5.538,9.986799999999999,Wet_BFL_Mag_10,20330878,observed
0.7610000000000006,1.8250000000000002,4.8,11.5125,57.04999999999999,Wet_BFL_Mag_50,20330878,observed
49.300000000000004,84,96.5,119.75,128.4,Wet_Tim,20330878,observed
90,102,130,136,147.39999999999998,Peak_Tim_10,20330878,observed
109,121,134.5,157,170,Peak_Tim_2,20330878,observed
98,124,137,148,151.79999999999998,Peak_Tim_5,20330878,observed
1,1,1,2,4.399999999999999,Peak_Dur_10,20330878,observed
1,3,7,22,68,Peak_Dur_2,20330878,observed
1,1,2,4,9.199999999999996,Peak_Dur_5,20330878,observed
1340,1340,1340,1340,1340,Peak_10,20330878,observed
84,84,84,84,84,Peak_2,20330878,observed
654,654,654,654,654,Peak_5,20330878,observed
1,1,1,1,1.5999999999999996,Peak_Fre_10,20330878,observed
1,1,3,6,8,Peak_Fre_2,20330878,observed
1,1,1,2,6,Peak_Fre_5,20330878,observed
