Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1980,NA,355,NA,NA,1,333.99897882119546,1,0.02531645569620253,193,6970,162,63,8.58,3150,99,140,121.5,140,4,34,5,16200,3300,10700,1,2,1
1981,165,380,70,353,NA,NA,NA,0.0170865545764178,204,2060,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
1982,217,228,506,646,5,443.0003540724621,1,0.19701492537313434,13,861,215,50,186.7,692.5,165,NA,192,NA,NA,9,NA,16200,3300,10700,NA,1,NA
1983,167,261,586,697.4000000000001,1,3849.3533954843147,61,0.0335195530726257,37,2010,224,145,77.80000000000001,2800,79,135,141.5,140.5,3,68,9,16200,3300,10700,2,6,4
1984,NA,337,NA,NA,NA,NA,NA,0.04494949494949495,242,3680,95,33,138.8,291,62,NA,95,NA,NA,9,NA,16200,3300,10700,NA,3,NA
1985,133,362,93,413,NA,NA,NA,0.036231884057971016,81,643,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
1986,NA,361,NA,NA,1,425.9998606252796,4,0.0392156862745098,190,10700,171,42,34.2,2425,129,NA,153,167,NA,15,1,16200,3300,10700,NA,4,1
1987,NA,360,NA,NA,NA,NA,NA,0.03881278538812785,97,405,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
1988,NA,385,NA,NA,NA,NA,NA,0.0223463687150838,144,453,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
1989,14,373,11,15,NA,NA,NA,0.05902848944455831,111,518,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
1990,224,292,4.95,9.970000000000002,NA,NA,NA,0.06458333333333338,27,4.5,265,251,4.5,14,14,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
1991,NA,326,NA,NA,4,9.396982912727816,56,0.06204906204906205,145,5250,181,31,12,54,150,NA,173,NA,NA,3,NA,16200,3300,10700,NA,2,NA
1992,170,291,321.5,453.89999999999986,NA,NA,NA,0.05,150,5110,141,NA,NA,NA,NA,NA,135,NA,NA,4,NA,16200,3300,10700,NA,1,NA
1993,NA,359,NA,NA,6,1079.9934768539756,18,0.024193548387096774,176,2050,183,88,197.70000000000002,996.5,95,NA,123,125,NA,16,2,16200,3300,10700,NA,2,2
1994,93,431,237,416,NA,NA,NA,0.01914348806615298,149,838,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
1995,171,310,238,599,3,537.999972755364,0,0.052708333333333336,133,12500,177,84,290.9,856,93,160,144,160,3,18,5,16200,3300,10700,1,4,3
1996,253,193,431,567,3,467.9968454165453,8,0.06811156903149837,24,1570,169,54,198.70000000000002,1655,115,NA,142,NA,NA,14,NA,16200,3300,10700,NA,3,NA
1997,105,359,37,70.60000000000001,3,4599.8363140733045,71,0.039568345323741004,238,16200,121,41,345,4190,80,117,91,105.5,1,38,3,16200,3300,10700,1,5,2
1998,29,358,92,94,6,128.99913474883863,65,0.06884057971014493,210,13000,148,50,242.79999999999998,1160,98,130,125,137,1,30,10,16200,3300,10700,1,1,5
1999,30,374,36,40.1,NA,NA,NA,0.03732512915771753,96,477,278,257,113,243,21,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
2000,41,361,31,37,NA,NA,NA,0.042749597632521674,210,5600,151,121,45,202,30,NA,140.5,NA,NA,8,NA,16200,3300,10700,NA,2,NA
2001,219,183,426,539,NA,NA,NA,0.06755401901469317,23,10300,160,124,63,219.5,36,NA,155,NA,NA,3,NA,16200,3300,10700,NA,1,NA
2002,NA,114,NA,NA,NA,NA,NA,0.025469168900804178,62,834,52,16,35.3,777,36,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
2003,25,376,33.5,39.260000000000005,NA,NA,NA,0.022292993630573247,116,496,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
2004,101,348,32.9,37.2,NA,NA,NA,0.034954407294832825,81,637,267,242,49.47,224,25,NA,NA,NA,NA,NA,NA,16200,3300,10700,NA,NA,NA
