Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
1916,210,323,58,173.9999999999999,NA,NA,NA,0.12340425531914893,59,2280,264,116,173,920,148,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1917,193,334,18,64.80000000000007,5,295.0030101409537,1,0.0692966763958196,72,2680,262,95,160.60000000000002,719,167,NA,253,NA,NA,10,NA,4276,2330,3610,NA,2,NA
1918,227,302,62,116,NA,NA,NA,0.09376772546795235,43,2820,259,98,112,693.5,161,NA,249,NA,NA,9,NA,4276,2330,3610,NA,1,NA
1919,248,288,27,79.90000000000003,5,1870.0019670504657,0,0.07229868691662711,44,3020,244,81,90,726,163,NA,236.5,NA,NA,4,NA,4276,2330,3610,NA,2,NA
1920,219,318,91,221.4000000000003,3,54.977401724113605,72,0.08351648351648351,73,1960,245,75,109.4,328,170,NA,231,NA,NA,2,NA,4276,2330,3610,NA,1,NA
1921,227,327,34,82.20000000000005,9,145.12391790551553,25,0.09090909090909091,58,2340,269,98,314,872.5,171,NA,258.5,NA,NA,5,NA,4276,2330,3610,NA,2,NA
1922,199,325,60,92,NA,NA,NA,0.07094109195402298,63,2280,262,74,188,1620,188,NA,237.5,NA,NA,12,NA,4276,2330,3610,NA,2,NA
1923,222,314,45.5,120,5,97.96946033508809,73,0.09558823529411764,36,1380,278,120,187.6,751,158,NA,253,NA,NA,1,NA,4276,2330,3610,NA,1,NA
1924,252,272,50,135.30000000000004,5,133.99980952589843,0,0.06247987919218068,47,1100,225,55,50,317,170,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1925,173,335,32,55,4,75.97778131818268,28,0.08333333333333333,76,2000,259,101,198,795,158,NA,237,NA,NA,2,NA,4276,2330,3610,NA,1,NA
1926,239,309,58,205,5,58.19739477316889,19,0.07692307692307693,75,1740,234,92,102.2,366,142,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1927,184,334,57,164,3,285.84401806859586,54,0.08293657791100922,75,2280,259,77,239.60000000000002,1170,182,NA,227,NA,NA,2,NA,4276,2330,3610,NA,1,NA
1928,234,316,16.5,79.40000000000003,3,195.99786313806368,26,0.08830409356725147,73,1740,243,91,91,473,152,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1929,222,300,13.5,66.9,NA,NA,NA,0.0847457627118644,38,1940,262,78,148,564.5,184,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1930,203,306,13,27.80000000000001,4,25.99958061035634,70,0.0802263251935676,53,1620,253,97,95,425,156,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1931,237,293,10,112.00000000000003,6,22.927560245205832,13,0.08667083854818523,68,833,225,82,34.5,192.5,143,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1932,203,328,10,36.60000000000002,NA,NA,NA,0.08060030686612965,59,2280,269,105,258.4,708,164,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1933,190,312,9.5,58.099999999999994,NA,NA,NA,0.1,52,2240,260,95,82.4,346,165,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1934,234,300,52,114.40000000000003,5,14.999514155944867,30,0.09169732002101944,78,857,222,86,76.5,298,136,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1935,213,323,22,122.2000000000001,7,88.97764217199821,31,0.08947368421052632,71,2420,252,84,139.8,926,168,NA,246,NA,NA,3,NA,4276,2330,3610,NA,1,NA
1936,212,331,25,149.8,NA,NA,NA,0.10406091370558376,59,2100,272,102,200.3,1280,170,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1937,227,316,46,180.00000000000003,NA,NA,NA,0.09375,48,1740,268,91,194,1240,177,NA,232,NA,NA,6,NA,4276,2330,3610,NA,2,NA
1938,189,326,50,146.80000000000015,4,5379.529156644535,71,0.09012875536480687,54,2840,272,95,257.4,1440,177,71,235,157.5,1,34,4,4276,2330,3610,1,5,2
1939,190,319,40.5,130.1,6,222.00097926421705,0,0.060726310726310725,75,850,244,95,60,529,149,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1940,242,314,29.5,204.70000000000002,1,213.97674407869644,2,0.07244805055698372,54,1810,260,117,155,805,143,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1941,196,340,99,181,NA,NA,NA,0.0996774193548387,60,1690,280,90,246.4,1655,190,NA,247,NA,NA,16,NA,4276,2330,3610,NA,5,NA
1942,206,308,52,181,2,296.9703373479226,32,0.08178438661710037,27,1780,281,111,272,960,170,NA,252.5,NA,NA,6,NA,4276,2330,3610,NA,4,NA
1943,180,335,22,39.099999999999994,7,371.9081238222308,48,0.06350806451612903,71,1660,264,116,201.5,948,148,NA,239,NA,NA,6,NA,4276,2330,3610,NA,2,NA
1944,203,339,70,154.00000000000006,NA,NA,NA,0.06742424242424241,62,1140,277,128,105.4,482.5,149,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1945,209,335,120,250,7,99.9848632948639,40,0.08957219251336898,70,2010,265,89,175,1000,176,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1946,218,325,86,166,2,169.99215393200814,15,0.08500854027066088,76,2010,249,71,240,1360,178,NA,217,NA,NA,2,NA,4276,2330,3610,NA,1,NA
1947,230,306,30,67.1,4,347.98748381711846,1,0.07194244604316546,71,1650,235,58,186.60000000000002,690.5,177,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1948,212,325,14,35.900000000000006,5,70.99723324799149,10,0.07142857142857142,69,2290,256,86,93.5,510,170,NA,238,NA,NA,2,NA,4276,2330,3610,NA,1,NA
1949,232,301,18,100,NA,NA,NA,0.08661417322834646,45,1680,256,85,77.4,994,171,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1950,66,318,14,22,NA,NA,NA,0.08275020136931133,72,2180,246,79,149.4,581,167,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1951,211,319,47,89,NA,NA,NA,0.07791783380018674,53,2080,266,248,84.80000000000001,288.5,18,49,63,49,2,8,3,4276,2330,3610,1,3,1
1952,181,337,43,107,2,73.02488778981983,62,0.08661417322834646,72,1950,265,101,101,1300,164,NA,233,NA,NA,19,NA,4276,2330,3610,NA,2,NA
1953,207,335,18,132.8,NA,NA,NA,0.07909604519774012,69,1540,266,114,102.80000000000001,446,152,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1954,213,319,22,65,NA,NA,NA,0.08200212992545261,85,2240,234,58,147.4,1080,176,NA,NA,NA,NA,NA,NA,4276,2330,3610,NA,NA,NA
1955,104,322,4.2,16,2,37.99903614300085,46,0.08395303326810176,67,2410,255,89,119.60000000000002,349,166,NA,250,NA,NA,2,NA,4276,2330,3610,NA,1,NA
1956,185,351,43,135.2,NA,NA,NA,0.06541783380018674,76,2330,275,215,115.00000000000009,425,60,83,241,83,1,22,1,4276,2330,3610,1,7,1
1957,227,319,36,98,2,71.99886727042905,0,0.07228915662650602,67,2180,252,82,162.4,487,170,NA,245,NA,NA,3,NA,4276,2330,3610,NA,1,NA
1958,157,334,18,84.4,2,52.00010467185572,50,0.08053691275167785,69,2820,265,85,117.20000000000002,1440,180,NA,259,NA,NA,18,NA,4276,2330,3610,NA,3,NA
