p10,p25,p50,p75,p90,metric,comid,result_type
110.60000000000001,123.5,146,180,197,DS_Dur_WS,14996611,observed
277.8,282.5,292,305,315,DS_Tim,14996611,observed
36.8,44.25,62.05,72.7,85,DS_Mag_50,14996611,observed
60.79999999999998,94.70000000000002,137.20000000000002,220.5,343.6,DS_Mag_90,14996611,observed
2,3,5,6,8,FA_Dur,14996611,observed
81.49696397148439,137.4978768825852,255.99148069634953,556.4930423641324,1266.0216755399413,FA_Mag,14996611,observed
5.800000000000001,16,28,44,51,FA_Tim,14996611,observed
0.0458750157888089,0.04924118087007105,0.056818181818181816,0.06178063756225144,0.07191145991889071,SP_ROC,14996611,observed
56,61,73,103.5,140.60000000000002,SP_Dur,14996611,observed
1268,1945,2840,5645,10660.000000000005,SP_Mag,14996611,observed
144.2,189,220,236,246.2,SP_Tim,14996611,observed
52.599999999999994,93.5,136,162,193.8,Wet_BFL_Dur,14996611,observed
162.94,224.60000000000002,293.20000000000005,544.5,754.72,Wet_BFL_Mag_10,14996611,observed
498.6000000000001,704,1150,1605,2016.0000000000005,Wet_BFL_Mag_50,14996611,observed
31.8,57.5,73,99.5,119.00000000000001,Wet_Tim,14996611,observed
82,88.75,98,112.25,127.1,Peak_Tim_10,14996611,observed
88.9,106,127.5,154.75,175.1,Peak_Tim_2,14996611,observed
74.5,88.75,107,118,143.25,Peak_Tim_5,14996611,observed
1,1.75,2,2,2.3,Peak_Dur_10,14996611,observed
1,1,3,6.25,9,Peak_Dur_2,14996611,observed
1,1,2,3,3.5,Peak_Dur_5,14996611,observed
25260.00000000001,25260.00000000001,25260.00000000001,25260.00000000001,25260.00000000001,Peak_10,14996611,observed
8780,8780,8780,8780,8780,Peak_2,14996611,observed
17680,17680,17680,17680,17680,Peak_5,14996611,observed
1,1,1,1,1.2999999999999998,Peak_Fre_10,14996611,observed
1,1,2,3,4,Peak_Fre_2,14996611,observed
1,1,1,1.25,2,Peak_Fre_5,14996611,observed
