Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963
Avg,0.07397260273972603,5.870491803278688,0.4441095890410959,0.9131506849315069,0.07150684931506848,0.865846994535519,0.083013698630137,2.845479452054794,0.10164383561643836,0.02459016393442623,0.05643835616438356,0.3471232876712329,0.009863013698630138
Std,0.5220159545297793,37.295417953209444,2.9795282496949027,7.658219127850205,0.6196854509928926,12.159797044906243,1.0235242432520473,17.41172530781437,0.8470723371588809,0.08681820281721042,0.790590848692074,1.0133485511757605,0.07336329474318308
CV,7.056882348272943,6.35303126262434,6.70899328278001,8.38658860385636,8.666099218866124,14.043817350696388,12.32958246821773,6.119083128588721,8.333730540781442,3.5306069145665573,14.008041736534322,2.9192756209877864,7.438222939239394
SP_Tim,nan,171.0,102.0,nan,nan,nan,nan,188.0,nan,nan,nan,192.0,nan
SP_Mag,nan,184.0,8.7,nan,nan,nan,nan,175.0,nan,nan,nan,2.6,nan
SP_Dur,nan,13.0,116.0,nan,nan,nan,nan,42.0,nan,nan,nan,36.0,nan
SP_ROC,nan,0.16666666666666663,0.6666666666666666,nan,nan,nan,nan,0.25757575757575757,nan,nan,nan,0.1333333333333333,nan
DS_Tim,nan,184.0,218.0,nan,nan,nan,nan,230.0,nan,nan,nan,228.0,nan
DS_Mag_90,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DS_Mag_50,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DS_Dur_WS,nan,209.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DS_No_Flow,nan,160.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_Tim,nan,84.0,27.0,nan,nan,nan,nan,158.0,nan,nan,nan,99.0,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,nan,0.2,0.0,nan,nan,nan,nan,0.19000000000000003,nan,nan,nan,0.0,nan
Wet_BFL_Mag_50,nan,3.4,0.2,nan,nan,nan,nan,1.7,nan,nan,nan,0.7,nan
Wet_BFL_Dur,nan,87.0,75.0,nan,nan,nan,nan,30.0,nan,nan,nan,93.0,nan
Peak_Dur_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,nan,503.23999999999995,503.23999999999995,nan,nan,nan,nan,503.23999999999995,nan,nan,nan,503.23999999999995,nan
Peak_Dur_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,nan,368.59999999999945,368.59999999999945,nan,nan,nan,nan,368.59999999999945,nan,nan,nan,368.59999999999945,nan
Peak_Dur_10,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,nan,210.20000000000005,210.20000000000005,nan,nan,nan,nan,210.20000000000005,nan,nan,nan,210.20000000000005,nan
Peak_Dur_20,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan
Peak_Fre_20,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan
Peak_20,nan,143.0000000000001,143.0000000000001,nan,nan,nan,nan,143.0000000000001,nan,nan,nan,143.0000000000001,nan
Peak_Dur_50,nan,15.0,3.0,nan,nan,nan,nan,9.0,nan,nan,nan,nan,nan
Peak_Fre_50,nan,8.0,3.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan
Peak_50,nan,15.0,15.0,nan,nan,nan,nan,15.0,nan,nan,nan,15.0,nan
Dur_2,nan,46.0,7.0,nan,nan,nan,nan,24.0,nan,nan,nan,5.0,nan
Fre_2,nan,11.0,4.0,nan,nan,nan,nan,6.0,nan,nan,nan,4.0,nan
High_2,nan,4.4,4.4,nan,nan,nan,nan,4.4,nan,nan,nan,4.4,nan
Dur_5,nan,115.0,11.0,nan,nan,nan,nan,57.0,nan,nan,nan,31.0,nan
Fre_5,nan,5.0,6.0,nan,nan,nan,nan,8.0,nan,nan,nan,10.0,nan
High_5,nan,1.3,1.3,nan,nan,nan,nan,1.3,nan,nan,nan,1.3,nan
Dur_10,nan,142.0,74.0,nan,nan,nan,nan,81.0,nan,nan,nan,86.0,nan
Fre_10,nan,6.0,10.0,nan,nan,nan,nan,8.0,nan,nan,nan,7.0,nan
High_10,nan,0.2,0.2,nan,nan,nan,nan,0.2,nan,nan,nan,0.2,nan
Dur_20,nan,365.0,365.0,nan,nan,nan,nan,365.0,nan,nan,nan,365.0,nan
Fre_20,nan,1.0,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan
High_20,nan,0.0,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan
