Year,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_50,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0,1405.0
Dur_2,32.0,3.0,5.0,3.0,9.0,8.0,12.0,8.0,17.0,nan,7.0,2.0,5.0,10.0,1.0,5.0,nan,5.0
Fre_2,8.0,3.0,4.0,2.0,3.0,5.0,7.0,5.0,8.0,nan,4.0,1.0,2.0,4.0,1.0,3.0,nan,3.0
High_2,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002,432.2600000000002
Dur_5,61.0,7.0,19.0,7.0,22.0,16.0,32.0,26.0,52.0,3.0,14.0,6.0,11.0,26.0,3.0,11.0,nan,14.0
Fre_5,11.0,6.0,6.0,2.0,6.0,7.0,9.0,9.0,8.0,2.0,5.0,3.0,6.0,7.0,3.0,3.0,nan,4.0
High_5,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964,188.64999999999964
Dur_10,120.0,24.0,37.0,15.0,33.0,41.0,59.0,58.0,93.0,4.0,26.0,10.0,30.0,62.0,12.0,16.0,1.0,19.0
Fre_10,10.0,9.0,4.0,4.0,6.0,9.0,8.0,9.0,7.0,3.0,4.0,3.0,8.0,10.0,5.0,4.0,1.0,4.0
High_10,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6
Dur_20,182.0,80.0,73.0,37.0,74.0,102.0,120.0,130.0,150.0,12.0,55.0,18.0,74.0,121.0,22.0,34.0,8.0,32.0
Fre_20,5.0,2.0,6.0,5.0,5.0,7.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0
High_20,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
