Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
FA_Mag,nan,nan,nan,nan,nan,nan,1.143578113817063,1.8703549681953746,4.471017438581094,nan,nan,9.886883344866416
FA_Tim,nan,nan,nan,nan,nan,nan,11.0,30.0,60.0,nan,nan,51.0
FA_Dur,nan,nan,nan,nan,nan,nan,5.0,7.0,8.0,nan,nan,10.0
Wet_BFL_Mag_10,0.0,7.68,2.3,4.21,0.4,0.3,0.6,2.98,1.23,0.3,0.1,1.52
Wet_BFL_Mag_50,0.2,15.0,4.1,6.2,3.4,1.1,2.6,165.0,3.4,2.0,0.2,25.0
Wet_Tim,32.0,98.0,30.0,106.0,27.0,105.0,91.0,158.0,89.0,73.0,15.0,107.0
Wet_BFL_Dur,188.0,73.0,141.0,78.0,189.0,17.0,126.0,30.0,54.0,140.0,220.0,67.0
Peak_2,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5
Peak_5,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008,1016.8000000000008
Peak_10,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0
Peak_Dur_2,nan,27.0,nan,4.0,nan,2.0,nan,35.0,nan,1.0,nan,8.0
Peak_Dur_5,nan,1.0,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan
Peak_Dur_10,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,3.0,nan,4.0,nan,1.0,nan,1.0,nan,1.0,nan,4.0
Peak_Fre_5,nan,1.0,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
SP_Mag,0.5,1650.0,3.4,102.0,2.0,1420.0,1.8,1180.0,54.0,63.0,0.2,27.0
SP_Tim,220.0,171.0,171.0,184.0,216.0,122.0,217.0,188.0,143.0,213.0,235.0,174.0
SP_Dur,91.0,71.0,141.0,69.0,65.0,121.0,71.0,53.0,131.0,18.0,87.0,26.0
SP_ROC,0.5,0.07692307692307693,0.14285714285714282,0.07692307692307693,0.16666666666666663,0.09999999999999998,0.28571428571428564,0.08,0.19999999999999996,0.22979797979797983,0.75,0.12700534759358287
DS_Mag_50,0.2,1.1,0.7,0.6,0.4,0.5,0.8,1.55,0.3,0.1,0.2,0.2
DS_Mag_90,1.2800000000000011,4.9,0.9,1.4,0.4,1.4,3.4,4.4700000000000015,0.6,0.3,1.4,1.0
DS_Tim,311.0,242.0,312.0,253.0,281.0,243.0,288.0,241.0,274.0,231.0,322.0,200.0
DS_Dur_WS,153.0,154.0,160.0,140.0,190.0,214.0,236.0,214.0,165.0,150.0,151.0,273.0
