Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,nan,0.2,0.0,nan,nan,nan,nan,0.19000000000000003,nan,nan,nan,0.0,nan
Wet_BFL_Mag_50,nan,3.4,0.2,nan,nan,nan,nan,1.7,nan,nan,nan,0.7,nan
Wet_Tim,nan,84.0,27.0,nan,nan,nan,nan,158.0,nan,nan,nan,99.0,nan
Wet_BFL_Dur,nan,87.0,75.0,nan,nan,nan,nan,30.0,nan,nan,nan,93.0,nan
Peak_2,nan,15.0,15.0,nan,nan,nan,nan,15.0,nan,nan,nan,15.0,nan
Peak_5,nan,143.0000000000001,143.0000000000001,nan,nan,nan,nan,143.0000000000001,nan,nan,nan,143.0000000000001,nan
Peak_10,nan,210.20000000000005,210.20000000000005,nan,nan,nan,nan,210.20000000000005,nan,nan,nan,210.20000000000005,nan
Peak_Dur_2,nan,15.0,3.0,nan,nan,nan,nan,9.0,nan,nan,nan,nan,nan
Peak_Dur_5,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan
Peak_Dur_10,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,8.0,3.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan
Peak_Fre_5,nan,3.0,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,nan,184.0,8.7,nan,nan,nan,nan,175.0,nan,nan,nan,2.6,nan
SP_Tim,nan,171.0,102.0,nan,nan,nan,nan,188.0,nan,nan,nan,192.0,nan
SP_Dur,nan,13.0,116.0,nan,nan,nan,nan,42.0,nan,nan,nan,36.0,nan
SP_ROC,nan,0.16666666666666663,0.6666666666666666,nan,nan,nan,nan,0.25757575757575757,nan,nan,nan,0.1333333333333333,nan
DS_Mag_50,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DS_Mag_90,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DS_Tim,nan,184.0,218.0,nan,nan,nan,nan,230.0,nan,nan,nan,228.0,nan
DS_Dur_WS,nan,209.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
