Year,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
FA_Mag,nan,7.66119214454296,17.97227063104347,11.957577826612004,nan,2.9618705043376803,1.3138483335507372,1.4033231673429896,nan,4.002109926997956,12.959016439288366,nan
FA_Tim,nan,41.0,19.0,64.0,nan,25.0,0.0,38.0,nan,8.0,10.0,nan
FA_Dur,nan,14.0,7.0,8.0,nan,9.0,2.0,2.0,nan,4.0,2.0,nan
Wet_BFL_Mag_10,0.8,0.482,1.2,0.089,0.0,0.73,0.29200000000000004,0.08,0.08,0.2,nan,0.12
Wet_BFL_Mag_50,8.6,3.1,18.0,0.9299999999999999,0.4,6.5,0.7,0.23,0.57,0.4,nan,0.22
Wet_Tim,89.0,67.0,110.0,104.0,49.0,113.0,42.0,48.0,34.0,38.0,nan,27.0
Wet_BFL_Dur,69.0,115.0,51.0,70.0,137.0,101.0,69.0,151.0,136.0,150.0,nan,184.0
Peak_2,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
Peak_5,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001,93.60000000000001
Peak_10,134.8,134.8,134.8,134.8,134.8,134.8,134.8,134.8,134.8,134.8,134.8,134.8
Peak_Dur_2,9.0,1.0,17.0,1.0,1.0,5.0,nan,nan,1.0,nan,nan,nan
Peak_Dur_5,1.0,nan,13.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Dur_10,1.0,nan,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,6.0,1.0,6.0,1.0,1.0,2.0,nan,nan,1.0,nan,nan,nan
Peak_Fre_5,1.0,nan,3.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_10,1.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,69.0,53.0,150.0,17.0,28.0,7.3,2.8,0.66,53.0,2.9,29.0,1.4
SP_Tim,158.0,182.0,161.0,174.0,186.0,214.0,111.0,199.0,170.0,188.0,207.0,211.0
SP_Dur,67.0,119.0,78.0,35.0,86.0,66.0,109.0,8.0,51.0,99.0,149.0,41.0
SP_ROC,0.1875,0.07846153846153847,0.08000000000000007,0.15789473684210517,0.20000000000000004,0.09934318555008205,0.17424242424242423,0.7845268542199488,0.09090909090909098,0.13961038961038966,0.1842105263157895,0.22500000000000003
DS_Mag_50,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.1,nan,0.13,0.05
DS_Mag_90,0.16,0.3799999999999997,0.37,0.0,0.9000000000000006,0.17,0.0,0.04000000000000001,0.23000000000000004,nan,0.23399999999999999,0.16
DS_Tim,225.0,301.0,239.0,209.0,272.0,280.0,220.0,207.0,221.0,287.0,356.0,252.0
DS_Dur_WS,208.0,175.0,231.0,206.0,207.0,128.0,194.0,193.0,183.0,nan,37.0,141.0
