Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971
FA_Mag,nan,18.98719119366912,47.98704355237264,44.999049439330015,6.14431218249604,4.796360054905868,27.997059473482498,18.01371654077271,nan,nan,7.988815567679502,4.602077785815609,34.99574690823322,33.98009442198811,38.99212317496301,20.998867478361714,nan,nan,17.000926077694047,115.99796765939338,40.97718969240014
FA_Tim,nan,24.0,45.0,45.0,9.0,21.0,30.0,13.0,nan,nan,7.0,22.0,13.0,11.0,28.0,15.0,nan,nan,13.0,16.0,36.0
FA_Dur,nan,4.0,4.0,2.0,7.0,6.0,2.0,4.0,nan,nan,2.0,4.0,3.0,7.0,6.0,3.0,nan,nan,7.0,5.0,3.0
Wet_BFL_Mag_10,52.400000000000006,65.0,36.6,30.400000000000002,29.0,35.4,33.0,63.0,30.5,32.0,13.3,18.0,11.600000000000001,33.0,29.400000000000002,44.8,42.0,25.0,261.6,45.699999999999996,50.900000000000006
Wet_BFL_Mag_50,102.0,202.0,91.0,93.0,57.0,208.0,88.0,129.5,79.0,69.0,28.0,149.0,101.0,55.0,139.0,87.0,105.0,48.0,407.0,123.5,86.0
Wet_Tim,37.0,83.0,57.0,105.0,84.0,69.0,126.0,112.0,94.0,110.0,31.0,121.0,110.0,32.0,60.0,36.0,43.0,41.0,98.0,82.0,50.0
Wet_BFL_Dur,182.0,113.0,197.0,153.0,139.0,53.0,109.0,76.0,126.0,126.0,204.0,69.0,97.0,225.0,138.0,189.0,164.0,214.0,125.0,118.0,194.0
Peak_2,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0
Peak_5,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0,2590.0
Peak_10,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0
Peak_Dur_2,4.0,8.0,nan,nan,nan,11.0,1.0,13.0,nan,nan,nan,6.0,3.0,nan,5.0,nan,16.0,nan,26.0,2.0,nan
Peak_Dur_5,1.0,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,4.0,nan,nan
Peak_Dur_10,1.0,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,2.0,5.0,nan,nan,nan,3.0,1.0,5.0,nan,nan,nan,2.0,2.0,nan,3.0,nan,7.0,nan,8.0,1.0,nan
Peak_Fre_5,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,4.0,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,178.0,490.0,130.0,83.0,234.0,1520.0,290.0,3320.0,79.0,82.0,45.0,152.0,358.0,79.0,504.0,133.0,1070.0,47.0,285.0,114.0,121.0
SP_Tim,219.0,196.0,254.0,258.0,223.0,122.0,235.0,188.0,220.0,236.0,235.0,190.0,207.0,257.0,198.0,225.0,207.0,255.0,223.0,200.0,244.0
SP_Dur,86.0,121.0,61.0,57.0,93.0,165.0,80.0,127.0,68.0,66.0,65.0,109.0,113.0,60.0,114.0,90.0,116.0,40.0,86.0,99.0,72.0
SP_ROC,0.05064102564102564,0.03611352627002856,0.06422018348623854,0.0836734693877551,0.07142857142857142,0.04838709677419355,0.058823529411764705,0.03660287081339712,0.058257918552036186,0.06666666666666667,0.10912698412698413,0.04081632653061224,0.05217391304347826,0.07692307692307693,0.035098522167487683,0.06666666666666667,0.03275707898658718,0.09999999999999994,0.03636363636363636,0.046091758708581135,0.06186224489795925
DS_Mag_50,3.45,10.0,7.2,4.0,2.6,11.0,7.5,13.0,6.0,0.3,3.3,8.5,5.7,2.6,9.4,0.9,13.0,5.1,24.0,3.5,3.45
DS_Mag_90,24.400000000000034,18.0,16.0,23.200000000000017,16.0,19.0,18.0,19.0,12.300000000000011,3.9,13.400000000000006,11.0,15.0,23.200000000000003,14.0,5.2,23.0,51.20000000000002,30.0,12.0,13.100000000000009
DS_Tim,305.0,317.0,315.0,315.0,316.0,287.0,315.0,315.0,288.0,302.0,300.0,299.0,320.0,317.0,312.0,315.0,323.0,295.0,309.0,299.0,316.0
DS_Dur_WS,144.0,106.0,156.0,135.0,119.0,205.0,163.0,145.0,188.0,95.0,187.0,177.0,78.0,109.0,90.0,94.0,84.0,169.0,139.0,117.0,100.0
