Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
FA_Mag,nan,96.99800408539284,102.98663907174038,64.99234265005937,nan,233.98510774331368,83.99850019933945,196.9942070533792,nan,nan,nan,nan,nan,67.97164490285859,nan,nan,nan,75.9088109270117,71.01227960769475,131.9971809564212,nan,79.99191342077859,95.99827696497726,67.98218773028373,330.97879730309864,102.00011097431782,nan,57.99924971071344,nan,118.99695912747171,nan,161.98717204924634
FA_Tim,nan,23.0,44.0,18.0,nan,51.0,29.0,4.0,nan,nan,nan,nan,nan,10.0,nan,nan,nan,2.0,13.0,15.0,nan,63.0,11.0,6.0,64.0,10.0,nan,35.0,nan,19.0,nan,10.0
FA_Dur,nan,4.0,3.0,3.0,nan,3.0,5.0,1.0,nan,nan,nan,nan,nan,6.0,nan,nan,nan,2.0,5.0,4.0,nan,2.0,5.0,3.0,4.0,3.0,nan,2.0,nan,2.0,nan,2.0
Wet_BFL_Mag_10,66.0,69.0,79.0,65.4,56.0,107.0,75.19999999999999,133.5,58.5,57.0,44.0,45.0,43.0,46.0,57.0,44.0,56.400000000000006,51.0,117.0,107.0,81.0,54.0,59.0,157.20000000000002,149.0,48.3,40.0,110.1,43.0,79.0,46.0,112.2
Wet_BFL_Mag_50,121.0,267.0,144.0,226.0,81.5,199.0,113.5,274.0,107.0,123.0,75.0,82.0,83.0,51.0,160.0,111.5,213.0,139.0,262.0,392.0,162.0,111.0,193.0,281.0,249.0,60.0,43.0,222.0,139.5,182.0,85.5,298.5
Wet_Tim,21.0,46.0,56.0,95.0,34.0,60.0,134.0,72.0,87.0,109.0,39.0,51.0,3.0,29.0,35.0,34.0,40.0,56.0,61.0,66.0,31.0,70.0,31.0,32.0,116.0,20.0,70.0,69.0,95.0,75.0,57.0,35.0
Wet_BFL_Dur,199.0,179.0,197.0,118.0,202.0,179.0,102.0,186.0,56.0,54.0,142.0,109.0,221.0,87.0,167.0,186.0,218.0,115.0,166.0,96.0,242.0,129.0,203.0,153.0,131.0,204.0,185.0,142.0,140.0,70.0,122.0,162.0
Peak_2,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0,2540.0
Peak_5,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0,4150.0
Peak_10,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002,4874.000000000002
Peak_Dur_2,nan,1.0,nan,1.0,nan,4.0,nan,1.0,1.0,nan,1.0,nan,2.0,nan,2.0,nan,nan,nan,3.0,3.0,1.0,nan,1.0,3.0,nan,nan,nan,2.0,nan,5.0,nan,3.0
Peak_Dur_5,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,2.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,1.0,nan,3.0,nan,1.0,1.0,nan,1.0,nan,2.0,nan,2.0,nan,nan,nan,2.0,2.0,1.0,nan,1.0,2.0,nan,nan,nan,2.0,nan,4.0,nan,3.0
Peak_Fre_5,nan,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
