Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
FA_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.70305530640318,nan,nan,nan,nan,nan,nan,1.454739108968336,nan,nan,2.762434259698161,nan,5.926556892559594,23.98609599211827,nan,nan,6.6194981821249455
FA_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,54.0,nan,nan,22.0,nan,54.0,19.0,nan,nan,60.0
FA_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,4.0,nan,nan,7.0,nan,4.0,5.0,nan,nan,12.0
Wet_BFL_Mag_10,2.2,2.0,2.3,nan,1.9,1.9,1.7,1.7,nan,1.9,1.4,1.4,1.2,1.2,1.4,1.27,nan,nan,1.1,1.4,1.0,nan,0.44000000000000006,nan,0.2120000000000001,0.05,0.03,1.4,2.0,2.1,4.0,nan,nan
Wet_BFL_Mag_50,2.3,3.0,2.7,nan,2.3,2.5,2.2,2.0,nan,2.2,1.9,1.7,1.6,1.6,1.7,1.4,nan,nan,1.25,1.5,1.4,nan,1.0,nan,0.7,0.5,0.03,3.3,2.7,12.5,5.1,nan,nan
Wet_Tim,283.0,79.0,28.0,39.0,23.0,11.0,1.0,143.0,nan,18.0,30.0,8.0,54.0,4.0,8.0,39.0,nan,nan,124.0,85.0,34.0,nan,34.0,280.0,12.0,54.0,306.0,94.0,304.0,128.0,7.0,nan,nan
Wet_BFL_Dur,21.0,131.0,163.0,nan,88.0,240.0,159.0,45.0,nan,153.0,292.0,245.0,203.0,17.0,187.0,18.0,nan,nan,28.0,71.0,214.0,nan,128.0,nan,13.0,148.0,18.0,75.0,19.0,34.0,265.0,nan,nan
Peak_2,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Peak_5,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002,110.20000000000002
Peak_10,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002,197.20000000000002
Peak_Dur_2,1.0,1.0,nan,1.0,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,1.0,nan,2.0,1.0,nan,4.0,1.0,nan,1.0,nan,2.0,2.0,nan,2.0,1.0,2.0,12.0,nan,nan,nan
Peak_Dur_5,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,1.0,nan,1.0,6.0,nan,nan,nan
Peak_Dur_10,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,6.0,nan,nan,nan
Peak_Fre_2,1.0,1.0,nan,1.0,nan,nan,nan,1.0,nan,nan,1.0,nan,nan,1.0,nan,1.0,1.0,nan,2.0,1.0,nan,1.0,nan,2.0,2.0,nan,2.0,1.0,1.0,5.0,nan,nan,nan
Peak_Fre_5,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,1.0,nan,1.0,2.0,nan,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,2.0,nan,nan,nan
SP_Mag,200.0,2.7,2.9,95.0,3.4,2.1,2.3,86.0,2.8,2.6,66.0,1.7,1.9,73.0,3.1,186.0,27.0,1.1,88.0,3.5,1.2,1.9,0.53,121.0,117.0,0.9,420.0,7.8,300.0,110.0,4.3,4.9,8.5
SP_Tim,304.0,210.0,191.0,nan,111.0,251.0,160.0,188.0,101.0,171.0,322.0,253.0,257.0,21.0,195.0,57.0,70.0,253.0,152.0,156.0,248.0,34.0,162.0,nan,25.0,202.0,324.0,169.0,323.0,162.0,272.0,244.0,178.0
SP_Dur,13.0,49.0,119.0,nan,201.0,66.0,116.0,155.0,nan,113.0,31.0,nan,191.0,323.0,139.0,261.0,246.0,139.0,13.0,214.0,82.0,300.0,135.0,nan,217.0,nan,11.0,162.0,11.0,13.0,58.0,42.0,161.0
SP_ROC,0.17500000000000002,0.09090909090909098,0.07407407407407414,nan,0.052631578947368356,0.07417582417582416,0.051315789473684204,0.3333333333333333,nan,0.05882352941176463,0.22500000000000003,nan,0.1250000000000001,0.1250000000000001,0.09090909090909098,0.08333333333333323,0.08333333333333323,0.04309046681339046,0.08012820512820511,0.07142857142857134,0.04843750000000004,0.06666666666666672,0.20416666666666666,nan,0.1587301587301587,nan,0.1666666666666666,0.07019704433497528,0.07692307692307698,0.09278350515463904,0.05798319327731091,0.05064102564102563,0.024099883855981438
