Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Mag,645.9796200991984,134.97093621284486,160.00188793461203,123.99751798215553,112.99965460304965,55.03469816805033,224.9623309648714,519.0048998190614,156.00017917723434,59.002046117877654,64.95636094263007,84.00674362318314,nan,167.99705218328577,2170.002475736742,nan,nan,255.99896680859115,348.9951428263707,397.9967221183431,nan,162.9990632726182,277.9983254666318,344.0033028622911,269.9962373453715,411.98936303649447,67.9978130581916,96.99992031656157,2059.849954450526,381.9987658609325,246.99760485732995
FA_Tim,27.0,2.0,18.0,10.0,7.0,10.0,10.0,9.0,18.0,9.0,5.0,11.0,nan,11.0,41.0,nan,nan,1.0,12.0,15.0,nan,0.0,11.0,7.0,27.0,10.0,3.0,0.0,24.0,19.0,13.0
FA_Dur,7.0,6.0,4.0,4.0,4.0,5.0,8.0,4.0,9.0,4.0,4.0,6.0,nan,10.0,4.0,nan,nan,7.0,4.0,4.0,nan,4.0,6.0,3.0,5.0,2.0,3.0,4.0,2.0,2.0,8.0
Wet_BFL_Mag_10,416.20000000000005,270.20000000000005,346.8,190.7,202.39999999999998,424.0,228.9,516.0,173.60000000000002,175.8,166.6,175.0,189.0,161.0,331.5,156.5,181.0,157.0,700.0,329.0,329.0,197.3,253.2,860.5,189.39999999999998,132.1,54.0,614.4,135.0,485.0,145.3
Wet_BFL_Mag_50,746.0,1350.0,670.0,660.0,312.0,731.5,527.5,2105.0,501.0,591.0,449.0,495.0,424.0,198.5,743.5,581.0,1000.0,819.0,1205.0,1295.0,828.0,428.0,1160.0,1530.0,792.0,220.0,88.0,1460.0,654.5,1315.0,475.0
Wet_Tim,40.0,38.0,57.0,33.0,34.0,41.0,127.0,69.0,82.0,95.0,39.0,46.0,4.0,29.0,52.0,39.0,33.0,82.0,66.0,66.0,31.0,53.0,30.0,32.0,82.0,60.0,25.0,67.0,94.0,74.0,57.0
Wet_BFL_Dur,179.0,135.0,197.0,180.0,173.0,186.0,108.0,118.0,65.0,67.0,209.0,131.0,220.0,86.0,152.0,158.0,205.0,89.0,160.0,90.0,149.0,184.0,145.0,154.0,165.0,138.0,217.0,143.0,128.0,96.0,122.0
Peak_2,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0,12200.0
Peak_5,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0,17600.0
Peak_10,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0,20500.0
