Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
FA_Mag,nan,65.99828204304885,34.0038482380868,26.99842137258273,6.975025618891744,nan,13.998499785661407,7.194161413685645,nan,nan,nan,61.989193476012765,nan,10.007270106915481,454.98315513657064,nan,nan,nan,13.992459792109022,45.99512209807082,nan,11.982138668800733,nan
FA_Tim,nan,52.0,46.0,45.0,47.0,nan,31.0,46.0,nan,nan,nan,63.0,nan,12.0,42.0,nan,nan,nan,35.0,16.0,nan,43.0,nan
FA_Dur,nan,3.0,9.0,6.0,16.0,nan,4.0,6.0,nan,nan,nan,3.0,nan,5.0,3.0,nan,nan,nan,3.0,5.0,nan,16.0,nan
Wet_BFL_Mag_10,44.2,109.0,27.0,14.0,10.3,11.8,18.8,82.0,12.0,19.0,4.040000000000001,9.370000000000001,27.500000000000007,16.0,73.0,36.0,23.0,6.82,396.2,20.1,25.200000000000003,9.6,nan
Wet_BFL_Mag_50,170.0,333.0,46.0,55.0,33.0,293.0,35.0,193.5,16.0,30.0,10.0,266.5,98.5,29.0,149.0,78.0,120.0,24.0,688.0,108.5,45.0,18.5,nan
Wet_Tim,37.0,81.0,58.0,105.0,59.0,63.0,126.0,112.0,114.0,113.0,37.0,121.0,111.0,31.0,73.0,40.0,58.0,39.0,98.0,77.0,51.0,56.0,nan
Wet_BFL_Dur,123.0,119.0,156.0,109.0,164.0,59.0,109.0,76.0,29.0,101.0,212.0,40.0,100.0,192.0,123.0,112.0,149.0,217.0,93.0,82.0,193.0,144.0,nan
Peak_2,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,nan
Peak_5,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,4884.0,nan
Peak_10,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,6909.000000000002,nan
Peak_Dur_2,5.0,11.0,nan,nan,nan,10.0,nan,13.0,nan,nan,nan,6.0,2.0,nan,6.0,1.0,13.0,nan,21.0,3.0,nan,nan,nan
Peak_Dur_5,2.0,1.0,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_2,3.0,5.0,nan,nan,nan,3.0,nan,4.0,nan,nan,nan,2.0,1.0,nan,3.0,1.0,6.0,nan,7.0,2.0,nan,nan,nan
Peak_Fre_5,1.0,1.0,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
SP_Mag,386.0,654.0,95.0,194.0,236.0,1960.0,298.0,7250.0,648.0,341.0,2.9,958.0,850.0,59.0,950.0,87.0,2190.0,6.9,1800.0,1180.0,40.0,52.0,nan
SP_Tim,160.0,200.0,214.0,214.0,223.0,122.0,235.0,188.0,143.0,214.0,249.0,161.0,211.0,223.0,196.0,152.0,207.0,256.0,191.0,159.0,244.0,200.0,nan
SP_Dur,90.0,48.0,69.0,59.0,57.0,143.0,46.0,31.0,104.0,42.0,18.0,45.0,60.0,24.0,68.0,85.0,75.0,14.0,52.0,33.0,33.0,47.0,nan
SP_ROC,0.046511627906976744,0.047337278106508875,0.08957219251336898,0.08928571428571429,0.09090909090909091,0.05263157894736842,0.10769230769230773,0.05676328502415459,0.0625,0.09090909090909094,0.4285714285714285,0.04918032786885246,0.07407407407407407,0.06904761904761905,0.05857843137254902,0.05263157894736842,0.05657810499359795,0.19444444444444448,0.05002859798384214,0.041666666666666664,0.08333333333333333,0.07894736842105259,nan
DS_Mag_50,0.0,3.2,0.0,0.0,0.0,6.2,0.0,5.7,0.7,0.0,0.0,0.6,1.4,0.0,1.25,0.0,3.1,0.0,10.5,0.33,0.0,nan,nan
DS_Mag_90,22.400000000000006,27.0,7.5,0.5800000000000011,0.0,15.0,12.400000000000006,61.0,4.780000000000001,0.04000000000000057,4.019999999999999,23.0,10.5,13.900000000000006,10.900000000000006,5.540000000000001,12.0,31.400000000000034,45.099999999999994,44.19999999999999,1.2599999999999993,nan,nan
DS_Tim,250.0,248.0,283.0,273.0,280.0,265.0,281.0,219.0,247.0,256.0,267.0,206.0,271.0,247.0,264.0,237.0,282.0,270.0,243.0,192.0,277.0,247.0,nan
DS_Dur_WS,197.0,176.0,188.0,152.0,149.0,227.0,197.0,261.0,232.0,147.0,220.0,271.0,126.0,192.0,142.0,187.0,123.0,194.0,200.0,225.0,145.0,nan,nan
