Year,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,nan,nan,6.153988901609856,nan,nan,1.9023086197656485,nan,nan,nan,nan
FA_Tim,nan,nan,19.0,nan,nan,40.0,nan,nan,nan,nan
FA_Dur,nan,nan,7.0,nan,nan,13.0,nan,nan,nan,nan
Wet_BFL_Mag_10,1.9900000000000002,0.6,0.01,0.0,nan,0.32999999999999996,nan,nan,nan,nan
Wet_BFL_Mag_50,6.05,4.1,11.0,0.0,nan,4.550000000000001,nan,nan,nan,nan
Wet_Tim,121.0,72.0,111.0,51.0,nan,112.0,nan,nan,nan,nan
Wet_BFL_Dur,38.0,111.0,54.0,108.0,nan,66.0,nan,nan,nan,nan
Peak_2,27.5,27.5,27.5,27.5,nan,27.5,nan,nan,nan,nan
Peak_5,125.2,125.2,125.2,125.2,nan,125.2,nan,nan,nan,nan
Peak_10,159.99999999999997,159.99999999999997,159.99999999999997,159.99999999999997,nan,159.99999999999997,nan,nan,nan,nan
Peak_Dur_2,9.0,1.0,16.0,nan,nan,17.0,nan,nan,nan,nan
Peak_Dur_5,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,3.0,1.0,4.0,nan,nan,4.0,nan,nan,nan,nan
Peak_Fre_5,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan
SP_Mag,119.0,16.0,36.0,6.3,nan,74.0,nan,nan,nan,nan
SP_Tim,159.0,183.0,165.0,159.0,nan,178.0,nan,nan,nan,nan
SP_Dur,57.0,139.0,84.0,28.0,nan,81.0,nan,nan,nan,nan
SP_ROC,0.21111111111111114,0.23076923076923078,0.11111111111111108,0.3333333333333333,nan,0.09999999999999998,nan,nan,nan,nan
DS_Mag_50,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DS_Mag_90,0.05,0.11199999999999988,0.07300000000000012,nan,nan,nan,nan,nan,nan,nan
DS_Tim,216.0,322.0,249.0,187.0,nan,259.0,nan,nan,nan,nan
DS_Dur_WS,222.0,155.0,168.0,nan,nan,nan,nan,nan,nan,nan
