Year,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,nan,4.410737280516433,nan,nan,nan,2.6315524433148196,nan,51.943198969993105,8.246387888597141,1.994662974298041,1.9079021311123097,2.550034820703492,69.95483487127674,10.968789696901986,1.8077732528673054,nan,5.649092677455798,nan,1.0883935909229918,nan,71.76571315880959,nan,2.3558195079474036,nan,nan,14.51143597023706,46.78538895405958,nan,nan,nan,nan
FA_Tim,nan,nan,55.0,nan,nan,nan,23.0,nan,25.0,71.0,74.0,56.0,72.0,52.0,56.0,41.0,nan,28.0,nan,38.0,nan,68.0,nan,70.0,nan,nan,73.0,53.0,nan,nan,nan,nan
FA_Dur,nan,nan,3.0,nan,nan,nan,8.0,nan,9.0,3.0,4.0,4.0,3.0,3.0,8.0,8.0,nan,10.0,nan,12.0,nan,2.0,nan,8.0,nan,nan,3.0,9.0,nan,nan,nan,nan
Wet_BFL_Mag_10,6.2,1.8800000000000001,8.19,0.452,0.12,0.74,0.51,0.1,0.622,7.220000000000001,0.18,4.640000000000001,6.020000000000005,6.35,8.24,1.4220000000000004,1.47,0.8089999999999999,1.23,1.048,0.5820000000000001,6.18,3.8379999999999996,0.9000000000000001,0.699,0.682,2.986,2.8440000000000003,0.393,0.059000000000000004,nan,0.37
Wet_BFL_Mag_50,12.0,4.5,30.0,3.0,0.47,6.3,2.5,4.7,12.0,24.0,1.55,18.0,32.0,34.5,27.5,27.0,17.0,4.949999999999999,5.64,1.98,2.97,15.5,15.5,3.56,6.9399999999999995,6.88,6.78,17.4,4.425,4.215,nan,0.755
Wet_Tim,37.0,32.0,118.0,118.0,39.0,138.0,112.0,143.0,123.0,85.0,108.0,89.0,100.0,59.0,90.0,102.0,105.0,111.0,58.0,65.0,75.0,82.0,75.0,125.0,87.0,129.0,99.0,63.0,146.0,50.0,nan,66.0
Wet_BFL_Dur,141.0,150.0,44.0,59.0,170.0,42.0,53.0,37.0,38.0,95.0,38.0,88.0,67.0,62.0,128.0,45.0,48.0,48.0,121.0,149.0,77.0,95.0,114.0,27.0,64.0,29.0,127.0,117.0,54.0,40.0,nan,68.0
Peak_2,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,nan,269.0
Peak_5,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,nan,547.0
Peak_10,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,nan,657.0
