Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
FA_Mag,27.99463416353887,nan,3.552595047468683,nan,10.035272633941439,nan,15.006351307194397,26.973578006409312,nan,nan,13.837726935481061,18.959036288467864,18.99863489789209,nan,2.290289319421744,14.001164013015911,6.50726927351251,17.92349755074168,16.016260332036726,nan,nan,15.996170894991018,4.8808132100889265
FA_Tim,44.0,nan,71.0,nan,61.0,nan,10.0,40.0,nan,nan,2.0,33.0,15.0,nan,0.0,34.0,7.0,28.0,10.0,nan,nan,52.0,19.0
FA_Dur,5.0,nan,4.0,nan,5.0,nan,4.0,2.0,nan,nan,5.0,2.0,2.0,nan,3.0,5.0,5.0,3.0,2.0,nan,nan,4.0,7.0
Wet_BFL_Mag_10,62.60000000000001,11.9,6.799999999999999,3.7,3.9,4.3,8.46,38.0,9.4,8.9,11.0,128.2,19.9,25.1,12.0,15.200000000000001,32.0,46.2,6.569999999999999,1.3,22.0,15.0,23.3
Wet_BFL_Mag_50,217.0,20.0,28.0,8.0,70.0,21.0,16.0,79.0,30.0,93.0,44.0,209.0,120.5,57.5,23.5,130.0,85.0,133.5,8.45,2.7,90.0,99.5,96.5
Wet_Tim,112.0,92.0,95.0,33.0,122.0,8.0,29.0,68.0,36.0,56.0,82.0,98.0,76.0,49.0,54.0,73.0,32.0,118.0,19.0,38.0,70.0,95.0,79.0
Wet_BFL_Dur,89.0,50.0,88.0,193.0,56.0,219.0,227.0,133.0,161.0,169.0,90.0,93.0,80.0,132.0,146.0,103.0,179.0,92.0,178.0,189.0,141.0,88.0,82.0
Peak_2,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0,885.0
Peak_5,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0,1652.0
Peak_10,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0,2302.0
Peak_Dur_2,6.0,nan,1.0,nan,nan,3.0,nan,5.0,nan,2.0,nan,5.0,2.0,nan,nan,1.0,1.0,2.0,nan,nan,2.0,nan,6.0
Peak_Dur_5,2.0,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Dur_10,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,3.0,nan,1.0,nan,nan,2.0,nan,2.0,nan,2.0,nan,2.0,2.0,nan,nan,1.0,1.0,2.0,nan,nan,2.0,nan,2.0
Peak_Fre_5,1.0,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,350.0,692.0,62.0,10.0,73.0,144.0,16.0,426.0,35.0,300.0,203.0,309.0,471.0,293.0,89.0,169.0,111.0,177.0,14.0,11.0,520.0,242.0,347.0
SP_Tim,201.0,142.0,183.0,226.0,178.0,227.0,256.0,201.0,197.0,225.0,172.0,191.0,156.0,181.0,200.0,176.0,211.0,210.0,197.0,227.0,211.0,183.0,161.0
SP_Dur,28.0,121.0,79.0,43.0,71.0,49.0,38.0,41.0,71.0,68.0,48.0,49.0,62.0,52.0,49.0,55.0,105.0,50.0,75.0,43.0,48.0,75.0,124.0
SP_ROC,0.05839727195225916,0.0729166666666666,0.07547169811320745,0.09423503325942342,0.0672316384180791,0.05555555555555555,0.0805405405405406,0.0485837922895358,0.06723163841807912,0.05952380952380952,0.06896551724137931,0.042403356308061135,0.05333333333333334,0.08,0.07142857142857142,0.04969135802469136,0.05357142857142854,0.045454545454545456,0.07019704433497528,0.14035087719298242,0.07142857142857142,0.0625,0.05952380952380952
DS_Mag_50,6.2,0.9,0.0,0.0,0.0,2.1,0.0,3.05,0.1,3.2,1.05,4.3,1.5,1.1,0.8,1.7,5.8,3.2,0.0,0.0,1.8,1.4,1.8
DS_Mag_90,27.0,2.4,0.4400000000000006,4.120000000000001,3.5400000000000076,8.120000000000001,9.72,19.0,1.1,12.0,16.700000000000017,17.900000000000006,17.400000000000006,14.400000000000006,8.51,13.400000000000006,17.0,12.600000000000009,0.0,0.0,9.2,6.5,7.0
DS_Tim,229.0,263.0,262.0,269.0,249.0,276.0,294.0,242.0,268.0,293.0,220.0,240.0,218.0,233.0,249.0,231.0,316.0,260.0,272.0,270.0,259.0,258.0,285.0
DS_Dur_WS,229.0,198.0,137.0,219.0,125.0,119.0,140.0,160.0,154.0,155.0,244.0,202.0,197.0,187.0,190.0,167.0,168.0,125.0,132.0,166.0,202.0,187.0,160.0
