Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_Fre_5,nan,nan,1.0,1.0,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,98.0,22.0,53.0,53.0,49.0,44.0,838.0,54.0,38.0,2.3,35.0,65.0,41.0,73.0,208.0,109.0,26.0,47.0,183.0,124.0,120.0,171.0,113.0,61.0,29.0,90.0,15.0,77.0,129.0,224.0,34.0,73.0,255.0,125.0,30.3,344.0,186.0,60.0,114.0,18.9,87.5,90.5,24.8,270.0,73.3,32.5,85.6,232.0
SP_Tim,172.0,209.0,162.0,196.0,200.0,185.0,184.0,211.0,199.0,244.0,211.0,223.0,194.0,180.0,199.0,213.0,220.0,186.0,165.0,168.0,111.0,179.0,246.0,179.0,205.0,248.0,212.0,217.0,238.0,122.0,246.0,198.0,154.0,159.0,179.0,215.0,153.0,264.0,201.0,208.0,152.0,221.0,252.0,180.0,200.0,194.0,186.0,135.0
SP_Dur,47.0,24.0,53.0,40.0,55.0,57.0,37.0,40.0,43.0,55.0,33.0,35.0,56.0,39.0,39.0,47.0,47.0,59.0,108.0,74.0,191.0,65.0,56.0,81.0,53.0,42.0,70.0,44.0,27.0,141.0,44.0,41.0,126.0,34.0,42.0,37.0,120.0,49.0,26.0,64.0,44.0,49.0,42.0,52.0,43.0,50.0,60.0,43.0
SP_ROC,0.06024096385542179,0.05555555555555555,0.04880952380952379,0.054093567251461985,0.03703703703703707,0.03947368421052629,0.067816091954023,0.05718954248366013,0.03846153846153844,0.07417582417582416,0.05586766541822724,0.06578947368421052,0.050000000000000044,0.0629960317460317,0.07692307692307693,0.0555555555555556,0.0442110405471421,0.04545454545454543,0.05263157894736842,0.04880952380952381,0.052631578947368356,0.05263157894736842,0.03846153846153849,0.04939024390243903,0.034286833855799434,0.05633802816901401,0.03703703703703707,0.054093567251461985,0.060990712074303385,0.05555555555555555,0.03703703703703707,0.044776119402985044,0.04761904761904766,0.07692307692307693,0.03141361256544494,0.056046636884960144,0.03512014787430691,0.04256556665442781,0.06572769953051653,0.0358804169960838,0.04984472049689441,0.04533749726057417,0.03990024937655853,0.04683583959899746,0.04121443877284371,0.04515397116866117,0.04271844660194187,0.04587155963302752
DS_Mag_50,1.8,1.7,1.2,1.9,2.2,1.7,2.0,1.35,1.2,0.87,1.4,1.3,1.3,1.4,1.4,2.0,1.45,1.5,1.8,0.97,0.8,2.4,1.8,1.7,1.3,1.3,1.15,1.35,1.2,1.6,1.3,1.9,1.5,1.2,1.18,1.59,1.23,1.39,1.43,1.435,1.165,1.1949999999999998,1.73,1.88,1.275,0.83,0.92,1.15
DS_Mag_90,5.520000000000001,5.4,4.6800000000000015,5.8,13.400000000000006,4.010000000000001,8.040000000000003,3.8,3.4,4.07,3.9400000000000004,3.1,3.6800000000000015,4.6,5.2,5.190000000000001,3.0,11.300000000000011,5.1600000000000055,2.5,1.0,4.1,2.9,2.9,3.2200000000000015,3.6,11.099999999999994,4.3199999999999985,4.820000000000002,8.460000000000013,3.210000000000001,11.0,4.780000000000001,4.8,4.523,5.639999999999999,2.6400000000000006,4.294000000000003,6.63,4.121000000000009,5.346000000000004,7.377,13.040000000000013,7.728000000000001,4.165,2.449000000000001,2.1240000000000006,4.708
DS_Tim,219.0,233.0,215.0,236.0,255.0,242.0,221.0,251.0,242.0,299.0,244.0,258.0,250.0,219.0,238.0,260.0,267.0,245.0,273.0,242.0,302.0,244.0,302.0,260.0,258.0,290.0,282.0,261.0,265.0,263.0,290.0,239.0,280.0,193.0,221.0,252.0,273.0,313.0,227.0,272.0,196.0,270.0,294.0,232.0,243.0,244.0,246.0,178.0
DS_Dur_WS,209.0,200.0,182.0,182.0,177.0,140.0,229.0,136.0,211.0,114.0,217.0,121.0,173.0,185.0,171.0,132.0,128.0,218.0,169.0,174.0,101.0,211.0,184.0,185.0,169.0,130.0,170.0,170.0,159.0,163.0,120.0,222.0,182.0,211.0,210.0,170.0,153.0,105.0,205.0,168.0,244.0,184.0,120.0,238.0,166.0,244.0,167.0,235.0
