Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
FA_Mag,nan,nan,1.52323549450967,31.961346499199266,4.802741988450641,2.9872197451900897,1.2185607289200733,nan,1.8840473953228352,1.0119150353336952,2.1082146026223563,3.831839111727789,nan,48.92047801819817,29.973804351034435,2.099688436058088,nan,nan,2.4921929039521333,nan,nan,2.9626186848274685,11.994962574252817
FA_Tim,nan,nan,62.0,12.0,35.0,40.0,44.0,nan,31.0,33.0,22.0,35.0,nan,44.0,42.0,51.0,nan,nan,52.0,nan,nan,64.0,43.0
FA_Dur,nan,nan,21.0,6.0,7.0,5.0,12.0,nan,1.0,7.0,4.0,7.0,nan,2.0,3.0,6.0,nan,nan,17.0,nan,nan,6.0,4.0
Wet_BFL_Mag_10,0.5,0.2,0.28,0.34,0.5,1.5,0.77,0.5,0.8,4.66,0.93,0.73,0.14,3.97,3.5100000000000002,0.6210000000000001,0.18,nan,2.0200000000000005,nan,1.4,0.5560000000000002,6.61
Wet_BFL_Mag_50,3.3,0.3,6.3,5.9,0.6,3.8,1.4,5.35,1.65,12.0,7.2,1.7,0.44,14.0,8.7,5.5,0.21,nan,6.4,nan,4.8,1.7,17.5
Wet_Tim,95.0,20.0,122.0,110.0,93.0,71.0,74.0,55.0,95.0,98.0,76.0,44.0,58.0,94.0,74.0,113.0,23.0,nan,72.0,92.0,75.0,106.0,75.0
Wet_BFL_Dur,41.0,202.0,39.0,95.0,23.0,124.0,78.0,154.0,76.0,94.0,82.0,155.0,74.0,80.0,112.0,80.0,135.0,nan,129.0,nan,151.0,69.0,122.0
Peak_2,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
Peak_5,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6,275.6
Peak_10,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8,299.8
Peak_Dur_2,2.0,nan,1.0,5.0,nan,4.0,nan,5.0,nan,4.0,2.0,nan,nan,1.0,4.0,nan,nan,nan,2.0,nan,1.0,nan,7.0
Peak_Dur_5,nan,nan,nan,1.0,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Dur_10,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_2,2.0,nan,1.0,2.0,nan,3.0,nan,5.0,nan,4.0,2.0,nan,nan,1.0,2.0,nan,nan,nan,2.0,nan,1.0,nan,5.0
Peak_Fre_5,nan,nan,nan,1.0,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
SP_Mag,63.0,0.6,15.0,45.0,89.0,29.0,2.0,51.0,13.0,12.0,53.0,4.5,13.0,24.0,150.0,13.0,4.6,0.14,14.0,1.1,5.4,46.0,98.0
SP_Tim,136.0,222.0,161.0,205.0,116.0,195.0,152.0,209.0,171.0,192.0,158.0,199.0,132.0,174.0,186.0,193.0,158.0,223.0,201.0,nan,226.0,175.0,197.0
SP_Dur,116.0,85.0,35.0,25.0,161.0,29.0,92.0,28.0,56.0,55.0,28.0,77.0,14.0,46.0,154.0,66.0,34.0,62.0,47.0,nan,22.0,50.0,27.0
SP_ROC,0.1369318181818182,0.5,0.09999999999999995,0.06600580270793042,0.14285714285714282,0.09210526315789465,0.19999999999999996,0.08333333333333333,0.07692307692307698,0.05505050505050506,0.06250000000000006,0.07142857142857134,0.13594470046082946,0.08285714285714287,0.1010204081632653,0.08823529411764701,0.25320512820512825,0.25000000000000006,0.06594202898550726,nan,0.09523809523809532,0.06666666666666672,0.0686121107807855
DS_Mag_50,0.1,0.0,0.2,0.6,0.0,0.3,0.0,0.355,0.1,0.36,0.24,0.03,0.01,0.33,0.46,0.18,nan,0.0,0.18,0.15,0.27,0.07,0.72
DS_Mag_90,0.3,0.2,0.7,2.5,0.2,1.0,0.1,2.570000000000002,0.53,0.8699999999999999,1.7000000000000002,0.12300000000000011,0.78,2.219999999999999,1.3,0.63,nan,0.05,1.1,0.48,0.99,0.765,3.7
DS_Tim,252.0,307.0,196.0,230.0,277.0,224.0,244.0,237.0,227.0,247.0,186.0,276.0,146.0,220.0,340.0,259.0,192.0,285.0,248.0,220.0,248.0,225.0,224.0
DS_Dur_WS,134.0,181.0,280.0,229.0,160.0,216.0,177.0,224.0,237.0,195.0,224.0,148.0,314.0,220.0,139.0,130.0,nan,153.0,210.0,221.0,224.0,216.0,217.0
