Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
FA_Mag,nan,149.99682588331117,55.998581382647885,nan,72.0024871333254,nan,270.999438087698,726.9711202043588,108.99888462866059,nan,82.99912208681688,nan
FA_Tim,nan,0.0,11.0,nan,28.0,nan,45.0,24.0,50.0,nan,13.0,nan
FA_Dur,nan,5.0,5.0,nan,5.0,nan,7.0,3.0,9.0,nan,5.0,nan
Wet_BFL_Mag_10,386.0,441.79999999999995,358.20000000000005,627.9000000000001,459.0,262.6,55.10000000000001,514.6,253.0,475.00000000000006,112.00000000000003,nan
Wet_BFL_Mag_50,1120.0,1110.0,1100.0,1920.0,1290.0,738.0,249.0,1190.0,588.0,1065.0,382.0,nan
Wet_Tim,31.0,36.0,61.0,16.0,64.0,19.0,128.0,29.0,93.0,15.0,32.0,nan
Wet_BFL_Dur,173.0,163.0,125.0,170.0,147.0,162.0,114.0,177.0,130.0,180.0,202.0,nan
Peak_2,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,8910.0,nan
Peak_5,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,12120.0,nan
Peak_10,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,23450.000000000004,nan
Peak_Dur_2,3.0,5.0,nan,3.0,3.0,nan,nan,1.0,nan,4.0,nan,nan
Peak_Dur_5,nan,4.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan
Peak_Dur_10,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,2.0,2.0,nan,3.0,2.0,nan,nan,1.0,nan,3.0,nan,nan
Peak_Fre_5,nan,2.0,nan,nan,1.0,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
SP_Mag,1390.0,1460.0,1850.0,11700.0,1290.0,1470.0,297.0,1040.0,2650.0,1330.0,360.0,nan
SP_Tim,204.0,199.0,186.0,186.0,211.0,181.0,242.0,206.0,223.0,195.0,234.0,nan
SP_Dur,45.0,39.0,44.0,54.0,43.0,52.0,54.0,44.0,34.0,66.0,59.0,nan
SP_ROC,0.05699481865284974,0.07251616960114984,0.050724637681159424,0.05649717514124294,0.05566146391834466,0.052083333333333336,0.03773584905660377,0.06116872132895741,0.050359712230215826,0.05263157894736842,0.05128205128205128,nan
DS_Mag_50,53.0,34.0,38.5,23.5,29.0,29.0,22.0,33.0,21.0,19.0,nan,nan
DS_Mag_90,133.60000000000002,183.2000000000001,113.70000000000002,97.39999999999998,95.0,111.0,88.2,113.40000000000003,85.80000000000001,73.80000000000001,nan,nan
DS_Tim,249.0,238.0,230.0,240.0,254.0,233.0,296.0,250.0,257.0,261.0,293.0,nan
DS_Dur_WS,153.0,189.0,152.0,190.0,131.0,261.0,99.0,209.0,124.0,137.0,nan,nan
