Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
FA_Mag,2.7747080388103242,nan,23.00521914043346,nan,nan,6.582584785462262,10.991119506368468,nan,nan,nan,131.92147701039758,nan,1.7571982974753824,62.98658424838167,17.9834770913864
FA_Tim,23.0,nan,44.0,nan,nan,29.0,9.0,nan,nan,nan,61.0,nan,11.0,40.0,44.0
FA_Dur,14.0,nan,2.0,nan,nan,10.0,2.0,nan,nan,nan,4.0,nan,4.0,3.0,6.0
Wet_BFL_Mag_10,13.0,6.740000000000001,2.28,2.2,3.7600000000000002,3.3,21.200000000000003,0.8,3.4000000000000004,1.0,3.5,3.2,2.5,5.6,11.0
Wet_BFL_Mag_50,60.0,16.0,30.5,6.1,81.0,9.1,124.0,6.2,20.5,6.949999999999999,43.5,11.0,3.5,19.0,27.0
Wet_Tim,46.0,56.0,91.0,30.0,63.0,134.0,111.0,82.0,105.0,49.0,105.0,4.0,29.0,72.0,79.0
Wet_BFL_Dur,125.0,157.0,100.0,177.0,85.0,99.0,77.0,61.0,58.0,158.0,56.0,196.0,87.0,131.0,73.0
Peak_2,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0,594.0
Peak_5,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002,902.8000000000002
Peak_10,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0,1240.0
Peak_Dur_2,nan,nan,1.0,nan,5.0,nan,2.0,nan,1.0,nan,1.0,2.0,nan,2.0,1.0
Peak_Dur_5,nan,nan,nan,nan,4.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_2,nan,nan,1.0,nan,4.0,nan,2.0,nan,1.0,nan,1.0,1.0,nan,2.0,1.0
Peak_Fre_5,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
SP_Mag,177.0,45.0,91.0,34.0,942.0,47.0,585.0,421.0,67.0,13.0,184.0,105.0,222.0,70.0,39.0
SP_Tim,171.0,213.0,191.0,207.0,148.0,233.0,188.0,143.0,163.0,207.0,161.0,200.0,116.0,203.0,152.0
SP_Dur,53.0,47.0,52.0,58.0,37.0,35.0,31.0,48.0,92.0,54.0,38.0,30.0,31.0,30.0,65.0
SP_ROC,0.08,0.06153846153846159,0.09090909090909091,0.10526315789473682,0.07246376811594203,0.08254076086956516,0.0971675845790716,0.0857843137254902,0.08510638297872347,0.09838709677419358,0.07368421052631571,0.08166666666666667,0.062499999999999965,0.07692307692307693,0.04446640316205526
DS_Mag_50,0.2,0.4,0.1,0.1,0.7,1.4,0.2,0.1,0.0,0.0,0.0,1.0,0.4,0.2,0.1
DS_Mag_90,2.960000000000002,2.3,1.180000000000001,0.4700000000000017,7.2,14.0,7.2,2.1,0.3,2.9,3.7,7.02,4.3,4.4,3.430000000000001
DS_Tim,224.0,260.0,243.0,265.0,185.0,268.0,219.0,191.0,255.0,261.0,199.0,230.0,147.0,233.0,217.0
DS_Dur_WS,198.0,197.0,153.0,164.0,315.0,209.0,229.0,280.0,160.0,210.0,171.0,165.0,291.0,212.0,228.0
