Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,nan,163.01314677205056,251.99755198635768,383.0157528279451,nan,67.99975910134108,407.9979758316696,nan,154.99924358270897,nan,257.9414564345765,397.99612199389105,107.99622898158233,1299.9071035801335,65.00282727649358,nan,1109.9836849499934,nan,nan,491.9980490999978,372.99981508236135,nan,nan,nan,84.01688157824995,287.9957698681273,357.00063565552307,59.97888325561245,281.99973769299453,nan,nan,676.9956912352045,nan,210.00127679996586,153.000900819856,nan,2489.9951752738707,nan,424.99339848156137,2119.988258670134,900.9711257924455,1299.9687316006016,70.59931670462954,1309.9959640177967,nan,138.97226098867324,nan,457.992637133937,608.9901014591662
FA_Tim,nan,nan,2.0,12.0,16.0,nan,0.0,15.0,nan,30.0,nan,45.0,29.0,51.0,22.0,14.0,nan,25.0,nan,nan,22.0,0.0,nan,nan,nan,31.0,26.0,31.0,16.0,41.0,nan,nan,8.0,nan,28.0,29.0,nan,40.0,nan,19.0,38.0,44.0,19.0,4.0,14.0,nan,5.0,nan,51.0,25.0
FA_Dur,nan,nan,5.0,4.0,3.0,nan,4.0,2.0,nan,9.0,nan,7.0,2.0,4.0,4.0,6.0,nan,7.0,nan,nan,4.0,4.0,nan,nan,nan,4.0,3.0,5.0,4.0,12.0,nan,nan,3.0,nan,2.0,6.0,nan,9.0,nan,3.0,2.0,7.0,5.0,6.0,3.0,nan,4.0,nan,7.0,7.0
Wet_BFL_Mag_10,286.0,476.80000000000007,377.5,1950.0,718.2,664.0,467.5,699.0,1065.0,588.5,153.0,90.60000000000001,791.8000000000002,215.20000000000002,433.70000000000005,220.60000000000002,1218.0000000000005,1645.0,707.6000000000001,336.8,643.0,417.6,571.4000000000001,393.59999999999997,70.7,187.2,482.80000000000007,1270.0,317.0,960.0,898.8,597.0,1794.0,381.6,1622.0,461.5,995.6000000000001,795.6,1748.0,851.6,905.0,240.5,599.1999999999999,338.1,762.0,592.9,404.8,603.6,92.55,362.8
Wet_BFL_Mag_50,1600.0,2360.0,1985.0,3160.0,2970.0,2460.0,1610.0,2490.0,3720.0,2670.0,485.5,260.0,2810.0,1635.0,1865.0,970.0,3060.0,4405.0,2380.0,1100.0,3520.0,1655.0,1300.0,1340.0,506.5,614.0,1710.0,2770.0,688.0,3360.0,2390.0,2545.0,3910.0,2310.0,3060.0,1180.0,1890.0,2850.0,2890.0,2295.0,4720.0,1340.0,1720.0,1255.0,2730.0,2365.0,2220.0,1340.0,1315.0,1043.5
Wet_Tim,35.0,40.0,56.0,64.0,68.0,31.0,53.0,62.0,18.0,84.0,21.0,124.0,48.0,95.0,31.0,54.0,23.0,44.0,32.0,25.0,92.0,83.0,51.0,37.0,18.0,100.0,115.0,62.0,57.0,85.0,59.0,45.0,89.0,44.0,96.0,111.0,47.0,65.0,56.0,62.0,53.0,63.0,60.0,77.0,70.0,19.0,105.0,42.0,118.0,47.0
Wet_BFL_Dur,151.0,193.0,116.0,161.0,95.0,171.0,146.0,151.0,166.0,146.0,176.0,119.0,143.0,128.0,162.0,179.0,185.0,194.0,167.0,163.0,71.0,84.0,105.0,142.0,228.0,135.0,88.0,185.0,178.0,131.0,179.0,76.0,157.0,195.0,107.0,100.0,143.0,149.0,110.0,202.0,161.0,146.0,163.0,144.0,181.0,234.0,103.0,149.0,66.0,88.0
Peak_2,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0,19400.0
Peak_5,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0,43060.0
Peak_10,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001,53030.00000000001
