Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
FA_Mag,nan,nan,nan,10.953155861634974,nan,nan,nan,1.2860635787621923,23.996108355271872,nan,nan,nan,nan,nan,28.981156102396586,41.973854650428535,nan,nan,nan,nan,nan,nan,nan,5.729651794971658,39.996248182675714,nan,nan
FA_Tim,nan,nan,nan,62.0,nan,nan,nan,45.0,62.0,nan,nan,nan,nan,nan,46.0,61.0,nan,nan,nan,nan,nan,nan,nan,58.0,60.0,nan,nan
FA_Dur,nan,nan,nan,20.0,nan,nan,nan,15.0,1.0,nan,nan,nan,nan,nan,4.0,9.0,nan,nan,nan,nan,nan,nan,nan,3.0,5.0,nan,nan
Wet_BFL_Mag_10,0.1,0.3,0.0,0.0,0.11999999999999994,0.0,nan,0.1,2.1,0.0,8.850000000000003,0.020000000000000018,0.0,nan,16.8,0.2,0.3,nan,nan,1.9200000000000004,0.0,0.68,0.0,3.68,19.700000000000003,3.52,0.24400000000000002
Wet_BFL_Mag_50,0.25,0.3,0.3,2.55,1.1,0.4,nan,1.0,6.6,2.3,54.0,17.0,1.6,nan,50.0,4.6,3.4,nan,nan,20.5,0.625,5.8,1.7,6.2,54.0,16.0,0.32
Wet_Tim,126.0,111.0,107.0,124.0,112.0,27.0,nan,79.0,103.0,102.0,99.0,74.0,50.0,nan,95.0,76.0,124.0,nan,nan,94.0,99.0,79.0,105.0,71.0,105.0,44.0,47.0
Wet_BFL_Dur,16.0,23.0,21.0,36.0,87.0,89.0,nan,51.0,106.0,43.0,64.0,85.0,61.0,nan,79.0,126.0,51.0,nan,nan,68.0,82.0,81.0,70.0,125.0,108.0,45.0,149.0
Peak_2,419.5,419.5,419.5,419.5,419.5,419.5,nan,419.5,419.5,419.5,419.5,419.5,419.5,nan,419.5,419.5,419.5,nan,nan,419.5,419.5,419.5,419.5,419.5,419.5,419.5,419.5
Peak_5,982.0,982.0,982.0,982.0,982.0,982.0,nan,982.0,982.0,982.0,982.0,982.0,982.0,nan,982.0,982.0,982.0,nan,nan,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0
Peak_10,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,nan,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,nan,1220.0,1220.0,1220.0,nan,nan,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0
