Year,2004,2005,2006,2007,2008,2009,2010,2011,2012
FA_Mag,nan,1.2592207178415855,5.08025692301584,1.8490894796515656,5.344462983344778,3.9142750086689007,1.0855487304886549,39.16736086097342,4.2282097937805805
FA_Tim,nan,18.0,37.0,44.0,18.0,33.0,13.0,23.0,9.0
FA_Dur,nan,7.0,2.0,2.0,5.0,6.0,5.0,7.0,8.0
Wet_BFL_Mag_10,2.211,2.316,2.7460000000000004,1.417,3.368,0.656,1.875,2.97,1.594
Wet_BFL_Mag_50,9.934999999999999,8.06,35.55,4.140000000000001,8.3,4.42,7.195,12.25,9.29
Wet_Tim,55.0,60.0,51.0,57.0,75.0,72.0,66.0,38.0,105.0
Wet_BFL_Dur,152.0,205.0,150.0,150.0,95.0,149.0,186.0,142.0,95.0
Peak_2,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
Peak_5,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0
Peak_10,195.60000000000002,195.60000000000002,195.60000000000002,195.60000000000002,195.60000000000002,195.60000000000002,195.60000000000002,195.60000000000002,195.60000000000002
Peak_Dur_2,1.0,nan,6.0,nan,1.0,nan,nan,4.0,1.0
Peak_Dur_5,nan,nan,3.0,nan,1.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,3.0,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,2.0,nan,1.0,nan,nan,3.0,1.0
Peak_Fre_5,nan,nan,2.0,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,2.0,nan,nan,nan,nan,nan,nan
SP_Mag,10.0,10.2,47.3,11.0,8.3,36.6,6.86,155.0,31.5
SP_Tim,207.0,265.0,201.0,207.0,170.0,221.0,252.0,180.0,200.0
SP_Dur,44.0,30.0,23.0,50.0,24.0,45.0,40.0,20.0,15.0
SP_ROC,0.04950495049504955,0.06598984771573599,0.09915024815761764,0.047368421052631504,0.06120218579234975,0.05932913343609679,0.050000000000000044,0.12263457358394066,0.11086474501108648
DS_Mag_50,0.19,0.275,0.1,0.25,0.11,0.13,0.175,0.64,0.46499999999999997
DS_Mag_90,0.5219999999999999,0.679,1.742000000000001,0.9770000000000001,1.39,0.585,2.5210000000000012,2.58,1.96
DS_Tim,251.0,295.0,224.0,257.0,194.0,266.0,292.0,200.0,215.0
DS_Dur_WS,175.0,122.0,199.0,184.0,244.0,166.0,112.0,271.0,256.0
