Year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
FA_Mag,1109.9683093283193,1619.9885392713268,nan,1999.9938279245457,495.9929471295806,653.992693859484,279.00049194080844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,837.999198157074,954.9942219780272
FA_Tim,18.0,9.0,nan,5.0,18.0,8.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,50.0
FA_Dur,4.0,3.0,nan,4.0,4.0,3.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,2.0
Wet_BFL_Mag_10,748.6000000000001,1400.0,518.0,988.0000000000002,494.0,1058.0,719.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1130.0,495.4
Wet_BFL_Mag_50,1645.0,2760.0,1520.0,2870.0,1510.0,2150.0,2085.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2220.0,1560.0
Wet_Tim,35.0,43.0,14.0,37.0,28.0,95.0,38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,84.0
Wet_BFL_Dur,200.0,177.0,221.0,180.0,183.0,147.0,188.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,210.0,139.0
Peak_2,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,26900.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26900.0,26900.0
Peak_5,30440.000000000004,30440.000000000004,30440.000000000004,30440.000000000004,30440.000000000004,30440.000000000004,30440.000000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30440.000000000004,30440.000000000004
Peak_10,39269.99999999999,39269.99999999999,39269.99999999999,39269.99999999999,39269.99999999999,39269.99999999999,39269.99999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39269.99999999999,39269.99999999999
Peak_Dur_2,nan,4.0,nan,2.0,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Dur_5,nan,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,3.0,nan,2.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
Peak_Fre_5,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,1950.0,2720.0,4770.0,1570.0,982.0,16300.0,6750.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2340.0,5130.0
SP_Tim,235.0,220.0,235.0,217.0,211.0,242.0,226.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,230.0,223.0
SP_Dur,49.0,46.0,36.0,26.0,35.0,36.0,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,50.0
SP_ROC,0.03901734104046243,0.08480157761471929,0.03907256333190211,0.06540841584158416,0.033003300330033,0.045283018867924525,0.050104602510460255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03716733936241393,0.04599406528189911
DS_Mag_50,151.0,151.0,217.0,160.0,151.0,156.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,221.5,180.0
DS_Mag_90,305.6,302.20000000000005,675.3000000000002,424.0,347.79999999999995,276.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,854.3000000000002,708.6000000000004
DS_Tim,284.0,266.0,271.0,243.0,246.0,278.0,270.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,276.0,273.0
DS_Dur_WS,125.0,114.0,132.0,151.0,215.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,174.0,177.0
