Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,2.762717650709914,4.340628891058557,4.386971237393864,nan,nan,nan,nan,nan,nan,3.4436701104520315,nan,nan,nan,2.011068291989359,4.24842641316014,3.391052767681605,10.814569682331607,4.099236388135391,2.8748129094010313,2.110372909355717,1.2817293256887932
FA_Tim,34.0,73.0,9.0,nan,nan,nan,nan,nan,nan,39.0,nan,nan,nan,67.0,31.0,12.0,23.0,4.0,21.0,50.0,25.0
FA_Dur,7.0,6.0,4.0,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,2.0,3.0,3.0,9.0,4.0,3.0,3.0,4.0
Wet_BFL_Mag_10,2.0,2.0,1.7,2.32,1.7,1.7100000000000002,1.5,1.4,1.1,1.6,nan,nan,1.5,1.6,1.5,1.7,1.7100000000000002,1.9,1.2,0.89,0.8400000000000003
Wet_BFL_Mag_50,8.35,2.4,12.0,4.0,2.4,2.65,1.8,1.8,1.8,1.9,nan,nan,1.8,2.5,2.05,2.5,5.0,2.3,2.1,1.9,1.8
Wet_Tim,80.0,98.0,77.0,91.0,101.0,109.0,46.0,35.0,32.0,55.0,nan,nan,17.0,68.0,100.0,94.0,46.0,99.0,32.0,107.0,25.0
Wet_BFL_Dur,138.0,136.0,45.0,153.0,115.0,52.0,195.0,126.0,185.0,190.0,nan,nan,203.0,157.0,120.0,149.0,192.0,172.0,128.0,86.0,185.0
Peak_2,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,nan,nan,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Peak_5,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,nan,nan,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006,46.400000000000006
Peak_10,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,nan,nan,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997,67.59999999999997
Peak_Dur_2,22.0,6.0,17.0,14.0,4.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,1.0,1.0,nan,nan
Peak_Dur_5,3.0,1.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Dur_10,nan,1.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,4.0,3.0,4.0,4.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,1.0,1.0,nan,nan
Peak_Fre_5,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_10,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,27.0,8.4,35.0,6.6,2.9,17.0,2.3,5.6,9.2,3.0,nan,nan,4.6,2.5,6.3,3.3,7.3,3.3,3.5,5.9,3.6
SP_Tim,218.0,234.0,122.0,244.0,216.0,161.0,241.0,161.0,217.0,245.0,nan,nan,220.0,225.0,220.0,243.0,238.0,271.0,160.0,193.0,210.0
SP_Dur,24.0,13.0,21.0,37.0,128.0,19.0,98.0,219.0,170.0,76.0,nan,nan,113.0,91.0,108.0,120.0,118.0,65.0,150.0,127.0,97.0
SP_ROC,0.09216867469879525,0.051315789473684204,0.09183673469387758,0.03774928774928778,0.05882352941176463,0.10526315789473693,0.05617977528089892,0.052631578947368356,0.0555555555555556,0.051315789473684204,nan,nan,0.03846153846153849,0.043478260869565064,0.050000000000000044,0.050000000000000044,0.041666666666666706,0.04545454545454549,0.04761904761904766,0.03015151515151511,0.0871212121212121
DS_Mag_50,1.8,1.7,2.0,2.0,1.5,1.8,0.77,0.845,1.2,nan,nan,nan,1.1,0.84,1.1,1.4,1.7,1.0,0.95,0.64,0.6
DS_Mag_90,1.9,2.2,2.4,2.8499999999999996,1.9,2.1,0.8849999999999999,0.889,1.7600000000000002,nan,nan,nan,1.4,1.5,1.5,2.9200000000000035,2.0,1.2,1.1,0.9,0.9
DS_Tim,242.0,247.0,143.0,281.0,344.0,180.0,339.0,380.0,387.0,321.0,nan,nan,333.0,316.0,328.0,363.0,356.0,336.0,310.0,320.0,307.0
DS_Dur_WS,222.0,196.0,314.0,186.0,131.0,232.0,62.0,32.0,55.0,nan,nan,nan,101.0,150.0,132.0,49.0,109.0,62.0,163.0,71.0,84.0
