Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,37.99255204706372,39.99072015625558,27.996918600102955,221.9894670371132,188.00219981954038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,209.99133283094812,nan,33.994762618323215,nan,70.98469752199499,141.98321037906896,49.99635393368396,nan,53.99032903546573,50.999326463105824,114.9942481451713,nan,nan,215.991710883216,52.994165409750764,nan,nan,139.01098243362472,39.986151042721566,80.9787435921218,80.99415589236776,nan,nan,nan,nan,42.99957586032103,nan,36.00600813220907,19.999287060174893,nan,70.59761173618855,nan,84.7955587375692,30.397783173921376,nan,535.9756619732843,24.010587373859806,46.99386136800183,596.8939136215687,72.39563571883261,22.09782976727484,31.99397249914846,198.99184726136153
FA_Tim,9.0,18.0,9.0,25.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,nan,27.0,nan,45.0,24.0,50.0,nan,13.0,6.0,22.0,nan,nan,22.0,29.0,nan,nan,23.0,30.0,25.0,31.0,nan,nan,nan,nan,1.0,nan,27.0,20.0,nan,38.0,nan,18.0,14.0,nan,18.0,3.0,13.0,23.0,5.0,22.0,51.0,25.0
FA_Dur,2.0,3.0,8.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,8.0,nan,2.0,3.0,6.0,nan,4.0,2.0,4.0,nan,nan,3.0,2.0,nan,nan,2.0,5.0,5.0,6.0,nan,nan,nan,nan,4.0,nan,6.0,3.0,nan,2.0,nan,3.0,2.0,nan,2.0,6.0,2.0,3.0,3.0,3.0,7.0,4.0
Wet_BFL_Mag_10,173.8,90.9,186.4,101.6,125.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134.2,262.4,137.5,107.0,20.0,238.5,57.300000000000004,126.2,48.800000000000004,209.5,248.5,130.0,88.0,74.2,88.0,49.5,123.0,49.6,55.9,27.8,220.0,nan,nan,nan,nan,166.0,132.0,75.0,28.0,114.5,159.4,31.560000000000002,91.36,143.0,97.17,157.0,97.52000000000001,109.89999999999999,130.5,45.099999999999994,122.80000000000001,60.64,81.5
Wet_BFL_Mag_50,366.5,210.5,724.0,256.0,623.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,398.0,665.0,398.0,240.0,92.0,418.5,250.0,343.0,167.0,480.5,541.0,394.5,204.5,321.5,214.0,110.0,359.0,238.0,189.0,92.0,369.0,nan,nan,nan,nan,387.5,445.0,192.0,120.0,288.5,423.0,282.5,237.5,463.0,315.5,323.0,242.0,289.5,387.5,346.0,183.0,129.0,156.0
Wet_Tim,33.0,35.0,44.0,67.0,36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.0,17.0,53.0,19.0,127.0,42.0,91.0,10.0,49.0,23.0,43.0,32.0,23.0,51.0,46.0,47.0,37.0,89.0,94.0,43.0,60.0,nan,nan,nan,nan,42.0,40.0,55.0,45.0,40.0,67.0,36.0,53.0,52.0,39.0,60.0,75.0,70.0,47.0,86.0,44.0,121.0,45.0
Wet_BFL_Dur,158.0,180.0,104.0,168.0,152.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,125.0,169.0,158.0,177.0,115.0,164.0,132.0,185.0,185.0,176.0,180.0,222.0,164.0,112.0,171.0,206.0,171.0,157.0,140.0,160.0,191.0,nan,nan,nan,nan,202.0,179.0,202.0,186.0,176.0,147.0,172.0,212.0,190.0,168.0,155.0,145.0,180.0,156.0,119.0,149.0,103.0,149.0
Peak_2,2865.0,2865.0,2865.0,2865.0,2865.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,nan,nan,nan,nan,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0,2865.0
Peak_5,3786.0,3786.0,3786.0,3786.0,3786.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,nan,nan,nan,nan,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0,3786.0
Peak_10,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,nan,nan,nan,nan,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002,4864.000000000002
Peak_Dur_2,1.0,1.0,9.0,1.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,5.0,nan,nan,nan,1.0,nan,nan,2.0,3.0,1.0,nan,4.0,nan,nan,1.0,1.0,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,2.0,1.0,1.0,4.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Dur_5,1.0,nan,6.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
