Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
FA_Mag,124.99781073991937,nan,nan,1699.991162532795,1399.9805867488537,209.99603088463502,10.968991367072011,7.899687997154265,49.99219570840093,nan,172.99791171529193,2179.9908782693233,nan,nan,62.000065279676484,53.99658937851578,179.99608193726175,nan,41.99986206612941,68.00001643647506,1399.9867295035137,51.00281455144507,89.98127521214492,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1059.9903174787653,nan,221.0007217346955
FA_Tim,18.0,nan,nan,29.0,8.0,44.0,10.0,6.0,27.0,nan,15.0,42.0,nan,nan,1.0,12.0,16.0,nan,0.0,11.0,22.0,28.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,nan,19.0
FA_Dur,2.0,nan,nan,5.0,3.0,8.0,4.0,5.0,8.0,nan,2.0,5.0,nan,nan,8.0,4.0,4.0,nan,4.0,4.0,3.0,3.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.0,nan,4.0
Wet_BFL_Mag_10,186.8,138.60000000000002,329.09999999999997,173.0,488.20000000000005,155.0,108.6,81.0,51.8,57.60000000000001,122.0,356.6,112.10000000000001,108.60000000000001,123.2,350.6,266.5,166.6,212.0,114.2,423.8,171.0,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,352.1,221.0,333.6,204.2
Wet_BFL_Mag_50,727.5,350.0,1520.0,396.0,2400.0,492.0,369.5,448.0,477.5,235.5,305.0,2800.0,620.0,880.0,645.0,1190.0,933.5,696.0,555.5,970.0,1450.0,1025.0,244.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,859.5,1120.0,1100.0,615.0
Wet_Tim,38.0,34.0,45.0,99.0,72.0,78.0,108.0,40.0,50.0,5.0,30.0,50.0,35.0,39.0,55.0,52.0,66.0,31.0,53.0,61.0,30.0,84.0,21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,65.0,55.0,58.0
Wet_BFL_Dur,152.0,177.0,102.0,135.0,115.0,106.0,134.0,187.0,130.0,194.0,85.0,69.0,162.0,193.0,117.0,157.0,96.0,149.0,146.0,124.0,154.0,126.0,176.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,132.0,149.0,127.0,207.0
Peak_2,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14000.0,14000.0,14000.0,14000.0
Peak_5,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19320.000000000004,19320.000000000004,19320.000000000004,19320.000000000004
Peak_10,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,31780.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31780.0,31780.0,31780.0,31780.0
