Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
FA_Mag,24.98068372856452,4.759380910244269,10.9856811442792,3.847618953965992,nan,6.485270492755158,28.98694141155574,4.633570057621251,nan,nan
FA_Tim,19.0,13.0,9.0,5.0,nan,9.0,22.0,0.0,nan,nan
FA_Dur,3.0,4.0,2.0,4.0,nan,7.0,4.0,8.0,nan,nan
Wet_BFL_Mag_10,21.6,nan,30.1,19.0,18.0,10.0,23.1,15.0,5.22,12.0
Wet_BFL_Mag_50,36.0,nan,79.0,46.0,41.0,24.0,76.5,28.0,9.9,40.0
Wet_Tim,19.0,48.0,37.0,43.0,36.0,15.0,99.0,45.0,51.0,36.0
Wet_BFL_Dur,187.0,nan,162.0,181.0,217.0,168.0,68.0,125.0,203.0,151.0
Peak_2,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5,256.5
Peak_5,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0
Peak_10,421.6,421.6,421.6,421.6,421.6,421.6,421.6,421.6,421.6,421.6
Peak_Dur_2,1.0,nan,3.0,3.0,1.0,nan,7.0,nan,nan,nan
Peak_Dur_5,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,nan
Peak_Dur_10,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,1.0,2.0,1.0,nan,1.0,nan,nan,nan
Peak_Fre_5,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
SP_Mag,32.0,13.0,190.0,36.0,29.0,58.0,129.0,65.0,34.0,115.0
SP_Tim,206.0,nan,199.0,224.0,253.0,183.0,167.0,170.0,254.0,187.0
SP_Dur,56.0,nan,51.0,36.0,36.0,97.0,110.0,61.0,65.0,42.0
SP_ROC,0.054093567251461985,nan,0.05555555555555562,0.05882352941176463,0.04347826086956532,0.05505050505050503,0.05882352941176469,0.0658008658008658,0.058823529411764705,0.07142857142857142
DS_Mag_50,2.0,2.8,1.2,3.2,2.3,2.0,2.6,0.76,0.77,1.7
DS_Mag_90,5.2,8.0,4.1,6.280000000000001,5.190000000000001,22.19999999999999,7.17,3.55,1.5,8.1
DS_Tim,262.0,221.0,250.0,260.0,289.0,280.0,277.0,231.0,319.0,229.0
DS_Dur_WS,152.0,182.0,159.0,142.0,92.0,185.0,134.0,186.0,83.0,173.0
