Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,489.99547173408234,nan,212.9976945257404,149.9917749831554,319.9961007796943,nan,81.00270328222359,192.00417880636454,nan,245.99584528363562,169.0000475823369,57.997284138659595,434.9905627720979,172.0223802662644,nan,69.0163652945531,1119.9962898137549,2199.9595710924186,nan,nan,496.99494082376907,78.99825486025436,nan,nan,1189.9451712052175,281.95929498929905,209.97310657657545,315.9936736195498,78.10110623952954,365.995207331695,nan,nan,nan,nan,1069.9961408659003,409.95617780214405,nan,890.9185951247268,607.9740975563536,nan,nan,nan,1179.9604659219503,96.49980364634382,307.9921249356425,3599.920367405097,197.9984229952861,nan,178.99907880746062,396.9951873692877
FA_Tim,44.0,nan,2.0,11.0,15.0,nan,0.0,11.0,nan,27.0,10.0,42.0,29.0,50.0,nan,13.0,28.0,29.0,nan,nan,22.0,0.0,nan,nan,22.0,30.0,25.0,29.0,15.0,39.0,nan,nan,nan,nan,50.0,29.0,nan,40.0,45.0,nan,nan,nan,18.0,4.0,13.0,23.0,4.0,nan,0.0,25.0
FA_Dur,3.0,nan,1.0,7.0,2.0,nan,3.0,5.0,nan,5.0,6.0,6.0,2.0,9.0,nan,5.0,3.0,2.0,nan,nan,3.0,4.0,nan,nan,9.0,2.0,3.0,3.0,6.0,6.0,nan,nan,nan,nan,2.0,6.0,nan,6.0,2.0,nan,nan,nan,4.0,4.0,3.0,7.0,4.0,nan,4.0,4.0
Wet_BFL_Mag_10,477.8,215.0,279.0,269.80000000000007,662.2,241.0,274.0,823.7,559.0,318.8,161.0,nan,289.6,146.5,353.5,131.0,683.4,616.8000000000002,344.5,190.8,653.8,256.0,75.4,239.3,83.0,87.4,118.80000000000001,346.20000000000005,134.6,521.0,nan,nan,nan,nan,227.0,180.6,512.4,390.40000000000003,294.5,nan,nan,nan,308.20000000000005,132.0,361.4,389.1,254.80000000000004,170.0,43.44,241.4
Wet_BFL_Mag_50,1140.0,1240.0,998.0,2610.0,1620.0,1100.0,862.0,1545.0,1880.0,1140.0,411.0,nan,1430.0,609.0,1095.0,601.0,1910.0,2620.0,972.5,538.0,2250.0,745.0,1385.0,614.0,461.5,260.0,491.0,805.0,293.0,1760.0,nan,nan,nan,nan,1250.0,519.5,1000.0,1600.0,1060.0,nan,nan,nan,662.0,496.0,830.0,1285.0,877.0,359.0,605.0,662.0
Wet_Tim,80.0,38.0,51.0,52.0,67.0,31.0,52.0,67.0,17.0,84.0,21.0,86.0,47.0,93.0,15.0,49.0,37.0,43.0,32.0,24.0,97.0,66.0,51.0,37.0,88.0,95.0,85.0,60.0,56.0,86.0,nan,nan,nan,nan,93.0,96.0,39.0,66.0,56.0,nan,nan,nan,59.0,72.0,69.0,48.0,103.0,44.0,117.0,47.0
Wet_BFL_Dur,117.0,165.0,120.0,103.0,95.0,149.0,147.0,118.0,167.0,127.0,177.0,nan,145.0,130.0,178.0,131.0,159.0,165.0,186.0,159.0,67.0,101.0,60.0,142.0,158.0,85.0,119.0,187.0,164.0,131.0,nan,nan,nan,nan,131.0,84.0,139.0,148.0,152.0,nan,nan,nan,125.0,149.0,183.0,132.0,97.0,149.0,67.0,88.0
Peak_2,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,nan,nan,nan,nan,12800.0,12800.0,12800.0,12800.0,12800.0,nan,nan,nan,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0,12800.0
Peak_5,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,nan,nan,nan,nan,21600.0,21600.0,21600.0,21600.0,21600.0,nan,nan,nan,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Peak_10,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,nan,nan,nan,nan,27600.0,27600.0,27600.0,27600.0,27600.0,nan,nan,nan,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0,27600.0
