Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,25.002285148081647,nan,7.1467050021663034,44.99381539218278,9.43055241699396,13.99243357732394,9.968792744646276,2.050791499039338,21.977863392334623,31.987800759725772,15.997889771374092,nan,1.8346046374000209,32.99993283481513,27.99998225033441,14.006414824941112,11.980248822154783,nan,12.940921183759272,3.7487415749054454,nan,1.5995140366471887,41.992410713094195,10.995432423494556,4.598281176628396,nan,nan,nan,nan,nan,nan,nan,65.18383605626865,47.59738153668937,16.888691267350413,25.709528769649758,nan,nan,6.335310593989608,4.329080417634404,114.93475605800474,20.09888771273756,16.99963339471698,4.210809459610026,8.21695394704782,nan
FA_Tim,15.0,nan,43.0,10.0,7.0,27.0,10.0,1.0,52.0,51.0,19.0,nan,7.0,25.0,0.0,11.0,20.0,nan,28.0,44.0,nan,31.0,25.0,29.0,15.0,nan,nan,nan,nan,nan,nan,nan,42.0,38.0,39.0,19.0,nan,nan,9.0,4.0,12.0,24.0,4.0,22.0,51.0,nan
FA_Dur,3.0,nan,5.0,4.0,2.0,6.0,5.0,5.0,17.0,4.0,7.0,nan,2.0,3.0,5.0,2.0,4.0,nan,2.0,3.0,nan,2.0,5.0,5.0,6.0,nan,nan,nan,nan,nan,nan,nan,3.0,4.0,4.0,7.0,nan,nan,2.0,3.0,8.0,4.0,3.0,5.0,7.0,nan
Wet_BFL_Mag_10,8.520000000000001,14.0,3.4,20.0,30.0,7.299999999999999,2.9,0.825,25.700000000000003,6.88,24.0,9.0,48.0,17.0,52.0,9.58,23.8,7.76,4.5,5.580000000000001,3.8,3.91,1.27,41.5,4.25,nan,nan,nan,nan,nan,nan,nan,18.080000000000002,11.719999999999999,7.662000000000001,20.37,nan,nan,8.04,4.57,16.31000000000001,11.0,8.315,4.779999999999999,1.3610000000000002,5.537000000000001
Wet_BFL_Mag_50,60.0,31.5,9.5,109.0,70.5,49.5,4.0,1.7,64.0,34.0,71.5,24.0,94.5,152.5,118.0,22.0,128.0,18.0,18.0,13.0,8.1,24.5,61.0,81.0,18.5,nan,nan,nan,nan,nan,nan,nan,33.150000000000006,22.2,27.8,82.65,nan,nan,37.9,68.8,45.9,42.5,63.35,29.2,3.615,14.8
Wet_Tim,65.0,51.0,53.0,31.0,32.0,83.0,18.0,61.0,72.0,95.0,77.0,110.0,74.0,75.0,37.0,25.0,117.0,110.0,39.0,76.0,13.0,146.0,120.0,85.0,110.0,nan,nan,nan,nan,nan,nan,nan,50.0,65.0,58.0,80.0,nan,nan,89.0,125.0,99.0,63.0,153.0,51.0,117.0,57.0
Wet_BFL_Dur,93.0,130.0,79.0,144.0,154.0,108.0,179.0,166.0,128.0,87.0,84.0,66.0,122.0,140.0,54.0,157.0,53.0,67.0,86.0,97.0,231.0,34.0,58.0,96.0,36.0,nan,nan,nan,nan,nan,nan,nan,128.0,153.0,94.0,114.0,nan,nan,61.0,33.0,98.0,115.0,46.0,37.0,70.0,78.0
Peak_2,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0,nan,nan,nan,nan,nan,nan,nan,948.0,948.0,948.0,948.0,nan,nan,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0
Peak_5,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,nan,nan,nan,nan,nan,nan,nan,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,nan,nan,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005,1556.0000000000005
Peak_10,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,nan,nan,nan,nan,nan,nan,nan,1982.0,1982.0,1982.0,1982.0,nan,nan,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0
Peak_Dur_2,1.0,nan,nan,4.0,3.0,nan,nan,nan,1.0,nan,2.0,nan,7.0,7.0,1.0,1.0,5.0,1.0,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,2.0,nan,1.0,nan,1.0
Peak_Dur_5,1.0,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,nan,3.0,3.0,nan,nan,nan,1.0,nan,2.0,nan,5.0,6.0,1.0,1.0,3.0,1.0,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,2.0,nan,1.0,nan,1.0
