Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
FA_Mag,nan,nan,nan,1.8761218397502364,nan,4.691605336052853,nan,nan,12.996959557371989,15.91664844442529,nan,nan,nan,nan,11.980239831271907,4.283349707596986,nan,nan,nan,nan,nan,nan,1.963521876894114,2.006090859541943,21.989569370772156,72.9963014472842,nan,19.9880290668688,16.949563365096203,1.039705441258837
FA_Tim,nan,nan,nan,50.0,nan,50.0,nan,nan,37.0,51.0,nan,nan,nan,nan,44.0,48.0,nan,nan,nan,nan,nan,nan,64.0,44.0,49.0,0.0,nan,41.0,48.0,21.0
FA_Dur,nan,nan,nan,2.0,nan,3.0,nan,nan,16.0,5.0,nan,nan,nan,nan,2.0,5.0,nan,nan,nan,nan,nan,nan,24.0,7.0,7.0,8.0,nan,3.0,4.0,5.0
Wet_BFL_Mag_10,0.9,0.5,nan,0.75,0.5,0.4,0.4,0.1,2.6,1.4,0.56,1.1,0.6380000000000001,0.78,1.6400000000000001,1.275,1.0,0.336,0.3,3.2600000000000007,1.72,1.7,1.3,0.81,1.4,nan,0.95,0.48,1.12,0.6740000000000002
Wet_BFL_Mag_50,2.4,1.1,nan,0.9,0.6,0.5,0.9,3.9,6.55,1.6,39.5,1.3,3.6,1.24,15.0,4.9,1.5,0.42,0.56,19.0,4.9,56.5,3.1,1.3,22.0,nan,1.3,5.1,1.4,1.6
Wet_Tim,123.0,93.0,nan,120.0,118.0,103.0,71.0,38.0,53.0,132.0,101.0,128.0,48.0,73.0,99.0,85.0,55.0,118.0,82.0,84.0,90.0,127.0,115.0,74.0,75.0,nan,62.0,46.0,127.0,61.0
Wet_BFL_Dur,19.0,120.0,nan,16.0,18.0,84.0,123.0,55.0,154.0,31.0,50.0,27.0,95.0,18.0,55.0,96.0,107.0,17.0,142.0,74.0,93.0,34.0,62.0,124.0,131.0,nan,74.0,145.0,33.0,94.0
Peak_2,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5,219.5
Peak_5,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011,798.4000000000011
Peak_10,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001,1297.000000000001
Peak_Dur_2,nan,nan,nan,4.0,nan,nan,1.0,2.0,2.0,nan,10.0,nan,1.0,1.0,5.0,1.0,1.0,nan,nan,14.0,1.0,7.0,nan,nan,7.0,nan,nan,3.0,nan,nan
Peak_Dur_5,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,4.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,2.0,nan,nan,1.0,2.0,2.0,nan,4.0,nan,1.0,1.0,4.0,1.0,1.0,nan,nan,5.0,1.0,2.0,nan,nan,4.0,nan,nan,1.0,nan,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,60.0,3.7,0.7,1230.0,88.0,52.0,237.0,663.0,62.0,153.0,2200.0,153.0,20.0,377.0,250.0,7.3,285.0,209.0,49.0,2980.0,120.0,240.0,9.3,20.0,90.0,40.0,3.5,35.0,106.0,144.0
SP_Tim,142.0,213.0,138.0,136.0,136.0,187.0,194.0,93.0,207.0,163.0,151.0,155.0,143.0,91.0,154.0,181.0,162.0,135.0,224.0,158.0,183.0,161.0,177.0,198.0,206.0,90.0,136.0,191.0,160.0,155.0
SP_Dur,133.0,56.0,116.0,36.0,178.0,73.0,24.0,134.0,33.0,103.0,23.0,33.0,119.0,21.0,56.0,20.0,118.0,77.0,59.0,18.0,43.0,21.0,85.0,29.0,130.0,68.0,69.0,10.0,50.0,128.0
SP_ROC,0.14642857142857144,0.16666666666666663,0.25000000000000006,0.08012820512820512,0.10555555555555553,0.14285714285714282,0.1111111111111112,0.05158730158730167,0.054545454545454515,0.0555555555555556,0.08333333333333333,0.06451612903225812,0.05882352941176463,0.07692307692307689,0.085995085995086,0.09090909090909098,0.055555555555555684,0.07142857142857134,0.05050505050505055,0.07947368421052631,0.02786377708978325,0.06666666666666667,0.08193979933110365,0.15833333333333333,0.06666666666666667,0.052631578947368356,0.07142857142857148,0.035185185185185215,0.0871212121212121,0.06349206349206354
DS_Mag_50,0.2,nan,0.0,0.4,0.2,0.1,0.1,0.3,1.5,0.24,1.5,0.41,0.4,0.35,0.87,0.36,0.34,0.385,0.08,1.6,0.68,0.81,0.34,0.36,nan,0.38,0.25,1.2,0.44,0.28500000000000003
DS_Mag_90,0.2,nan,0.8,2.7900000000000036,0.5,0.1,0.8,0.8900000000000006,3.3,0.42,7.420000000000005,1.3,0.68,1.3000000000000003,3.1,1.1,0.6140000000000003,0.615,0.14400000000000007,17.099999999999994,3.040000000000001,6.419999999999999,0.81,2.5400000000000036,nan,0.9529999999999997,0.36400000000000005,3.4,0.754,0.65
DS_Tim,275.0,269.0,254.0,172.0,314.0,260.0,218.0,227.0,240.0,266.0,174.0,188.0,262.0,112.0,210.0,201.0,280.0,212.0,283.0,176.0,226.0,182.0,262.0,227.0,336.0,158.0,205.0,201.0,210.0,283.0
DS_Dur_WS,184.0,nan,232.0,312.0,155.0,177.0,186.0,192.0,258.0,201.0,320.0,226.0,177.0,353.0,241.0,220.0,204.0,236.0,167.0,280.0,267.0,299.0,178.0,214.0,nan,270.0,207.0,292.0,217.0,144.0
