Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,1.427307731865491,nan,125.95087181677512,nan,nan,4.289772151080918,nan,nan,nan,nan,8.062124444217304,nan,1.511644917027648,7.9489989054624335,3.396478017256189,132.977416901678,4.314142607093094,369.0001878163558,nan,28.0053860950232,2.6829208087066236,3.137526666503484,5.757645890120614,2.624488862729593,39.999930860608494,5.780680072061937,5.288459445669954,4.189797778846116,2.89701562071441,nan,nan,nan,nan,nan,2.636414983101493,1.4217878857938604,30.00199999263857,30.995486581159717,46.996672056304995,16.99246338999157,6.326308647139256,2.8875949324303307,nan,15.496119121214852,nan,1.4312174102165336,2.5951547035093316,1.7087527463481351,nan,nan,22.293454827486194,nan,nan,1.371377760498594,nan,nan
FA_Tim,nan,21.0,nan,62.0,nan,nan,41.0,nan,nan,nan,nan,36.0,nan,47.0,42.0,18.0,64.0,26.0,0.0,nan,52.0,36.0,12.0,29.0,25.0,0.0,11.0,20.0,0.0,22.0,nan,nan,nan,nan,nan,42.0,5.0,73.0,29.0,56.0,61.0,38.0,10.0,nan,40.0,nan,19.0,40.0,5.0,nan,nan,13.0,nan,nan,13.0,nan,nan
FA_Dur,nan,5.0,nan,5.0,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,9.0,3.0,5.0,10.0,9.0,8.0,nan,6.0,8.0,4.0,5.0,10.0,4.0,4.0,3.0,8.0,5.0,nan,nan,nan,nan,nan,5.0,2.0,4.0,3.0,3.0,2.0,6.0,2.0,nan,6.0,nan,5.0,7.0,2.0,nan,nan,5.0,nan,nan,5.0,nan,nan
Wet_BFL_Mag_10,2.6,1.7999999999999998,1.0,0.8,1.2,0.1,0.2,0.1,0.2,0.3490000000000001,2.78,4.4,1.8000000000000003,1.4,3.9400000000000004,3.4,3.0,nan,nan,2.81,4.12,4.04,3.66,6.49,3.7,6.0,2.54,5.01,2.7,0.996,0.23400000000000004,0.19,1.0800000000000003,1.2,13.0,2.0,3.04,6.430000000000001,5.0,31.200000000000003,8.1,14.0,4.16,1.842,1.9500000000000002,1.96,3.588,0.43,0.9099999999999999,0.4,1.1360000000000001,1.141,2.108,2.05,1.736,0.0,nan
Wet_BFL_Mag_50,18.0,3.05,1.5,13.5,5.050000000000001,1.1,1.2,1.6,1.9,1.2,108.5,9.0,7.4,2.8,48.0,9.6,11.0,nan,nan,62.5,15.5,16.5,12.5,19.0,83.0,11.5,5.8,33.0,4.7,2.6,1.5,0.99,7.1,2.2,25.0,3.5,14.0,22.0,32.5,85.0,10.0,31.0,12.0,5.005,4.19,2.24,27.2,2.88,1.6150000000000002,2.21,3.55,6.9350000000000005,7.6,2.34,2.38,0.685,nan
Wet_Tim,126.0,91.0,37.0,120.0,113.0,38.0,73.0,38.0,54.0,31.0,101.0,92.0,48.0,51.0,96.0,78.0,112.0,nan,nan,78.0,93.0,81.0,109.0,148.0,76.0,32.0,17.0,118.0,125.0,59.0,11.0,22.0,146.0,122.0,85.0,108.0,92.0,113.0,62.0,92.0,94.0,105.0,95.0,34.0,62.0,114.0,79.0,85.0,14.0,92.0,124.0,99.0,82.0,26.0,48.0,33.0,nan
Wet_BFL_Dur,21.0,64.0,85.0,40.0,98.0,80.0,125.0,93.0,153.0,158.0,50.0,64.0,37.0,82.0,79.0,109.0,99.0,nan,nan,98.0,92.0,80.0,64.0,48.0,139.0,160.0,165.0,52.0,51.0,150.0,147.0,136.0,33.0,56.0,95.0,38.0,85.0,54.0,56.0,129.0,103.0,98.0,64.0,64.0,157.0,38.0,98.0,105.0,218.0,59.0,34.0,54.0,93.0,175.0,40.0,154.0,nan
Peak_2,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,nan
Peak_5,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,970.4,nan
Peak_10,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,nan
