Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peak_Dur_2,nan,4.0,5.0,nan,nan,nan,1.0,nan,5.0,nan,6.0,7.0,1.0,nan,6.0,nan,nan,1.0,nan,nan,nan,3.0,nan,22.0,1.0,8.0,7.0,1.0,1.0,nan,1.0,3.0,4.0,nan,5.0,nan,1.0,nan,nan,nan,nan,3.0,nan,1.0,nan
Peak_Dur_5,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,2.0,nan,nan,nan,nan,nan,1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,3.0,2.0,nan,nan,nan,1.0,nan,2.0,nan,5.0,3.0,1.0,nan,1.0,nan,nan,1.0,nan,nan,nan,2.0,nan,5.0,1.0,3.0,4.0,1.0,1.0,nan,1.0,3.0,3.0,nan,3.0,nan,1.0,nan,nan,nan,nan,3.0,nan,1.0,nan
Peak_Fre_5,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,229.0,234.0,1400.0,191.0,123.0,5.9,361.0,110.0,617.0,284.0,1280.0,673.0,144.0,238.0,885.0,423.0,385.0,1840.0,160.0,368.0,500.0,1180.0,202.0,815.0,176.0,2840.0,535.0,343.0,1720.0,1500.0,2870.0,1000.0,1470.0,551.0,1520.0,355.0,1040.0,135.0,218.0,1360.0,325.0,2100.0,262.0,657.0,1730.0
SP_Tim,199.0,176.0,186.0,211.0,197.0,225.0,192.0,223.0,160.0,180.0,197.0,214.0,196.0,186.0,165.0,167.0,104.0,172.0,246.0,180.0,171.0,149.0,147.0,217.0,238.0,121.0,245.0,198.0,153.0,159.0,97.0,214.0,152.0,234.0,198.0,152.0,151.0,221.0,213.0,180.0,200.0,87.0,187.0,135.0,168.0
SP_Dur,71.0,41.0,38.0,41.0,45.0,68.0,61.0,38.0,97.0,40.0,43.0,40.0,42.0,54.0,31.0,61.0,166.0,31.0,51.0,76.0,57.0,134.0,50.0,32.0,45.0,143.0,30.0,61.0,109.0,79.0,142.0,45.0,41.0,52.0,28.0,101.0,45.0,35.0,57.0,104.0,58.0,156.0,61.0,34.0,35.0
SP_ROC,0.0666666666666667,0.05358851674641148,0.057692307692307696,0.05,0.058823529411764705,0.06250000000000006,0.06060606060606061,0.06458333333333333,0.058823529411764705,0.05023118957545187,0.06666666666666667,0.06570208728652752,0.04257246376811594,0.05634920634920634,0.0694255111976631,0.06451612903225806,0.06666666666666665,0.075,0.08333333333333333,0.0639036341363822,0.06666666666666667,0.05714285714285714,0.05718954248366013,0.07581786030061893,0.0625,0.041666666666666664,0.042105263157894736,0.045454545454545456,0.05555555555555555,0.05798319327731093,0.048357117160331024,0.05556943056943058,0.052232745598673955,0.053030303030302976,0.06557377049180328,0.049663677130044874,0.03393171713782403,0.06005221932114876,0.06299212598425197,0.061560604128331725,0.05669291338582679,0.043859649122807015,0.055672169859666505,0.05150976909413852,0.0751937668271192
DS_Mag_50,1.4,1.65,4.85,6.6,0.7,0.46,3.3,1.6,1.3,0.88,3.75,5.7,1.9,2.1,3.8,0.48,1.9,4.8,1.35,1.45,0.575,1.5,1.0,2.2,3.3,6.8,9.2,5.7,4.9,2.0949999999999998,0.79,2.6,5.075,4.779999999999999,2.5300000000000002,1.4,3.57,1.66,3.785,4.51,0.355,0.755,0.025,0.885,1.54
DS_Mag_90,15.0,14.0,27.099999999999994,11.0,1.8800000000000012,4.8,9.880000000000003,36.900000000000006,9.15,17.200000000000017,23.099999999999994,22.400000000000006,13.400000000000006,32.400000000000034,31.80000000000001,5.700000000000001,51.30000000000001,23.0,6.6,10.099999999999994,6.130000000000001,4.249999999999998,31.200000000000017,36.0,9.67,174.60000000000002,26.0,19.0,18.0,8.4,7.605,12.020000000000008,30.210000000000004,14.390000000000011,31.5,4.106000000000002,18.3,10.140000000000004,15.780000000000006,9.02000000000001,4.122000000000001,2.135,1.28,15.560000000000002,24.020000000000003
DS_Tim,270.0,217.0,224.0,252.0,242.0,293.0,253.0,261.0,257.0,220.0,240.0,254.0,238.0,240.0,196.0,228.0,270.0,203.0,297.0,256.0,228.0,283.0,197.0,249.0,283.0,264.0,275.0,259.0,262.0,238.0,239.0,259.0,193.0,286.0,226.0,253.0,196.0,256.0,270.0,284.0,258.0,243.0,248.0,169.0,203.0
DS_Dur_WS,169.0,182.0,260.0,247.0,203.0,143.0,207.0,182.0,166.0,179.0,170.0,147.0,157.0,229.0,277.0,193.0,238.0,253.0,212.0,230.0,198.0,138.0,257.0,203.0,142.0,192.0,135.0,205.0,228.0,176.0,192.0,164.0,234.0,154.0,206.0,199.0,301.0,199.0,154.0,189.0,152.0,246.0,166.0,262.0,228.0
