Year,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
FA_Mag,8.854970350401766,3.19909569087056,1.7672408633793308,1.2378523009354176,7.776605881317063,1.6012127952811162,1.6073915766399178,14.00893433647858,nan,1.1141567948941067,2.5835493835778376
FA_Tim,8.0,0.0,34.0,50.0,24.0,11.0,6.0,24.0,nan,9.0,19.0
FA_Dur,2.0,1.0,3.0,3.0,5.0,3.0,4.0,4.0,nan,5.0,4.0
Wet_BFL_Mag_10,nan,nan,1.7,0.517,0.56,0.8,4.85,3.56,2.2,0.38,1.58
Wet_BFL_Mag_50,nan,nan,8.65,2.7,5.15,1.45,9.9,22.0,4.0,1.2,13.0
Wet_Tim,nan,nan,69.0,90.0,60.0,101.0,70.0,74.0,25.0,30.0,90.0
Wet_BFL_Dur,nan,nan,132.0,118.0,100.0,78.0,126.0,135.0,147.0,151.0,79.0
Peak_2,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
Peak_5,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0
Peak_10,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0
Peak_Dur_2,nan,nan,3.0,nan,2.0,nan,9.0,3.0,1.0,nan,8.0
Peak_Dur_5,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,2.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0
Peak_Fre_2,nan,nan,3.0,nan,2.0,nan,7.0,3.0,1.0,nan,3.0
Peak_Fre_5,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0
SP_Mag,1.6,6.6,52.0,4.8,57.0,29.0,150.0,32.0,17.0,18.0,167.0
SP_Tim,196.0,170.0,201.0,208.0,160.0,179.0,196.0,209.0,172.0,181.0,169.0
SP_Dur,146.0,18.0,34.0,14.0,79.0,52.0,26.0,32.0,47.0,137.0,21.0
SP_ROC,0.1666666666666666,0.2739130434782609,0.09677419354838718,0.15025641025641023,0.09000000000000004,0.09090909090909098,0.11764705882352938,0.11940298507462684,0.0871212121212121,0.18181818181818185,0.09523809523809523
DS_Mag_50,nan,0.12,0.18,0.16,0.28,0.2,0.715,0.505,0.09,0.23,0.385
DS_Mag_90,nan,0.23000000000000004,0.43,0.6440000000000003,0.8,2.119999999999999,2.5,1.6099999999999997,0.43400000000000005,2.319999999999999,2.75
DS_Tim,342.0,188.0,235.0,222.0,239.0,231.0,222.0,241.0,219.0,318.0,190.0
DS_Dur_WS,nan,247.0,221.0,204.0,228.0,205.0,218.0,150.0,177.0,138.0,266.0
