Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,939.993856428499,nan,292.93019006122614,186.00519238656884,1039.9983230020737,nan,434.997801692129,245.99977030776364,1259.9900789093847,275.0012256533331,350.97458123727574,200.8596267937419,342.9996072782374,253.93664031760886,nan,144.00703457944996,859.9907675073723,1159.9862791375135,nan,nan,407.9985819284243,285.99599520730084,nan,nan,192.00001319149501,158.99452592696366,163.00802682979676,300.9976003801929,1559.8442642534317,241.9343387447011,nan,2079.98011149057,310.00091948269153,nan,339.9966464171053,313.99419702786486,nan,865.998514634731,460.996340809179,449.99180774298185,894.9949928544755,nan,508.01902956703856,137.58846858160206,344.99857837755354,1089.9788060795875,277.9994717892943,nan,153.99786855081868,318.9982412194338
FA_Tim,44.0,nan,2.0,12.0,16.0,nan,43.0,11.0,22.0,28.0,10.0,45.0,36.0,51.0,nan,13.0,28.0,29.0,nan,nan,22.0,29.0,nan,nan,0.0,31.0,26.0,31.0,68.0,40.0,nan,50.0,9.0,nan,28.0,29.0,nan,40.0,40.0,19.0,38.0,nan,19.0,4.0,14.0,24.0,5.0,nan,51.0,25.0
FA_Dur,3.0,nan,5.0,3.0,3.0,nan,6.0,4.0,5.0,8.0,6.0,7.0,3.0,10.0,nan,4.0,3.0,2.0,nan,nan,4.0,8.0,nan,nan,5.0,5.0,4.0,4.0,2.0,2.0,nan,9.0,5.0,nan,5.0,5.0,nan,7.0,10.0,4.0,2.0,nan,4.0,7.0,3.0,4.0,3.0,nan,5.0,7.0
Wet_BFL_Mag_10,1052.0,557.2,544.8,1890.0,1428.0,644.6,1004.2,866.7000000000002,1931.0,2204.000000000001,385.6,118.30000000000001,1012.0000000000002,230.6,533.0,263.6,1780.0,1488.0,1086.0,622.5,1750.0,377.00000000000006,655.0,431.40000000000003,333.20000000000005,169.0,290.3,823.2,366.5,1590.0,898.0,1080.0,1540.0,686.0,851.5,383.6,973.0,1215.0,1178.0,721.0,1413.0,258.90000000000003,548.7,298.9,1110.0,987.0,406.90000000000003,679.0,294.7,344.4
Wet_BFL_Mag_50,2210.0,1750.0,2260.0,3270.0,3020.0,2570.0,2500.0,2820.0,4045.0,4010.0,694.0,201.0,3125.0,1140.0,1950.0,1450.0,2770.0,3950.0,2400.0,987.5,5210.0,1550.0,1385.0,943.0,827.0,1160.0,981.0,2400.0,567.5,3800.0,2410.0,2895.0,3590.0,3030.0,2385.0,713.0,1940.0,2575.0,2590.0,1800.0,4390.0,905.5,2085.0,651.5,2090.0,2720.0,1009.5,1050.0,641.0,653.0
Wet_Tim,81.0,40.0,83.0,64.0,66.0,31.0,102.0,65.0,32.0,121.0,35.0,87.0,54.0,96.0,12.0,57.0,38.0,53.0,35.0,25.0,103.0,75.0,52.0,37.0,89.0,120.0,115.0,64.0,88.0,86.0,59.0,59.0,90.0,48.0,98.0,112.0,47.0,67.0,57.0,63.0,69.0,37.0,75.0,77.0,89.0,58.0,107.0,42.0,126.0,48.0
Wet_BFL_Dur,105.0,184.0,89.0,161.0,97.0,149.0,78.0,88.0,154.0,89.0,163.0,132.0,138.0,127.0,183.0,124.0,161.0,185.0,163.0,164.0,61.0,93.0,104.0,143.0,157.0,71.0,88.0,184.0,148.0,131.0,179.0,64.0,156.0,155.0,134.0,99.0,101.0,148.0,87.0,171.0,130.0,170.0,94.0,144.0,162.0,146.0,94.0,151.0,58.0,87.0
Peak_2,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0,15600.0
Peak_5,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007,28720.000000000007
Peak_10,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0,40690.0
Peak_Dur_2,2.0,2.0,3.0,4.0,10.0,5.0,1.0,1.0,4.0,4.0,nan,nan,2.0,nan,3.0,nan,3.0,7.0,nan,nan,7.0,nan,nan,nan,nan,nan,nan,3.0,nan,12.0,nan,8.0,6.0,nan,1.0,nan,2.0,3.0,2.0,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Dur_5,nan,nan,nan,2.0,2.0,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,1.0,2.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,5.0,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,nan,nan,1.0,nan,1.0,nan,2.0,5.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,2.0,3.0,nan,1.0,nan,2.0,3.0,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_5,nan,nan,nan,2.0,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
