Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,nan,4.283393911205862,nan,5.987030828015675,nan,3.320483737008726,nan,11.993155098779457,nan,3.70642670858582,nan,nan,nan,20.98132015773304,9.773632591995858,12.971641191976651,nan,8.28099444465266,11.007291703639732,nan,nan,nan,nan,nan,nan,4.0995619761785935,nan,5.056905775964609,nan,39.99156310455893,27.983768258517998,nan,nan,9.296598596075214,nan,nan,3.7038728728561994,8.332149372968212,nan,nan,nan,nan,nan,3.6201346488720567,nan,nan,nan,2.155497649832907
FA_Tim,nan,45.0,nan,3.0,nan,15.0,nan,64.0,nan,0.0,nan,nan,nan,64.0,44.0,49.0,nan,16.0,41.0,nan,nan,nan,nan,nan,nan,29.0,nan,4.0,nan,52.0,56.0,nan,nan,26.0,nan,nan,39.0,19.0,nan,nan,nan,nan,nan,29.0,nan,nan,nan,31.0
FA_Dur,nan,7.0,nan,5.0,nan,2.0,nan,2.0,nan,5.0,nan,nan,nan,14.0,3.0,5.0,nan,3.0,7.0,nan,nan,nan,nan,nan,nan,6.0,nan,8.0,nan,3.0,4.0,nan,nan,7.0,nan,nan,3.0,7.0,nan,nan,nan,nan,nan,5.0,nan,nan,nan,3.0
Wet_BFL_Mag_10,4.5,6.44,5.8,4.4,2.5,6.7,5.8,4.2,2.5,nan,3.56,4.8,4.1,3.8200000000000003,4.98,19.8,7.5,4.3,5.03,4.6,3.3,2.5,1.7000000000000002,2.3800000000000003,2.7,9.17,3.3,11.0,9.48,11.880000000000006,25.5,6.4,5.2,4.84,2.64,1.69,9.412,12.1,5.614,nan,5.446,2.21,2.29,5.15,3.6399999999999997,2.38,1.65,nan
Wet_BFL_Mag_50,5.2,62.0,7.2,13.0,3.2,30.0,9.2,10.0,3.1,nan,19.0,9.1,15.0,8.4,14.5,73.5,10.0,6.1,25.0,5.0,4.1,4.5,2.5,4.1,2.9,18.5,5.05,34.0,33.0,49.0,58.5,8.95,15.0,22.0,4.095000000000001,4.58,12.0,18.95,8.55,nan,12.0,2.82,6.03,14.2,3.855,3.48,1.86,nan
Wet_Tim,41.0,101.0,83.0,45.0,22.0,94.0,39.0,113.0,106.0,nan,72.0,92.0,95.0,109.0,148.0,106.0,36.0,105.0,118.0,88.0,57.0,37.0,37.0,145.0,122.0,82.0,107.0,90.0,113.0,64.0,95.0,105.0,110.0,126.0,30.0,29.0,79.0,81.0,84.0,nan,85.0,45.0,6.0,68.0,22.0,51.0,72.0,nan
Wet_BFL_Dur,147.0,50.0,75.0,63.0,111.0,81.0,149.0,78.0,93.0,nan,129.0,91.0,66.0,67.0,48.0,110.0,169.0,77.0,52.0,87.0,152.0,143.0,207.0,35.0,19.0,100.0,72.0,100.0,47.0,57.0,126.0,92.0,94.0,33.0,206.0,191.0,73.0,96.0,105.0,nan,67.0,148.0,191.0,111.0,178.0,37.0,117.0,nan
Peak_2,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
Peak_5,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8,396.8
Peak_10,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003,547.8000000000003
Peak_Dur_2,nan,22.0,nan,nan,nan,9.0,3.0,nan,nan,nan,13.0,nan,12.0,6.0,6.0,24.0,1.0,nan,8.0,nan,nan,nan,nan,nan,2.0,3.0,nan,8.0,1.0,11.0,21.0,nan,3.0,1.0,nan,nan,1.0,7.0,4.0,nan,1.0,nan,4.0,3.0,nan,nan,nan,nan
Peak_Dur_5,nan,5.0,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,1.0,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Dur_10,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
