Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
FA_Mag,nan,nan,3.680552117650509,nan,23.758366109440196,nan,nan,nan,nan,nan,nan,nan,9.699729039909354,5.707977627554699,nan,nan,nan,nan,nan,nan,20.99796138318452
FA_Tim,nan,nan,50.0,nan,54.0,nan,nan,nan,nan,nan,nan,nan,48.0,64.0,nan,nan,nan,nan,nan,nan,44.0
FA_Dur,nan,nan,7.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,3.0,4.0,nan,nan,nan,nan,nan,nan,6.0
Wet_BFL_Mag_10,0.1,0.0,0.1,0.4,0.2,0.2,0.02,0.66,0.41800000000000004,0.53,0.05,0.16,0.74,0.94,nan,nan,0.9680000000000001,0.58,0.63,0.262,1.7800000000000002
Wet_BFL_Mag_50,9.7,3.4,0.1,0.9,0.95,2.5,0.33,36.0,4.2,1.3,0.13,4.6,2.7,6.9,nan,nan,6.2,1.25,1.9500000000000002,0.92,7.65
Wet_Tim,122.0,110.0,99.0,76.0,76.0,56.0,112.0,100.0,93.0,50.0,71.0,38.0,74.0,116.0,nan,nan,90.0,126.0,81.0,108.0,76.0
Wet_BFL_Dur,38.0,96.0,18.0,119.0,56.0,152.0,78.0,51.0,65.0,131.0,61.0,137.0,113.0,76.0,nan,nan,69.0,56.0,66.0,67.0,120.0
Peak_2,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
Peak_5,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0
Peak_10,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0
Peak_Dur_2,1.0,2.0,nan,1.0,nan,3.0,nan,5.0,1.0,nan,nan,1.0,1.0,nan,nan,nan,4.0,nan,3.0,nan,6.0
Peak_Dur_5,1.0,2.0,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Dur_10,nan,2.0,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,1.0,nan,1.0,nan,3.0,nan,4.0,1.0,nan,nan,1.0,1.0,nan,nan,nan,2.0,nan,3.0,nan,4.0
Peak_Fre_5,1.0,1.0,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
Peak_Fre_10,nan,1.0,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,116.0,81.0,98.0,47.0,17.0,71.0,0.51,168.0,70.0,7.2,12.0,15.0,67.0,15.0,nan,nan,238.0,13.0,358.0,78.0,252.0
SP_Tim,160.0,206.0,117.0,195.0,132.0,208.0,190.0,151.0,158.0,181.0,132.0,175.0,187.0,192.0,nan,nan,159.0,182.0,147.0,175.0,196.0
SP_Dur,15.0,17.0,12.0,16.0,27.0,20.0,82.0,25.0,18.0,38.0,34.0,26.0,27.0,36.0,nan,nan,86.0,24.0,94.0,27.0,37.0
SP_ROC,0.11111111111111115,0.10491562729273658,0.225,0.16228070175438591,0.09999999999999998,0.09999999999999998,0.1291666666666666,0.15439882697947221,0.10724554341575623,0.081967213114754,0.15,0.10391363022941968,0.11964285714285719,0.10154462242562932,nan,nan,0.08695652173913032,0.07999999999999996,0.09090909090909091,0.12613636363636369,0.06666666666666672
DS_Mag_50,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.03,0.01,0.01,0.0,0.05,0.06,nan,nan,nan,0.04,0.03,0.03,0.02,0.1
DS_Mag_90,0.3,0.5900000000000005,0.1,0.3,0.3,0.8639999999999998,0.06400000000000035,1.3800000000000012,0.6419999999999999,0.07,0.04,0.6600000000000001,0.51,nan,nan,nan,0.39,0.15,0.1480000000000001,0.5339999999999998,0.97
DS_Tim,175.0,223.0,129.0,211.0,159.0,228.0,272.0,176.0,176.0,219.0,166.0,201.0,214.0,228.0,nan,nan,245.0,206.0,241.0,202.0,233.0
DS_Dur_WS,301.0,242.0,313.0,231.0,263.0,250.0,194.0,283.0,240.0,218.0,238.0,239.0,268.0,nan,nan,nan,247.0,241.0,233.0,240.0,209.0
