Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
FA_Mag,nan,27.976658664997156,nan,18.916016192938237,3.5876258071940854,1.4922350290066462,nan,nan,nan,nan,nan,40.97328966905761,nan,nan,2.116778270765524,nan,nan,nan,nan,nan,nan,nan,7.01141605909656,22.000457106198713,nan,nan,nan,nan,15.993710045494836,1.69404363788484,23.914328161435712,14.956780140901936,11.996360455929269
FA_Tim,nan,50.0,nan,44.0,64.0,44.0,nan,nan,nan,nan,nan,50.0,nan,nan,40.0,nan,nan,nan,nan,nan,nan,nan,17.0,48.0,nan,nan,nan,nan,52.0,38.0,64.0,58.0,39.0
FA_Dur,nan,16.0,nan,14.0,7.0,14.0,nan,nan,nan,nan,nan,16.0,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,6.0,6.0,nan,nan,nan,nan,4.0,5.0,2.0,19.0,13.0
Wet_BFL_Mag_10,0.0,1.5,1.3,0.5,0.1,0.62,0.0,0.0,0.1,0.0,0.0,0.8,0.4,0.2,0.2,0.0,0.0,1.1,1.17,0.706,0.269,0.0,0.0,0.37,0.0,nan,0.0,2.5600000000000005,1.2900000000000003,1.45,1.0,0.51,6.102000000000001
Wet_BFL_Mag_50,0.2,2.9,1.9,1.2,0.9,0.9,1.1,2.8,0.6,0.6,0.4,3.05,0.7,0.4,0.6,4.5,5.2,1.8,40.5,1.7,3.0,0.01,6.2,1.7,0.005,nan,0.09,20.0,5.2,29.5,1.9,1.3,23.0
Wet_Tim,84.0,85.0,31.0,99.0,88.0,78.0,90.0,70.0,89.0,85.0,21.0,118.0,116.0,31.0,68.0,36.0,31.0,35.0,101.0,126.0,47.0,72.0,95.0,85.0,55.0,nan,80.0,119.0,72.0,115.0,110.0,100.0,107.0
Wet_BFL_Dur,130.0,86.0,181.0,85.0,127.0,43.0,59.0,118.0,53.0,128.0,100.0,18.0,95.0,156.0,126.0,57.0,175.0,153.0,50.0,29.0,120.0,17.0,81.0,77.0,136.0,nan,144.0,39.0,110.0,46.0,64.0,86.0,48.0
Peak_2,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,nan,220.0,220.0,220.0,220.0,220.0,220.0,220.0
Peak_5,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,nan,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004,806.6000000000004
Peak_10,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,nan,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002,1550.0000000000002
Peak_Dur_2,nan,3.0,nan,nan,nan,1.0,nan,7.0,nan,nan,nan,4.0,nan,nan,nan,6.0,4.0,nan,10.0,1.0,1.0,1.0,3.0,1.0,nan,nan,nan,7.0,1.0,5.0,nan,1.0,8.0
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,2.0
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,1.0
