Year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
FA_Mag,nan,nan,nan,nan,nan,nan,nan,223.90484202593058,nan,nan,nan,nan,15.995420290741606,nan,nan,nan
FA_Tim,nan,nan,nan,nan,nan,nan,nan,62.0,nan,nan,nan,nan,63.0,nan,nan,nan
FA_Dur,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,21.0,nan,nan,nan
Wet_BFL_Mag_10,0.0,nan,0.0,6.960000000000001,0.0,0.0,nan,0.96,0.0,nan,0.0,1.4400000000000013,0.9,nan,0.0,nan
Wet_BFL_Mag_50,0.8,nan,1.8,35.5,7.0,0.6,nan,2.0,1.6,nan,0.4,11.0,8.0,nan,49.0,nan
Wet_Tim,92.0,nan,94.0,113.0,124.0,83.0,nan,120.0,119.0,nan,88.0,36.0,102.0,nan,102.0,nan
Wet_BFL_Dur,123.0,nan,142.0,78.0,23.0,130.0,nan,17.0,81.0,nan,106.0,89.0,101.0,nan,48.0,nan
Peak_2,124.0,nan,124.0,124.0,124.0,124.0,nan,124.0,124.0,nan,124.0,124.0,124.0,nan,124.0,nan
Peak_5,695.0000000000001,nan,695.0000000000001,695.0000000000001,695.0000000000001,695.0000000000001,nan,695.0000000000001,695.0000000000001,nan,695.0000000000001,695.0000000000001,695.0000000000001,nan,695.0000000000001,nan
Peak_10,884.5999999999999,nan,884.5999999999999,884.5999999999999,884.5999999999999,884.5999999999999,nan,884.5999999999999,884.5999999999999,nan,884.5999999999999,884.5999999999999,884.5999999999999,nan,884.5999999999999,nan
Peak_Dur_2,nan,nan,nan,18.0,2.0,nan,nan,12.0,2.0,nan,1.0,7.0,3.0,nan,16.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,4.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan
Peak_Fre_2,nan,nan,nan,8.0,2.0,nan,nan,4.0,1.0,nan,1.0,4.0,2.0,nan,7.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,2.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan
SP_Mag,11.0,nan,2.5,552.0,133.0,11.0,nan,674.0,13.0,nan,124.0,199.0,46.0,nan,978.0,nan
SP_Tim,215.0,nan,236.0,191.0,147.0,213.0,nan,137.0,200.0,nan,194.0,125.0,203.0,nan,150.0,nan
SP_Dur,45.0,nan,33.0,39.0,43.0,18.0,nan,41.0,61.0,nan,37.0,45.0,42.0,nan,64.0,nan
SP_ROC,0.1250000000000001,nan,0.25000000000000006,0.07692307692307693,0.08695652173913032,0.38750000000000007,nan,0.1111111111111111,0.09999999999999998,nan,0.10172413793103444,0.0638297872340425,0.05999999999999996,nan,0.07142857142857142,nan
DS_Mag_50,nan,nan,0.0,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,nan,nan,nan,nan
DS_Mag_90,nan,nan,0.0,4.429999999999999,0.3,nan,nan,2.2,nan,nan,0.1,2.3,nan,nan,nan,nan
DS_Tim,260.0,nan,269.0,230.0,190.0,231.0,nan,178.0,261.0,nan,231.0,170.0,245.0,nan,214.0,nan
DS_Dur_WS,nan,nan,210.0,260.0,259.0,nan,nan,307.0,nan,nan,171.0,298.0,nan,nan,nan,nan
